id,trans
filename,scene_chr074_q2_s20
translator,Gemini
info,scene_chr074_q2_s20
24,一行人慌忙地追赶着卢修斯。
23,一听到关于神秘剑士的传闻，\n卢修斯就生气了。
22,等等！\n别丢下我！
21,对不起～\n今天的份就下次再\n好好款待我们吧！
20,等等！卢修斯！\n突然就不高兴了，\n到底怎么了！
18,那种东西我不要！\n我不是为了回报\n才帮助这个村庄的！
17,什么？\n宴会已经准备好了……？
16,抱歉……\n我先回飞空艇了。
15,怎，怎么了？\n卢修斯先生，\n你的脸色不太好？
14,…………\n这样啊。
13,不，他没说名字就\n离开了……不过我记得，\n他使用的是一把绝世宝剑。
12,…………\n那个男人叫什么名字？
11,那个……气质上\n和这位剑士哥哥很像\n我们就是这么说的。
10,不……其实……以前，\n也有一位武艺高强的剑士大人\n拯救过我们村庄的危机。
9,嗯？\n剑士大人怎么了？
8,但是，居然还能被剑士大人拯救村庄\n真是不可思议的巧合啊……
7,得救了！\n多亏了你们，才没有\n出现更多的牺牲者。
6,嗯。\n我知道了！
5,……今后，\n要和爸爸齐心协力\n好好生活下去。
4,呵……\n你的爸爸也很勇敢。
3,谢谢你！\n剑士哥哥！
2,啊……\n要道谢就对这位说吧。
1,哇！爸爸回来了～！\n妈妈的仇，你帮我报了吗？！
0,打倒魔物后，姬塔一行人带着男人回到了村庄。
0-synopsis,讨伐了废墟中的魔物，一行人受到了村民们由衷的感谢。据村民们所说，以前也曾有一位武艺高强的剑士拯救过村庄的危机。当被说与那位剑士在气质上有些相似时，卢修斯突然变得不高兴，径直回到了飞空艇上。
0-chapter_name,多管闲事的剑士
