id,trans
filename,scene_evt191028_cp3_q3_s10
translator,gemini-3.1-pro-preview
info,scene_evt191028_cp3_q3_s10
95,尽管蔻涨红了脸，\n最终还是放弃了抵抗，\n乖乖让两人喂他吃饭。
90,姬塔听到碧的话，\n微笑着点了点头。
89,就像真正的姐弟一样啊。\n不过，这可能\n有点被捉弄过头了吧？
88,呵呵呵……\n大家的感情真好呢。
87,呜，连苏丝雅小姐也～……
86,乖、乖乖听话……\n来，啊～……
85,啊哈哈，不行！\n伤员就乖乖听话！
84,没、没关系的！\n我自己能吃！\n而且，我的手能动！
83,来，啊～♪
82,呵呵呵，来吧，蔻君。\n趁热吃吧。
81,炖炸豆腐……\n好久没吃了……\n咕咚……
80,所以我用蔬菜高汤\n炖了软软的炸豆腐哦……
79,是我做的哟。\n蔻君确实……和我一样\n很喜欢吃炸豆腐吧？
78,啊……那么，\n这个炸豆腐是……
77,尤艾尔小姐\n很擅长烤鱼呢……\n我很期待哦。
76,皮脆！肉嫩多汁～！\n绝对好吃的啦♪
75,这边烤好的鱼是我做的哦！\n使用了米玛卡的香草和香辛料，\n用我的狐火烤得金黄焦脆呢！
74,呵呵呵……\n我很期待呢。
73,啊、啊哈哈……不过，\n真的很好吃！\n一定也会合蔻君口味的！
72,啊哈哈，稍微尝了一点……\n要是我们不拦着，\n那架势恐怕要把整锅都吃光了呢。
71,诶嘿嘿，虽然稍微尝了一点，\n但肉炖得软软糯糯的，嘴巴感觉好幸福……\n对吧，姬塔♪
70,嘿嘿，这道炖肉，\n可是露莉亚和姬塔一边向老婆婆\n请教一边做出来的哦！
69,不过能做到这么豪华\n也是多亏了大家干劲十足啊。
68,呵呵呵。\n不仅功效显著，味道和卖相也\n是最顶级的，这就是米玛卡的传统药膳哦。
67,我本来还以为会是很朴素的食物，\n药膳原来这么豪华啊……
66,哇，有肉，有鱼……\n还有烤得金黄的炸豆腐！
65,来，久等了～！\n饱含爱意的特制药膳哦～！
64,过了一会儿，\n伴随着诱人的香气，\n一行人回到了蔻的面前。
58,错觉……吗？
57,然而，外面\n并没有看到任何人的身影。
56,蔻在心中向众人道谢，\n却在一瞬间，感受到了窗外的杀气，\n猛地回过头去。
55,……！？
49,（谢谢你们……\n感激不尽──……）
48,（尤艾尔姐姐\n苏丝雅姐姐，\n还有姬塔他们……）
47,（以前连想都不敢想……）
46,（为了作为九尾的容器去死\n而被养大的我，\n没想到能受到如此眷顾……）
45,（真幸福啊……）
44,目送着一行人与吧台的老板娘一起\n走向厨房，\n蔻微微一笑。
43,好、好的……\n谢谢大家。
42,等着哦，蔻！\n这就给你做好吃的！
41,…………
40,呵呵呵，小少爷。\n你可真受人疼爱呢。
39,这样啊。\n那就让你们帮忙吧。\n人手多总归是好事。
38,就是啊！\n有什么我们能做的\n尽管开口！
37,那样的话！\n我们也来帮忙！\n对吧，姬塔！
36,苏丝雅小姐……
35,而且大家一起帮忙的话，\n肯定很快就能做好菜吧？\n想让蔻君早点好起来……
34,那、那么……\n我们也能帮忙吗？\n想做给蔻君吃……
33,嗯？我来教你们的话\n应该能做出来……
32,啊，等等，老婆婆！\n药膳我们也能做吗。
31,好咧。那，\n你们稍微等一下啊。
30,当然要！\n能试的我们全都要试！
29,那么，怎么办？\n传统的药膳，要试一试吗？
28,原来如此。\n所以才被称为秘岛啊……
27,我们是故意不散布消息的。\n如果这里挤满了人，\n真正需要治疗的人就来不了了啊。
26,不过，真不可思议啊。\n这么厉害的岛屿，\n再怎么出名都不奇怪吧。
25,哎，原来如此……\n这片土地……\n真的很厉害呢……
24,当然，以米玛卡的蔬菜和药草\n为食的动物和鱼类也一样，\n营养丰富且能驱邪。
23,而在被净化的肥沃大地上\n茁壮成长的蔬菜和药草\n能驱除一切邪恶，治愈疾病。
22,因为米玛卡的地下\n有着如血管般蔓延的神圣源泉，\n净化着整座岛屿。
21,呵呵呵，\n米玛卡的药膳可是很特别的。
20,药膳……吗。\n我觉得对治病很有效，\n但对诅咒也会有效吗？
19,比起那个，\n我更推荐去吃\n米玛卡传统的药膳。
18,不不，很遗憾，\n米玛卡的温泉并不是\n多泡几次就行的。
17,<span class='scene-font-4'>啊！对了！</span>\n再泡一次温泉的话，\n会不会变得更好！？
16,嗯……\n看来没那么容易治好啊……
15,是啊……\n虽然知觉正在恢复，\n但还是使不上力……
14,不过站起来什么的……\n还是不行吧？
13,哦哦！淤青快要消失了！\n米玛卡的温泉，超级厉害啊！
12,<span class='scene-font-4'>真的吗！？</span>\n能让我看看吗？
11,那个，说起来，\n多亏了身子暖和起来了，\n脚好像恢复了知觉……
10,怎么样啊。\n小少爷，脚的感觉如何。
9,啊……！\n嗯，嗯……勉强还行……
8,蔻、蔻君……？\n你没事吧……？
7,…………
5,是！！
4,好，辛苦了。\n你们去休息吧。
3,小少爷的搓洗！\n已经完成了！
2,搓澡工们小心翼翼地、温柔地\n让失神的蔻坐在了椅子上。
1,过了一会儿，搓澡工们\n抬着蔻回来了。
0-synopsis,泡完温泉后，蔻的脚恢复了一些知觉。为了进一步解除诅咒，一行人在老板娘的建议下决定尝试米玛卡传统的药膳。多亏了姬塔等人的帮忙，丰盛的药膳做好了，蔻只好让尤艾尔和苏丝雅喂他吃饭。
0-chapter_name,第3话 解咒之地，米玛卡
