id,trans
filename,scene_evt161130_cp4_q3_s10
translator,gpt-4o-2024-08-06
info,scene_evt161130_cp4_q3_s10
65,就这样，费德拉赫的\n白龙骑士团开始向\n威尔士进军。
64,陛下……\n我感激不尽。
63,帕西瓦尔……你去阻止你大哥。\n狠狠地和兄弟吵一架吧。
62,但……\n我始终没能和兄弟\n吵过一架──
61,哼……没什么。\n我也曾是弟弟。\n很了解弟弟的心情……
60,是的……\n和平时温和的感觉不同……
59,确、确实……\n有点意外……
58,对于卡尔国王的迅速决断，\n一行人掩饰不住惊讶。
57,…...
56,好的，兰斯洛特！\n准备就绪！\n随时可以行动！
55,是！　\n维恩，立即\n召集骑士团！
54,拜托了……\n兰斯洛特，维恩。
53,陛下！
52,…遵命！
50,兰斯洛特，维恩……\n立即率领骑士团，\n阻止阿格罗瓦尔的阴谋！
49,尽管我明白这是个方便的说法。\n为了阻止我的亲哥哥、\n威尔士家主阿格罗瓦尔──
48,是的……事态已经不仅仅是\n这个国家的问题了。
47,喂喂喂！\n这不就是整个天空的危机吗！
46,打开幽世之门……是吗。
45,什么！？\n竟然……这样的阴谋正在背后进行……
44,帕西瓦尔向大家\n分享了威尔士家的阴谋。
43,事态紧急。\n希望大家能听我说……
42,到底发生了什么，\n请详细说明。
41,嗯……\n看起来不是什么小事。
40,兰斯洛特……\n可以马上开始吗？
39,维恩开始为\n露莉亚和碧他们\n处理伤口。
38,大家都受了这么多伤……\n真是辛苦了……
37,呜……呜呜……\n露莉亚……碧君……\n还有姬塔和帕西瓦尔……
36,诸位……\n感谢你们平安归来。\n好好休息吧。
35,被帕西瓦尔抬着的\n姬塔也终于露出了安心的表情。
34,这次，\n我会给予你们赞赏。
33,诸位……\n你们辛苦了。
32,呼～\n果然这里让人安心～
31,大家，让你们担心了！\n我们现在平安归来。
28,姬塔一行稍作休息后，\n来到了王座之间。
22,现、现在，帕西瓦尔大人和\n姬塔一行已经回到王都，\n正朝这边过来！
19,就在那时──\n卫兵冲进了王座之间。
18,这种时候，\n职位真是让人着急啊
17,切——果然不行啊
16,当然不行！
15,那我只带我的小队去一探如何？
14,不行！\n因为这样的私情而让国家的骑士团行动……
13,你们啊……如果那么担心的话，\n就去威尔士侦察一下吧。
12,是这样，但总觉得刚才开始这里有点痒痒的……\n是不是不祥的预感啊？
11,如果姬塔一行追上帕西瓦尔并合流，\n那就没问题。
10,呃……那是错觉！\n现在我们要相信大家会回来，耐心等待。
9,不，今天的兰斯洛特走到窗边的次数太多了……\n和以往不一样，大家都看得出来！
8,我、我才没有焦躁不安呢！
7,诶，那兰斯洛特你也一直在关注外面，\n显得焦躁不安吧？
6,喂，维恩……\n在陛下面前来回走动，\n稍微冷静点。
5,在卡尔国王陛下面前，\n不安的维恩。
0,王都费德拉赫，\n王座之间。
0-synopsis,与此同时，王都的兰斯洛特和维恩正担心地等待帕西瓦尔和姬塔一行的归来。此时，帕西瓦尔和姬塔一行归来。卡尔国王从帕西瓦尔处得知了威尔士家的阴谋，并决定为了阻止阿格罗瓦尔的计划，向威尔士进军。
0-chapter_name,第4话 绝命的撤退
