id,name,text,trans
0-chapter_name,,エウロペ城の主,欧罗巴城之主
0-synopsis,,町民を恐れさせていた魔物をエウロペが城の建築中に倒していたことから、城は存続できることに。聖夜当日、城で町民達を招いたパーティーが開かれる中、姬塔は改めてエウロペからのプレゼントを受け取り城主となる。エウロペはさらに、姬塔とふたりきりの部屋で「本当のプレゼント」を贈ろうとするが、ガブリエルがやって来たことでそれはまたの機会に持ち越されるのだった。,由于欧罗巴在建造城堡期间击败了让镇民恐惧的魔物，城堡得以存续。圣诞夜当天，城堡内举办了招待镇民的派对，姬塔再次从欧罗巴那里收到了礼物并成为了城主。欧罗巴还打算在与姬塔独处的房间里赠送“真正的礼物”，但因加百列的到来而推迟到了下一次。
1,町長/镇长,つまり城を存続させろと……？\nそれはちょっと……\nう～ん……どうなんでしょう……,也就是说要让城堡存续下去……？\n这有点……\n嗯……怎么说呢……
2,ビィ/碧,難しいのはわかるんだけど、\nそこをなんとかできねぇかなって……,我知道很困难，\n但能不能想想办法……
3,町長/镇长,遠くに見える山の上ですから\nあれが生活の邪魔になるということは\nまずないでしょう……,因为是在远处山上的，\n应该不会妨碍到生活……
4,町長/镇长,町は王国に属しているわけでは\nありませんから、城が外部の者を\n刺激することもないでしょうし……,本镇并不隶属于王国，\n城堡也不会刺激到外部的人……
5,ビィ/碧,おっ！\nじゃあ……,哦！\n那么……
6,町長/镇长,しかし、あれがあることによって\n山に潜む魔物を\n刺激することになりかねません。,但是，城堡的存在\n可能会刺激潜伏在山里的魔物。
7,町長/镇长,これまでなかったものが\n突然、そこに現れたわけですから、\n影響がどう出るのか……,原本不存在的东西\n突然出现在那里，\n不知道会产生什么影响……
8,町長/镇长,今後、町になんらかの被害が\nあるかもしれないと思うと……,一想到今后镇上可能\n会遭受某些损害……
9,ビィ/碧,その魔物って……\nオイラ達に依頼しようとしてた\n討伐の対象の魔物のことか？,那个魔物……\n就是你们打算委托我们\n讨伐的对象吗？
10,町長/镇长,ええ、その通りです。\n巨大で凶暴な魔物が複数、\n確認されています。,是的，没错。\n我们确认了多只\n巨大而凶暴的魔物。
11,ビィ/碧,じゃ、じゃあ、オイラ達がそいつらを\n片っぱしからやっつけたらどうだ？\n報酬は城の許可以外いらねぇからよ！,那、那么，我们去\n把它们全都收拾掉怎么样？\n报酬除了城堡的许可外什么都不要！
12,エウロペ/欧罗巴,ビィ様……,碧大人……
