id,trans
filename,scene_chr033_q1_s10
translator,Gemini
info,scene_chr033_q1_s10
15,等等等等……你在说什么啊！\n没办法，我去支援他！\n姬塔！
14,和魔物战斗受伤的话……！
13,！？\n等等，理查德！\n你想一个人冲过去吗！？
11,……！
10,救命啊！！\n城镇外出现了魔物……！
9,喂喂……\n你想太多了吧……
8,再这样下去不行……\n必须变得不幸……变得不幸才行……
7,不、不行！\n好事接连发生的话，作为回报\n说不定会有可怕的事情发生！
6,可是啊……\n既然没有倒霉事发生，\n应该高兴才对吧？
5,是啊，平常的话……\n差不多该被狗袭击了，\n或者钱包被偷了才对……
4,这、这太奇怪了……\n赢了赌博\n居然没有倒霉事发生。
3,哎？
2,……！\n就是因为这样啊！
1,怎么啦怎么啦？\n摆着个苦瓜脸，发生什么事了？\n你不是在赌博中赢了大钱吗？
0,……唉…………
0-synopsis,尽管在赌博中赢了大钱，但理查德却因为没有倒霉事发生而闷闷不乐。他认为如果不马上变得不幸就会有可怕的事情发生，于是独自一人冲向了出现在城镇外的魔物。
0-chapter_name,强运的代价
