id,name,text,trans
0-chapter_name,,第5話 三者改め五者面談,第5话 从三方会谈改为五方会谈
0-synopsis,,続いてはクラリス・プロメティア親子と面談をすることに。プロメティアは大浮上後の空の様子についての意見を姬塔に求める。その問いは、旅を続けるであろう意志の確認と、自分達一族もまたその力になるという表明のためであった。プロメティアはクラリスへの期待と愛情を覗かせつつ、カリオストロも含めて、これからもよろしくと姬塔へ告げるのだった。,紧接着是与克拉莉丝及普洛美缇娅母女进行面谈。普洛美缇娅向姬塔询问了关于大浮上后天空现状的意见。这个问题是为了确认她继续旅行的意志，同时也是为了表明她们一族也会成为她的助力。普洛美缇娅不仅流露出对克拉莉丝的期待与关爱，还对姬塔表示，包括卡莉奥斯特罗在内，今后也请多多关照。
1,ビィ/碧,そんじゃ次のやつ\n入ってきていいぞー,那么下一个\n可以进来了哦——
4,クラリス/克拉莉丝,あ、ほんとにエキドナいる！\n尻尾ギチギチだけど、痛くないの？,啊，艾奇多娜真的在！\n尾巴被挤得紧紧的，不痛吗？
5,エキドナ/艾奇多娜,ふふ、なんとか……\nもしふたりが気になるようなら\n席を外しましょうか？,呵呵，还能对付……\n如果你们俩觉得在意的话，\n我要不先回避一下？
6,プロメティア/普洛美缇娅,いえ、構いませんよ。\n他の方に聞かれて困るような話を\nするつもりもありませんから。,不用，没关系的。\n我们也不打算说\n怕别人听到的话题。
7,,プロメティアは微笑みながら答え、\n姬塔とビィの向かいに座る。,普洛美缇娅微笑着回答，\n坐在了姬塔和碧的对面。
8,ビィ/碧,えーと……\nそれじゃあ面談を始めるけどよ、\n何か聞きたいことはあるか？,呃……\n那面谈就开始了，\n你们有什么想问的吗？
9,クラリス/克拉莉丝,うちは特にない……けど……,我倒是没什么特别的……不过……
10,プロメティア/普洛美缇娅,ではまず……今回の空の異変、\n巷では大浮上、などと\n言われているようですが……,那首先……这次天空的异变，\n街坊间似乎称之为\n“大浮上”……
11,プロメティア/普洛美缇娅,実際のところ、団のお仕事などから\n世情の変化は感じていますか？,实际上，从骑士团的工作等来看，\n你们感觉到局势的变化了吗？
12,ビィ/碧,変化か。まあ、そうだな。\n物資の買い込みとか警護の依頼とか\nそういうのが一気に増えたよな。,变化吗。嗯，也是。\n囤积物资啊、护卫的委托之类的，\n一下子增加了不少。
13,,それらの依頼の根底には、\n様変わりした世界に備えたい、\nという気持ちがあるのは伝わっていた。,能感觉到这些委托的背后，\n隐藏着人们想要防备这个\n已然改变的世界的心情。
14,ビィ/碧,それから、ラルナに声かけたような\nガラの悪い連中も、\nちょっと多い気がするな。,还有，像之前找拉露娜搭讪的那种\n小混混，\n感觉也变多了。
15,クラリス/克拉莉丝,ししょーと島を回ってる間も\nよく見かけたよ。,我和师傅在各个岛上转的时候，\n也经常看到呢。
16,クラリス/克拉莉丝,瘴流域がなくなって、\nごろつき連中が羽を伸ばしてるのかも\nって、ししょーは言ってたな。,师傅说，\n可能是瘴流域消失了，\n小混混们又开始活跃了吧。
17,プロメティア/普洛美缇娅,空にやってこられた方々については\nどうですか？,那么关于来到天空的那些人，\n你们觉得如何？
18,ビィ/碧,グランサイファーには\nフィルキスっていう地の民がいるぜ。,格兰赛法上\n就有一个叫菲尔基斯的大地之民哦。
19,ビィ/碧,石食ったりするところとか\n空の民との違いは感じるけど、\nすぐに馴染めそうな気はするなぁ。,虽然她吃石头什么的，\n让人感觉到和天空之民的不同，\n但感觉很快就能融入进来呢。
20,プロメティア/普洛美缇娅,なるほど……,原来如此……
21,クラリス/克拉莉丝,お母様、なんでそんなこと聞くの？,母亲大人，为什么要问这些？
22,プロメティア/普洛美缇娅,最近の空の変化は、私がこれまで\n生きてきた中でも、\nもっとも大きなものです。,最近天空的变化，是我迄今为止\n的人生经历中，\n最大的一次。
23,プロメティア/普洛美缇娅,そのような状況でも、\n姬塔さんは旅を\n続けられるのか……と。,我在想，在这样的情况下，\n姬塔小姐是否还能\n继续旅行呢……
24,クラリス/克拉莉丝,ちょ、危ないからやめろとか、\nそういうこと言いたいの！？,喂，难道你想说\n因为太危险所以别去了之类的话！？
25,プロメティア/普洛美缇娅,話は最後まで聞きなさい。\n姬塔さんも歴戦の騎空士、\nそういった困難は望むところでしょう。,先把话听完。\n姬塔小姐也是身经百战的骑空士了，\n这种困难想必也是求之不得的吧。
26,,それはもちろん、と\n姬塔は大きくうなずく。,那是当然，\n姬塔用力地点了点头。
27,クラリス/克拉莉丝,ふっふーん☆\nやっぱ姬塔は\nそうこなくちゃね！,哼哼——☆\n姬塔果然就得是这样才行嘛！
28,プロメティア/普洛美缇娅,とはいえ、ここから先は\n予測不能な困難がないとも\n限りません。,话虽如此，今后的路\n难保不会遇到\n无法预测的困难。
29,プロメティア/普洛美缇娅,その際は遠慮せず、\n私だけでなく夫も含め、\n我々一族を頼ってください。,到那时候请不要客气，\n不仅是我和我丈夫，\n请尽情依靠我们一族吧。
30,プロメティア/普洛美缇娅,あなた方には返しきれぬほどの\n恩義がありますから。,毕竟我们欠了你们\n还不清的恩情。
31,クラリス/克拉莉丝,お母様……,母亲大人……
32,エキドナ/艾奇多娜,姬塔さんは、\n本当にたくさんの方を助けてきたのね。\n私も誇りに思います。,姬塔小姐，\n真的帮助过很多人呢。\n我也感到很自豪。
33,ビィ/碧,ちょっとお人好し過ぎねえかとは\n思うけど……ま、これだけ\n立派になって言うことでもねえよな。,虽然觉得她是不是烂好人过头了……\n嘛，都变得这么独当一面了，\n也没什么好说的了。
34,クラリス/克拉莉丝,──お父様やお母様だけじゃなくて、\nこの艇にはうちだって\nいるんだからね！,——不仅仅是父亲大人和母亲大人，\n这艘飞艇上\n还有我在呢！
35,クラリス/克拉莉丝,まずはうちを頼ってよね！！\nいい？　姬塔！,首先要依靠我哦！！\n听到了吗？姬塔！
36,プロメティア/普洛美缇娅,娘はご覧の通り、\n至らぬ点も多々あり、\nご迷惑をおかけしますが……,如您所见，小女\n还有诸多不成熟之处，\n给您添麻烦了……
37,クラリス/克拉莉丝,至らぬ自覚はあるけど、\n改めて言われると複雑……,虽然有不成熟的自觉，\n但被当面这么说心情好复杂……
38,プロメティア/普洛美缇娅,それでも、我が家の当主です。\nその才能は私達両親を遥かに\n凌ぎます。,即使如此，她也是我们家的当主。\n她的才能远在我们这做父母的之上。
39,クラリス/克拉莉丝,……………………,……………………
40,プロメティア/普洛美缇娅,──ではあるものの、未だ研鑽の身。\n是非、便利に使ってくださいな。,——话虽如此，她仍在钻研的路上。\n还请您随意差遣。
40-sel1_txt,,これまで通りよろしく、だね,今后也像往常一样多多关照啦
40-sel2_txt,,早速ここに余った素材が……,正好这里有多余的素材……
42,クラリス/克拉莉丝,そういうことだね！\nよろしくされたよ、姬塔！,就是这样！\n请多关照了哦，姬塔！
44,ビィ/碧,ここでかよ！？,在这里来吗！？
45,クラリス/克拉莉丝,おっ？　やっちゃう？\nここでドッカーンと見せちゃう？\nうちの修行の成果っ☆,哦？要试试吗？\n就在这里砰——地给你展示一下吗？\n我的修行成果☆
46,プロメティア/普洛美缇娅,……私から申し上げたいことは\nこれくらいで。,……我想说的\n差不多就这些了。
47,プロメティア/普洛美缇娅,ああ、強いて言えばもうひとつ……,啊，硬要说的话还有一点……
48,プロメティア/普洛美缇娅,開祖にはあまり好き勝手を\nさせないように。手綱を握れるのは\n姬塔さんだけですから。,请不要让开山祖师\n太过为所欲为。能握住缰绳的\n只有姬塔小姐了。
49,ビィ/碧,それはちょっと……\n難しいお願い、かもしれねえな……？,这可能……\n是个有点困难的请求呢……？
50,,善処します……\nそれが姬塔のできる\n精いっぱいの答えであった。,我们会妥善处理的……\n这就是姬塔所能做出的\n最竭尽全力的回答了。
51,クラリス/克拉莉丝,ししょーについてはまあその、\nうちもやるのでこう……,关于师傅嘛那个，\n我也会努力去……
52,プロメティア/普洛美缇娅,それが頼りないから、\nこうして姬塔さんにも\n改めて申し上げているのです。,正因为你靠不住，\n我才像这样\n向姬塔小姐郑重嘱托啊。
53,プロメティア/普洛美缇娅,まあ、そこまで心配しては\nいませんが……,嘛，我倒也没\n那么担心就是了……
54,プロメティア/普洛美缇娅,改めて、師弟ともども、\n今後ともよろしくお願いいたします。,再次拜托，她们师徒两人，\n今后也请多多关照了。
