id,name,text,trans
0-chapter_name,,温かい真意,温暖的真意
0-synopsis,,兵士達を撃退した一行。ガウェインは穏やかな様子で姬塔達に、いままでの礼を告げる。その瞬間、ガウェインにかけられていた呪いは解け、ガウェインの仮面が外れる。自室へ戻ったガウェインは、姉のフロレンスにこれまでの行いを深く詫びる。そして、恩人である姬塔達と旅を続けていく中で、真に国が欲する立派な男に成長し、いつの日か帰ることを約束するのだった。,击退了士兵们的一行人。高文以平静的神态向姬塔等人道谢。就在那一瞬间，施加在高文身上的诅咒解除了，高文的面具也脱落下来。回到自己房间的高文，向姐姐芙罗伦斯为至今为止的所作所为深深道歉。然后，他承诺将在与恩人姬塔等人继续旅行的过程中，成长为一个国家真正渴望的优秀男人，并在未来的某一天回到这里。
0,,ガウェインが戦いに加わり、\n一行は兵士の無力化に成功した。,高文加入了战斗，\n一行人成功制服了士兵。
1,ラカム/拉卡姆,ようやく片付いたか……\nにしても……守るっつったのによ……,总算解决了吗……\n话说回来……明明说是要保护你的……
2,カタリナ/卡塔莉娜,まさか逆に守られてしまうとはな。\nありがとう、ガウェイン……,没想到反而被保护了啊。\n谢谢你，高文……
3,ガウェイン/高文,…………,…………
4,ルリア/露莉亚,私達、もしかして……\n足手まとい、でしたか……？,我们，该不会……\n成为累赘了吧……？
5,ガウェイン/高文,……なにを謝る必要がある。\n貴様らが足手まといだと……？\n笑わせるな……,……有什么好道歉的。\n你们是累赘……？\n别引人发笑了……
6,ガウェイン/高文,貴様らが来なければ……\n俺はあの雑魚共に、\nやられていたさ……,要是你们没来……\n我已经被那些杂鱼，\n给干掉了……
7,ガウェイン/高文,それに、礼を言うのは……\n俺の方だ……,而且，该道谢的……\n是我才对……
8,ガウェイン/高文,……これが、人の温かさか。\n確かに貴様らは温かいな。\nふっ、生ぬるいぐらいだ……,……这就是，人的温暖吗。\n你们确实很温暖啊。\n呵，甚至温吞过头了……
9,,バツが悪そうにそう告げる\nガウェインの言葉を聞き、\n一行は目を見開いた。,听到高文似乎有些尴尬地说出这句话，\n一行人都睁大了眼睛。
10,ラカム/拉卡姆,ど、どうした……？\nガウェイン……？\n頭でも打ったか……！？,怎、怎么了……？\n高文……？\n你撞到头了吗……！？
11,ガウェイン/高文,ちっ、バカが！！\nアホみたいな顔で\nアホを抜かすんじゃない！,啧，蠢货！！\n别顶着张蠢脸\n说蠢话！
12,ビィ/碧,な、なんだ……よかった……\nその口の悪さ……\nいつものガウェインか……,什、什么啊……太好了……\n这么恶劣的口气……\n是平时的高文啊……
13,ガウェイン/高文,……ふん、いいや。\n違うかもしれんぞ。,……哼，不。\n说不定不一样呢。
14,ルリア/露莉亚,え……？,哎……？
15,,そう告げたガウェインは、\n静かに微笑み、一行に向き合った。,这么说罢，高文\n静静地微笑着，面向一行人。
16,ガウェイン/高文,貴様らに礼を言わせてほしい。\n今までの旅、本当に世話になった。\n……ありがとう。,请允许我向你们道谢。\n一直以来的旅途，真的受了你们不少照顾。\n……谢谢。
17,,ガウェインが穏やかな声で\n礼を告げた次の瞬間――,就在高文用平静的声音\n道谢的下一瞬间——
18,ルリア/露莉亚,ッ！？　\nが、ガウェインさん……！？,！？　\n高、高文先生……！？
19,,ガウェインの仮面が、\n一人でに外れ、地に落ちた。,高文的面具，\n自己脱落掉在了地上。
20,ビィ/碧,か、仮面が……！！\nてことは、お前……\n呪いが……！,面、面具……！！\n也就是说，你……\n诅咒……！
21,ガウェイン/高文,……解けたらしいな。\nおい、貴様ら、ついてこい……\n一つ、確かめたいことがある。,……似乎解除了啊。\n喂，你们几个，跟我来……\n有件事，我想确认一下。
22,,穏やかにそう告げて\n歩み始めるガウェインの\n後を一行は追う。,高文平静地说完后\n便迈开步伐，\n一行人紧随其后。
29,,一行がたどり着いた先は、\nダルモア公国付近だった。,一行人到达的地方，\n是达尔莫公国附近。
33,苦しげな兵士/痛苦的士兵,く、う……\nう、ごけ……,呃，唔……\n动、动不了……
34,,そこには多くの兵士やならず者が、\n魔術によって縛りつけられ、\n身動きが取れなくなっていた。,在那里，许多士兵和无赖\n被魔术束缚着，\n动弹不得。
35,ガウェイン/高文,この魔術……なるほどな。\n俺に執着するはずだ……,这个魔术……原来如此。\n怪不得会对我很执着……
36,ガウェイン/高文,姬塔……少し席を外す。\n決着をつけに、\n……ケジメをつけてくる。,姬塔……我先稍微离开一下。\n去作个了断，\n……去作个交待。
37,,ガウェインはそう告げると、\nダルモア公国へと歩を進める。,高文这么说完后，\n便朝着达尔莫公国走去。
43,,ガウェインは自室を訪れる。\nすると、そこには\n仮面をつけた魔導師が居た。,高文来到了自己的房间。\n然后，在那里\n站着一位戴着面具的魔导师。
44,フロレンス/芙罗伦斯,やぁ、ガウェイン……\n人の温かみは知れたかい？,呀，高文……\n体会到人的温暖了吗？
45,ガウェイン/高文,もうつまらない演技はやめろ。\n……フロレンス。,别再演这种无聊的戏了。\n……芙罗伦斯。
46,フロレンス/芙罗伦斯,…………,…………
47,,名前を呼ばれたフロレンスは、\n仮面を外した。,被叫到名字的芙罗伦斯，\n摘下了面具。
48,フロレンス/芙罗伦斯,よく、分かりましたね……\nガウェイン……,你竟然认出来了呢……\n高文……
49,ガウェイン/高文,魔導に長け、俺に執着する者など\n貴様ぐらいしかいないからな……,精通魔导，又对我如此执着的人，\n也就只有你了……
50,ガウェイン/高文,だが、今まで魔導師へ向ける\n怒りと憎しみのあまり……\n気が付くことが出来なかったがな。,但是，一直以来因为对魔导师\n充满愤怒和憎恨……\n让我没能察觉到这一点。
51,ガウェイン/高文,あの兵士や賊を、\n止めてくれたこと感謝するぞ。,那些士兵和盗贼，\n谢谢你出手阻止了他们。
52,フロレンス/芙罗伦斯,いいえ……私に感謝なんて……\n私は責められるべきです……,不……不要感谢我……\n我才应该是被责备的……
53,フロレンス/芙罗伦斯,戦いに気を取られ、\n兵士が盗み見ていたことに\n私は気付けなかった……,我的注意力全在战斗上，\n没能察觉到\n士兵们在偷看……
