id,trans
filename,scene_evt150731_cp7_q1_s10
translator,Gemini
info,scene_evt150731_cp7_q1_s10
70,哦～！
69,妲奴亚，\n我们去卡塔克利先生家\n看看吧！
68,嗯，金先生钓到的\n是非常大的\n鰹鱼。
67,真的吗！？
66,嗯～，卡塔克利先生那里\n可能还剩一些……
65,鰹鱼是最高级的鱼，\n很少会在店里出售的。
64,我们找遍了鱼店，\n但没找到。
63,鰹鱼！？\n那在海边找\n也找不到吧。
62,是鰹鱼。\n妲奴亚是这么说的。
61,……哼……哼哼……
60,鲣鱼～……
59,啊，所以\n才东张西望的啊！\n在找什么？
58,在找东西啦！
47,露莉亚～……
46,妲奴亚～！\n怎么了，在找什么？
45,可能是掉了什么东西吧。\n过去看看吧！
44,啊嘞？那不是妲奴亚吗。\n怎么在东张西望的……
43,妲奴亚，别闹别扭了。\n这才刚开始找。
42,呜～……
39,姬塔一行和莉夏\n决定在海边散步。
38,可以吗？\n……谢谢！
37,莉夏小姐，姬塔\n只是在开玩笑啦。\n我们一起去玩吧！
36,真是的！姬塔，\n不要捉弄人了！
35,啊呜……果然，\n会打扰到你们吗……
34,谢谢。\n请多关照了。
33-sel2_txt,どうしようかな～
33-sel1_txt,当然，可以啊！
33,如果不打扰的话，\n今天我也能和姬塔小姐\n一起度过吗？
23,……呼呼。\n露莉亚看起来很开心呢。
22,看着与自己\n抱有完全相反的烦恼的露莉亚，\n莉夏放松了肩膀。
21,嗯～，确实游泳啦收集贝壳啦\n打沙滩排球啦，\n想做的事情有很多呢！
20,姑且换上了泳衣，\n但该如何度过呢……
19,那个……就是那个……\n突然被告知休假，\n说实话不知道该怎么办才好。
18,好不容易，来到度假村了！\n不玩就亏了？
17,莉夏小姐，怎么了？\n稍微有点发呆\n的样子……
16,莉夏难得地发着呆\n被叫到后才\n注意到露莉亚就在附近。
15,……啊，露莉亚。
11,莉夏小姐～！
10,啊嘞，真的！\n在那儿做什么呢？
7,…………
4,在那里的是，\n莉夏小姐吧。
3,嗯？\n怎么了，露莉亚。
2,去海边也不错，\n帮忙店铺也很开心……\n……咦？
1,呼呼，今天要\n做些什么呢，姬塔？
0,结束钓鰹鱼后，\n姬塔一行\n尽情享受着度假村的乐趣。
0-synopsis,姬塔一行决定与因突然的假期而不知所措的莉夏共度假日。在海边散步的众人遇到了正在寻找鰹鱼的妲奴亚，于是前往卡塔克利家请求分一些鰹鱼。
0-chapter_name,海边的一天
