id,name,text,trans
0-chapter_name,,注文がちょっぴり多い聖騎士団長,点单要求多多的圣骑士团长
1,シャルロッテ/夏洛特,ほほう。見た目からしてすでに\n美味しそうなのであります。\nいただきますなのであります！,喔喔。单看外表就觉得\n很好吃的样子呢。\n我要开动了！
3,シャルロッテ/夏洛特,ぱくっ……\nはむはむ……,吧唧……\n吧唧吧唧……
4,シャルロッテ/夏洛特,こ、これは……！,这、这是……！
5,シャルロッテ/夏洛特,絶品なのでありますー！！,绝品啊！！
6,シャルロッテ/夏洛特,これは、まさに自分が\n求めていたものでありますよ。\nとっても美味であります！,这，正是梦寐以求的\n味道啊。\n非常美味！
8,シャルロッテ/夏洛特,はむあむあむ……\nごっくん！,吧唧吧唧吧唧……\n咕咚！
9,シャルロッテ/夏洛特,……ぷは！,……呼！
11,シャルロッテ/夏洛特,さすが、姬塔殿であります！\n自分は大満足なのであります！\nご馳走様なのであります！,不愧是姬塔小姐！\n我超级满足！\n多谢款待！
12,,シャルロッテは\n 姬塔達の料理に\n大変満足したようだった。,夏洛特似乎\n对姬塔一行做的料理\n非常满意。
14,,シャルロッテの信頼度が120あがった！,夏洛特的信赖度提升了120！
info,,,scene_evt170531_eating1
译者,,,Gemini
