id,trans
filename,scene_evt150430_cp4_q2_s10
translator,Gemini
info,scene_evt150430_cp4_q2_s10
76,没办法，去找找吧。
75,是吗。我得和他谈谈\n下次赚钱的事了。
74,呃，……不，没看到。
73,……说得太多了。\n小姑娘，你看到阿尔托斯了吗？
72,卡尔奇萨先生……
71,……真想\n再看一次那样的景象……\n如果能让孩子们也看到就好了……
70,一片金色的麦穗，\n随着风吹过摇曳起伏……
69,务农虽然辛苦不断，\n但收获的时候格外令人高兴。
68,……看着它，就会想起令人怀念的景象\n浮现在脑海中……
67,原来如此……\n是纪念品呢。
66,宝石什么的，没时间卖掉。\n……剩下的这个，\n我留作纪念了。
65,钱用来给岛上的人和劳动者中，\n受伤的人和病人治病了。
64,起义顺利的时候，\n我们把艾皮斯的家伙们囤积钱财的仓库\n给砸了。
63,……你想听\n这个宝石的故事吧。
62,发生了那样悲伤的事……\n啊……
61,我的父母兄弟，亲戚，\n朋友和他们的家人……\n都不知道去了哪里。
60,有的变成了奴隶……\n有的沦为罪犯……\n所有人都被赶出了西德洛斯。
59,但是……艾皮斯认真起来\n砸钱进去的话，农民的反抗什么的\n对他们来说屁都不是。
58,为了向艾皮斯抗议，\n我们发动了起义。\n一开始很顺利。
57,我们……\n只是，想夺回我们宁静的故乡……
56,太过分了……！\n难道就没有考虑过\n原本居住在那里的人吗！？
55,治安很快就变得糟糕透顶。\n而且，那黑烟还污染了土地。
54,商人们为了推进矿山开采\n让罪犯和奴隶在西德洛斯劳动。
53,但是……发现了矿脉，\n艾皮斯的商人买下了西德洛斯……\n然后一切都变了。
52,我也，以为自己会一辈子辛勤耕作\n生活下去。
51,我年轻的时候，西德洛斯还是\n一个遍布田地的岛屿。
50,如果没有那玩意儿，\n现在西德洛斯的天空也会是蔚蓝的吧。
49,没错。\n提炼挖掘出来的矿物\n的时候会排放出来。
48,城镇里的烟雾，\n是从工厂里排放出来的\n我听斯ィ尔くん说的。
47,让我想起了以前的，西德洛斯的天空……\n没有烟雾，\n一片蔚蓝，无边无际的天空……
46,嘿，真是个奇怪的小姑娘。\n但是……怎么说呢，\n看着你……
45,…………
44,我，想知道卡尔奇萨先生是怎样的人！
43,为什么……你说？\n那和你\n有什么关系！？
42,生命……是很重要的东西呢。\n但是，为什么\n这么重要呢？
41,这个宝石我不会交给你的！\n这是我的东西，我的命！！
40,…………！？\n你，在这里！？
39,那个，卡尔奇萨先生。
38,呜……爷爷快点\n消失吧……\n等等，露莉亚姐姐！？
37,…………
36,走进房间的卡尔奇萨，\n从众人放回原处的宝箱里\n取出星晶并静静地注视着。
35,孩子们和姬塔，\n露莉亚，玛丽把宝箱放回原处\n并藏在房间的各个角落。
34,露莉亚姐姐，姬塔，\n这边！　来这边！！
33,诶诶诶！？　这么快！？\n得赶紧藏起来！
32,不好了……！\n爷爷，回来了……！！
30,那果然，要把星晶和宝玉\n从爷爷那里分开……！
29,是可能性之一……\n我觉得\n不是不可能的事。
28,那爷爷是\n被星晶兽操纵着\n收集宝玉吗！？
27,说起来，刚才露莉亚姐姐说\n星晶兽中也有能\n影响人心的家伙……
26,那，那种事真的会发生吗！？
25,星晶，为了恢复原状\n可能在收集宝玉……
24,诶！？\n什么意思，露莉亚姐姐！
23,……那，或许就是目的。
22,如果一不小心\n星晶兽复活了就糟了！
21,但是，那宝玉和星晶，\n放在一起不会很危险吗？
20,不那样做的话\n就封印不了吗？
19,星晶兽\n非常强嘛。
18,通过分散封印魔力，\n可能是为了\n削弱星晶兽的力量吧。
17,……宝玉，\n好像是魔力的块状物。
16,那么，宝玉那边\n到底是什么呢？
15,星晶是说，\n星晶兽本身\n被封印了对吧？
14,……没错，\n星晶和宝玉\n散发着同样的气息。
13,…………
12,露莉亚姐姐，怎么样……？
11,真是的！古拉斯！\n有外人在的时候\n别说这种丢脸的话！
10,哇～，好大的宝石……！\n卖了的话能值多少钱呢？
9,玛丽从宝箱里取出来的\n是足有一把那么多\n的大颗宝石。
8,就是这个箱子。哟……\n看，打开了。
7,哇！\n玛丽小姐，好厉害！
6,玛丽在看起来没有缝隙的地板上\n用指甲一抠，木板就脱落了\n露出了隐藏的洞穴。
5,……这附近吗？\n虽然木纹很整齐……\n嗯，就是这里！
4,嗯，好像是从这地板附近\n拿出来的……\n但是，没有把手之类的呢。
3,姐姐，\n你知道爷爷从哪里\n把宝箱拿出来的吗？
2,问题是星晶？那边吧。\n我好像没见过啊。
1,宝玉在里面架子的上面哦。\n虽然摸了会被骂，\n但并没有藏起来。
0,……好嘞，爷爷出去了\n趁现在……！
0-synopsis,露莉亚确信宝石就是星晶，而宝玉则是封印了星晶兽魔力的东西。认为卡尔奇萨受星晶兽影响收集宝玉的露莉亚，询问卡尔奇萨本人为何执着于宝玉。卡尔奇萨讲述了西德洛斯岛的岛民身上发生了什么，以及自己是如何在那场漩涡中得到星晶的。
0-chapter_name,第四话 麦田在记忆的彼方
