id,trans
filename,scene_evt161231_cp0_q2_s10
translator,Gemini
info,scene_evt161231_cp0_q2_s10
264,“白金天空”\n　　　　　　　　　　　　　——END
263,对于这句轻声说出的话\n巴萨拉卡也轻轻地\n点了点头——
262,不能就这样放任不管。
261,尤斯缇斯轻轻地将指尖\n触碰在搭档弗雷姆库的雷电上，\n将深邃的目光投向远方。
260,…………
259,尤斯缇斯，你打算怎么办？
258,那倒也不是，\n什么新鲜事……
257,哼……在我们不知道的地方\n似乎有什么东西在蠢蠢欲动。
256,而最终，\n组织希望将他们歼灭。
255,与组织，以及与组织的敌人都有关联的\n地下研究所，吗……
254,…………
252,内容不清楚。\n但是，记录就是这个。
251,从这里流向组织的情报究竟是什么？
250,…………
249,但是……\n还不能说是就此结束了。
248,参与作弊的家伙们\n也已经被逮捕了。
247,PSC官方的一部分人员……
246,与巴萨拉卡汇合的尤斯缇斯，\n按照组织的任务指示，成功地\n歼灭了地下研究所。
245,在史上最激烈的殊死搏斗后\n决出胜负，以及蓝色流星达成PSC五连霸\n让人们沸腾不已的背后……
244,是啊。
243,……这样一来这次的任务就完成了。
242,…………
240,——！
233,在震耳欲聋的欢呼声中，\n姬塔等人爽朗地，开怀地\n笑了起来。
232,呼啊……饶了我吧。
231,哈哈！\n不过，冠军大哥也\n挺厉害的嘛！
230,……嘛，下次\n希望不要再进行那种莫名其妙的\n战斗了。
229,姬塔紧紧地握住了\n伸出的手。
228,下次再比试吧。
227,比起那个，姬塔。
226,嗯，也许吧。
225,在那种失去理智的状态下获胜\n那大概，不是真正的\n胜利吧。
224,即使那是他想要赢的\n强烈意志的结果……
223,因为你们阻止了他的暴走。
222,感谢……？\n为什么呢？
221,他听到了吧。\n那家伙，大概在感谢你们呢。
220,他已经没在听了吧……？
219,啊，啊……那个，\n我们下次也不会输的！
217,哼……
216,下次还是我会赢。
215,缪恩，你也是。
214,……我还没有放弃。\n下次一定会赢。
213,玛蒂解除了与机器的连接，\n站在了姬塔等人面前。
206,可恶……
205,第三名是凯撒·赫尔沙夫特！
203,呼呼……\n我们，很努力了呢！
202,然后第二名是骑士天翔！
200,……啊，但是……
199,呼啊，呼啊……\n输，输了呢……
192,太棒啦啊啊啊啊\n——！！！
191,蓝色流星，\n达成五连霸了啊！！
190,蓝色轨道哦哦哦哦！！
189,率先冲过终点线的是——
183,——……
181,原来如此，你也是……
176,——！
173,啊啊啊啊啊\n啊啊啊——！！
172,咕唔哦哦哦哦啊\n啊啊啊——！！
171,我已经开始想「这简直太美了」这种\n老套的事情了\n请原谅我吧！
170,划破苍穹的，深蓝之夜，蓝色流星，\n以及燃烧的火焰！！\n实在是太厉害了！！
162,哼……来吧。\n我会用速度将一切\n碾压！！
161,我才不会\n输呢ーーー！！
160,上帝啊！　我们只能\n继续观战了！！　吐槽说「一开始就该这样」就免了吧！！
159,意料之外的，凯撒·赫尔沙夫特的\n复活！！　这下\n变得扑朔迷离了啊！！
158,可恶！！\n事到如今只能继续前进了！！
157,然而，处于极度集中状态的\n姬塔听不到她们的声音。
156,但是，很危险吧！？\n怎么办，姬塔！
155,糟糕了……嗯？\n不过，好像恢复正常了……吗？
