id,trans
filename,scene_chr167_q3_s20
translator,Gemini
info,scene_chr167_q3_s20
24,姬塔从相碰的拳头中，\n感受到了菲扎炽热的信念和深厚的信任，\n它们深深地触动了她的灵魂。
23,姬塔也笑了，\n将自己的拳头\n与菲扎伸出的拳头碰在一起。
22,菲扎仿佛从迷茫中解脱出来一般，\n爽朗地笑着向姬塔\n伸出了拳头。
21,然后让我们好好见识一下\n我们的厉害吧！！
20,喂，姬塔。\n我们也要继续变强……\n然后再去见求道者，那个男人！
19,是姬塔，你啊。\n真的非常感谢你。
18,呵，\n让我意识到这一点的……
17,不……没必要着急。\n只要我继续变强，\n总有一天会见到他的。
16,唔～，没能得到\n关于求道者的情报，\n真是太可惜了。
15,呼～……盗贼团解散了，\n头目大叔也\n改过自新了，真是太好了。
13,一行人从头目那里打听到了关于求道者的消息，\n但没有得到什么关键信息。
12,头目承诺解散盗贼团，\n去附近的宪兵队自首，\n重新做人。
10,哇哈哈哈哈！\n真是的，\n你们真是让人心情舒畅的家伙啊！
9,头目静静地笑了，\n紧紧地握住了两人的手。
8,姬塔也点了点头，\n和菲扎一起向头目伸出了手。
7,没关系的。\n你一定能重新开始的！
6,不，你没有堕落。\n你的灵魂中也还残留着炽热的信念。\n我能感觉得到。它传递到了我们的灵魂中。
5,切……我上了年纪之后……\n也堕落了啊……
4,啊啊……过去的事了。虽然我惨败了……\n但那家伙的拳头中没有善恶，\n只有纯粹的力量和炽热的信念……
3,这么说，你真的\n和求道者交过手……
2,嘿……让我想起了与某个求道者……\n与某个男人的对决……
1,呼呼……哈哈\n真是舒畅……真是\n久违的感觉啊……
0,被姬塔和菲扎那\n寄宿着灵魂的拳头击中后，\n头目踉跄了几步，单膝跪地。
0-synopsis,与寄宿着菲扎灵魂的炽热拳头交谈过的头目，开始怀念起与那位求道者的对决。与当时从求道者那里感受到的纯粹力量相比，现在的自己堕落不堪，让他悔恨不已。但菲扎鼓励他说，在他刚才挥出的那一拳中，仍然残留着炽热的想法。被打动了的头目决定解散盗贼团，并发誓要重新做人。而菲扎寻找求道者的旅程也仍将继续。
0-chapter_name,炽热的拳头震撼灵魂
