id,trans
filename,scene_evt141130_cp6_q2_s10
translator,gpt-4o-2024-08-06
info,scene_evt141130_cp6_q2_s10
43,走吧……前面就是王座。
42,谢谢……大家！麻烦你们了！
41,嘿！大家的心意好像一致哦？兰斯洛特！
40,是的！姬塔！我们也要看到最后！
39,好吧！既然走到这一步，我们也该下定决心了！
38,我也……想揭露这个国家隐藏的真相！
37,感受到信仰崩溃的恐惧几乎让膝盖发抖，兰斯洛特依然坚定地看向前方。
36,兰斯洛特斩倒眼前的宫廷骑士，仿佛是在展示他的决心。
30,那么……！！
29,我……想用这双眼睛确认真相……
28,总之，现在往前走吧！我也不喜欢在烦恼中原地踏步！
27,果然，那地牢和被囚的村民的存在，正如齐格飞所说……
26,不问青红皂白就对我和维恩这样的自己人下手，这不对……
25,即便……这些村民犯下大罪被困在地牢中……即便我们将他们解放了。
24,小兰！这些家伙真的想杀了我们！
21,去死吧！
20,一旦国家灭亡……那女人就会像蜜蜂一样寻找下一个可以吸食的花朵。
19,只有那个女人和她的一部分随从受益，而整个国家却在不断衰弱。
18,出于对美的执着，伊莎贝拉将灵药用于私利私欲，而其代价则是民众以生命为代价不断偿还。
17,齐格飞……
16,如果对剑产生了怀疑……你会在这里丧命的。我以前教过你……不是吗。
15,醒醒吧，兰斯洛特！
12,就在那时，宫廷骑士的剑捕捉到了兰斯洛特。
10,哈！
9,灵药……阿尔玛不是让民众幸福的奇迹药物吗……
8,嘁……兰斯洛特和齐格飞真的在一起！
7,找到了！入侵者！
4,被蔑视为弑君大罪人的齐格飞，竟为保护国民的生命而挥剑……
3,一直以国民幸福为先的伊莎贝拉大人……在背后欺骗国民……
2,……不可能。这一切……都是颠倒的！
0-synopsis,伊莎贝拉欺骗了国家，而齐格飞则试图保护国民。面对与过去所信的事实截然相反的真相，兰斯洛特的剑开始动摇。齐格飞像过去作为师傅时一样，告诫兰斯洛特「醒醒」。王都斐德拉赫隐藏的真相究竟是什么。为了弄清这一切，兰斯洛特坚定决心，与姬塔一行同心协力走向王座。
0-chapter_name,第6话 拯救国家的忠诚骑士
