id,name,text,trans
0-chapter_name,,食、悦びについて,关于进食与喜悦
0-synopsis,,グランサイファーの食堂にて姬塔達とヤイアに出会ったレイは、ヤイアからチャーハンを貰った時、ネルフのパイロット達へのサプライズ歓迎会の話を聞いてしまう。シンジ達には秘密にすると言ってくれたレイに、ヤイアは一緒に歓迎会の料理を作らないかと言う。苦手なら教えると語るヤイアの誘いに、レイは応じるのだった。,零在格兰赛法号的食堂里遇见了姬塔一行人和丫丫。丫丫送给她一份炒饭时，不慎说漏了要为NERV的驾驶员们举办惊喜欢迎会。零答应会对真嗣他们保密，丫丫便邀请她一起准备欢迎会的菜肴，还说如果她不擅长，自己可以教她。零接受了丫丫的邀请。
1,,ネルフのパイロットたちが、\n時折グランサイファーへ\n身を寄せるようになった頃──,NERV的驾驶员们开始偶尔\n寄住在格兰赛法号上之后——
2,レイ/零,…………,…………
3,,棚の上を眺めていたレイは、\n薬袋の横に置いていたビーカーを\n手に取ったが……,零望着架子上方，拿起了放在\n药袋旁边的烧杯，然而……
5,レイ/零,…………,…………
15,ルリア/露莉亚,はわわ～……\nやっぱり美味しいです～！,哇哇～……\n果然好好吃～！
16,ビィ/碧,ヤイアのチャーハン、\n前より更にうまくなってねぇか！？,丫丫的炒饭，\n是不是比以前更好吃了！？
17,ヤイア/丫丫,えへへー♪\nまだつくれるから、たくさんたべてね！,嘿嘿～♪\n还能再做，大家多吃点哦！
18,ルリア/露莉亚,あっ、レイさん！\nレイさんも\n小腹が空いちゃったんですか？,啊，零小姐！\n零小姐也肚子饿了吗？
19,レイ/零,いいえ。,没有。
20,ビィ/碧,んじゃ、何してんだ？\nそんなもん持ってよ。,那你拿着那玩意儿\n来干什么？
21,レイ/零,水、取りに来ただけ。,只是来装水。
22,ビィ/碧,……もしかして、\nその実験器具みたいなのに入れる気か？\n水差し使えよ……,……你该不会打算用那个\n像实验器材一样的东西装吧？\n用水壶啊……
23,レイ/零,持ってない。,我没有。
24,ヤイア/丫丫,おだいどころに、あまってるのあるよー\nヤイアもってきてあげる！,厨房里有多余的哦～\n丫丫去帮你拿！
25,ヤイア/丫丫,あとね、レイちゃんにも\nちゃーはんつくってあげるー！,还有，丫丫也要给小零\n做炒饭～！
26,レイ/零,……チャーハン？,……炒饭？
27,,レイは、姬塔達の食べている\nチャーシュー入りのチャーハンを見た。,零看向了姬塔她们正在吃的\n叉烧炒饭。
28,レイ/零,私──,我——
29,ヤイア/丫丫,ちょっとまっててねー！\nとことことこ～,稍等一下哦～！\n哒哒哒～
36,,跳ねるような上機嫌のヤイアは\n厨房へ去り、\n少しの間を置いて戻ってきた。,兴高采烈的丫丫蹦蹦跳跳地\n去了厨房，过了一会儿又回来了。
38,ヤイア/丫丫,おまたせー！\nこっちは、おねえちゃんたちようの\nおかわりでー,久等啦～！\n这份是姐姐们要的加餐——
39,ルリア/露莉亚,わーい！　大盛りです！,好耶！是大份的！
40,ヤイア/丫丫,こっちは、レイちゃんせんよう\nすぺしゃるちゃーはん！\nもちろん、おにくぬきだよー！,这份是小零专享的\n特制炒饭！\n当然没有放肉哦～！
41,レイ/零,……どうして。,……为什么。
42,レイ/零,どうして肉、\n食べないって知ってるの？,为什么你知道\n我不吃肉？
43,ヤイア/丫丫,うんとねー、ローアインちゃんたちに\nおしえてもらったのー,这个嘛～是洛爱因他们\n告诉我的～
44,ヤイア/丫丫,ネルフからきたみんなの\nかんげいかいのために、すききらいを\nこっそりりさーちちゅーなんだってー,他们说，为了给NERV来的大家\n开欢迎会，正在偷偷调查\n大家喜欢和不喜欢吃什么～
45,ルリア/露莉亚,ああっ！　ヤイアちゃん、駄目です！\n<span class='scene-font-2'>歓迎会は秘密のサプライズでっ……</span>,啊！丫丫，不可以说！\n<span class='scene-font-2'>欢迎会是保密的惊喜……</span>
46,レイ/零,……歓迎会。,……欢迎会。
47,ビィ/碧,あちゃー……\nばっちり聞かれちまったな……,糟了……\n被她听得一清二楚……
48,ヤイア/丫丫,あうー……ごめんなさい……\nひみつなの、ヤイアわすれてた……,呜……对不起……\n丫丫忘记要保密了……
49,レイ/零,碇君たちには秘密にする。,我会对碇君他们保密。
50,,レイはそれだけ返すと、目の前にある\nレイちゃん専用スペシャルチャーハンを\n一口食べた。,零只这么回答了一句，随后吃了一口\n摆在面前的小零专享特制炒饭。
51,レイ/零,おいしい……,好吃……
52,ヤイア/丫丫,……レイちゃん、\nちゃーはんきにいった？,……小零，\n你喜欢炒饭吗？
53,ルリア/露莉亚,じゃあ、歓迎会でも沢山作りますね！\nこれから私、ヤイアちゃんに教わって\nチャーハンの練習をするんです！,那欢迎会上也多做一些吧！\n接下来我要向丫丫学习，\n练习做炒饭！
54,レイ/零,練習……,练习……
55,ヤイア/丫丫,いっぱいつくって、レイちゃんも、\nほかのネルフからきたひとも\nみんなうれしいかいにするよー！,我们要做很多，让小零和\n其他从NERV来的人\n都开开心心的～！
56,レイ/零,そう……,是吗……
57,ヤイア/丫丫,…………,…………
58,ヤイア/丫丫,……レイちゃんもやる？,……小零也要做吗？
59,レイ/零,……私？,……我？
60,ヤイア/丫丫,いっしょにつくって、じゅんびする？\nヤイア、おりょうりとくいだから、\nもしにがてならおしえてあげる！,要不要一起做、一起准备？\n丫丫很擅长做饭，\n如果你不会，丫丫可以教你！
61,ヤイア/丫丫,いやだったら、だいじょうぶだけど……,不愿意的话，也没关系……
62,レイ/零,…………,…………
63,レイ/零,……おいしかった。,……很好吃。
64,ヤイア/丫丫,うん。,嗯。
65,レイ/零,お願いします。,请教教我。
66,ヤイア/丫丫,うん！\nヤイアにおまかせー！,嗯！\n交给丫丫吧～！
67,,こうしてレイは、ルリアと共に\nヤイア先生のチャーハン講座を\n受けることとなったのだった。,就这样，零和露莉亚一起\n参加了丫丫老师的炒饭讲座。
info,,,scene_chr968_q1_s10
译者,,,GPT-5.6 Sol
