id,name,text,trans
0-chapter_name,,少女騎士の信条,少女骑士的信条
0-synopsis,,どうにか魔物を退けた<span>姬塔</span>達。喜びも束の間、男の悲鳴を聞きつけ駆け寄ると、そこには魔物に襲われた帝国兵が。放っておくことはできないと、ファラは魔物に立ち向かう。,好不容易击退魔物的<span>姬塔</span>一行。还没来得及高兴，就听到男人的惨叫声，赶忙跑到跟前，发现是帝国士兵遭到了魔物袭击。法拉认为不能坐视不理，于是勇敢地站了出来。
0,ファラ/法拉,どうっすか、先輩！\n今の技、見ててくれましたか！？,怎么样，前辈！\n看到我刚使出的技能了吗！？
1,カタリナ/卡塔莉娜,なっ！？\nファラ、後ろだ！,什么！？\n法拉，后面！
2,ファラ/法拉,！！,！！
4,魔物,グギャッ！？,呜哇！？
5,カタリナ/卡塔莉娜,気をつけろ、油断は禁物だ！\n演習と違って、敵は待ってくれないぞ。\n姬塔を見習え。,小心点，别大意！\n实战和演练不同，敌人可不会等你。\n学学姬塔。
6,ファラ/法拉,あうぅ……,哎哟……
7,カタリナ/卡塔莉娜,う～ん……\n確かに、腕は上げたみたいだが、\nお前は少し、集中力が……,嗯……\n你的确进步了不少，\n但你还是有点……不够专注……
8,ファラ/法拉,…………？,…………？
9,カタリナ/卡塔莉娜,やれやれ……\nファラ、聞いているのか？,真是的……\n法拉，你在听吗？
10,ファラ/法拉,今、何か聞こえたっす。\n誰かの悲鳴みたいな……,我好像听到什么声音了。\n像是谁的惨叫声……
11,ファラ/法拉,あっちっす！,在那儿！
12,カタリナ/卡塔莉娜,ま、待て！,等，等等！
15,魔物,グルルルルゥ……,咕噜噜噜……
16,帝国兵/帝国士兵,くっ……\nだっ……誰か……！,可恶……\n有……有人吗……！
17,ビィ/碧,うわっ！\n……て、帝国兵！？\n魔物に襲われてるのか！,哇！\n……那，那是帝国士兵！？\n他被魔物袭击了！
18,ファラ/法拉,放っておけないっす！\n助けるっす！,不能见死不救！\n我去帮忙！
info,,,scene_chr023_q2_s10
译者,,,Gemini
