id,trans
filename,scene_ult_chr387_ep2_q3_s10
translator,gemini-3.1-pro-preview
info,scene_ult_chr387_ep2_q3_s10
138,看着在那座位中央绽放笑容的\n尤格多拉希尔，\n伯梅伦的表情也稍微柔和了一些。
137,伯梅伦一边给身旁部下的酒杯\n斟酒，一边注视着\n其他热闹的座位。
136,……请用。
135,……今天的酒真是沁人心脾啊。\n老板，能再给我来份萝卜\n和一杯酒吗……？
133,……是，元帅……！
132,你就死心回老家，\n去好好孝敬父母吧……
131,禁闭期间禁止从事\n一切与职务相关的工作。
130,禁闭……明白了……
129,命令你暂时禁闭。\n我之前也说过，\n违反纪律可是重罪……
128,……是，是的！
127,啊，说起来，\n对你的处分已经决定了。
126,……是吗。
125,……找到了母亲给他织的东西。\n哥哥一直贴身带着。
124,你哥哥的东西，\n找到了吗？
123,虽然可能会花些时间，\n但还是尽力查查吧。
122,是的。\n如果能确认身份就好了……
121,这就是尤格多拉希尔\n收集来的东西吗……
120,而伯梅伦则──
119,梅弗拉什的王国兵们，\n正在尽情享受着久违的关东煮\n和工作后的一杯酒。
118,尤格多拉希尔这可爱的决心，\n让姬塔他们不禁笑出了声。
117,是的！\n我们一起去了解更多更多的事情，\n变得更强吧！
116,嘿嘿，这很有尤格大姐的风格嘛！\n我们也举双手欢迎！
115,呵呵……这孩子说，\n为了今后能变得更强，\n要吃很多好吃的东西呢。
114,────！！
113,来，竹轮面筋，久等了。
112,如果是各位的话，随时欢迎哦。\n在隐蔽港那件事上，\n也承蒙你们照顾了。
111,呵呵，因为营养也很丰富嘛。\n让人都想经常来光顾了呢。
110,也能理解士兵大叔们\n任务结束后为什么想吃这个了呢……
109,哇啊啊……\n果然充满鲣鱼风味的\n高汤最棒了～……
108,软和的食物也很多，\n吃起来很容易，看来她\n非常喜欢关东煮呢。
107,────！
106,萝卜，久等了。
100,就这样决定了，王国战舰和\n格兰赛法号一同\n前往了阿加斯提亚。
99,真拿你们没办法……\n就请那边的星晶兽\n也吃一顿关东煮吧……
98,看来她对关东煮很感兴趣。\n因为大家聊得\n非常开心的样子。
97,……我似乎感觉到了视线。
96,欢声雷动的王国兵们。\n尤格多拉希尔兴致勃勃地\n看着这一幕。
95,我可是元帅哦。\n请这点人吃饭，\n简直是小菜一碟！
94,真的吗，元帅！？\n不过，除了我们之外\n还有不少士兵……
93,……既然如此，作为奖励，\n就请大家吃关东煮吧。
92,在<span class='scene-font-place'>梅弗拉什</span>工作也不错，\n但我还是很怀念<span class='scene-font-place'>阿加斯提亚</span>的\n关东煮啊……
91,哈哈，真怀念啊……\n任务结束后，还在路边摊\n喝过一杯呢。
90,在帝国军的时候，这种任务\n可是每天都有啊……
89,说实话，我还以为会死呢……\n最近光是担任陛下的护卫，\n身手可能变迟钝了。
88,在一行人的身后，\n在地面迎击的士兵们也回来了。
87,呵呵，真不坦率呢。
86,不用谢……\n我们只是付了该付的代价，\n而已……
85,尤格多拉希尔\n在萝赛塔身旁鞠了一躬。
84,这孩子说，无论如何\n都要向你道谢。
83,你们的骑空艇\n可不在这边哦？
82,从森林回来的姬塔一行人，\n来到了伯梅伦他们那里。
