id,trans
filename,scene_evt150331_cp0_q1_s10
translator,gpt-4o-2024-08-06
info,scene_evt150331_cp0_q1_s10
74,当然可以。关于那个怪盗的事件……\n就让名侦探巴洛瓦\n来解决吧。
73,这个委托，你能接受吗？
72,嗯……\n你说得对。\n就那么做吧。
71,揭开真相，\n是在抓住这个怪盗之后。
70,不，先生。\n以后再说。\n我们先调查。
69,呵呵呵……\n在名侦探巴洛瓦面前，这点小事……
68,你发现了什么吗？
67,你发现了什么吗？\n……原来如此，是这样啊。
66,先生，这是……
65,其实前几天，这封预告信到了。\n据说是那个轰动一时的怪盗的。
64,没错。\n曾追捕过那个怪盗的人，\n只有我一个。
63,听说你有怪盗对手\n这样的头衔。
62,初次见面！\n我是助手萨雅。
61,初次见面。\n我是侦探巴洛瓦。
58,别磨蹭！\n快把他叫来！\n报酬无论多少都可以！
57,谢谢您！
55,难道是那个侦探……
54,如果要抓住那个怪盗，\n好像有个合适的人选。
53,我也是从传闻中听说的……
52,那么……\n怎么办？
51,谁知道呢。不管是怪盗还是其他人，\n至少应该和预告信的发信人\n是同一个人。
50,那果然是，怪盗干的吧……
49,原因很明显。\n有人接近员工……\n用作弊手段大发横财。
48,我知道。\n自从那封预告信到达以来，\n赌场的经营就一直在下滑。
47,但是，克里斯大人……\n那个怪盗，真的好像来了……
46,我说过让你们抱怨了吗！\n我是让你们想出解决办法！
45,谢谢您！
43,可是……\n这个发信人，怪盗夏诺瓦尔\n以不放过盯上的猎物而闻名……
42,盯着那张可笑的纸片，\n情况就会改变吗？\n赶紧想解决办法！
41,经理克里斯提娜挥舞着\n她的爱之鞭，\n抽打着苦恼不已的员工。
9,怪盗夏诺瓦尔，\n据说他盯上的猎物\n从未逃脱过……
8,──怪盗夏诺瓦尔。
7,你们引以为命的\n赌场船，珠宝度假村。\n不久后，我将前来取之。
6,亲爱的\n珠宝度假村员工们。\n我就是世人皆知的怪盗。
5,面露不安的员工手中握着一封预告信。\n信中写道……
4,这个发信人，\n就是传闻中的那位吧……
3,真是让人头疼啊……\n难道真的会如预告信所说那样吗……
1,穿过奢华大厅，员工们的休息室中，\n弥漫着一股不安的气息。
0,绚丽豪华的赌场船，\n珠宝度假村。
0-synopsis,某天，赌场船珠宝度假村收到了怪盗夏诺瓦尔的预告信，内容是「我将夺取这艘赌场船」。看到这封引起世间轰动的怪盗预告信，员工们面露愁苦之色。赌场的经理克里斯提娜于是委托了被称为「怪盗夏诺瓦尔的对手」的侦探·巴洛瓦进行调查。
0-chapter_name,开场
