id,trans
filename,scene_evt250204_cp6_q3_s10
translator,Gemini
info,scene_evt250204_cp6_q3_s10
281,刹那间，淡而柔和的光芒\n包裹了周围，纳吉\n将意识潜入了深深的梦境之中。
275,梦之妖精 女王梅芙啊\n打开门扉 引我进入梦境……！
274,纳吉，────
273,纳吉的攻击击碎了结晶，\n被困在其中的人\n无力地垂下了头。
272,星晶兽祖尔宛，咕……！
264,右臂解放，魔法射手·光之1001矢！\n<span class='scene-font-4'>——樱花崩拳！！</span>
263,伴随着姬塔小姐的声音\n纳吉蹬地而起，毫不犹豫地\n朝着祖尔宛胸口闪耀的结晶冲去。
262,是！
260-sel1_txt,纳吉！
260,星晶兽祖尔宛，居然让融合无效化了……！？
259,在一切都被回溯的瞬间，\n充满空间的熊熊烈焰\n将被改写的现在彻底摧毁。
240,「来吧」——\n——破坏的火种！！
239,……碧！
230,但是，我相信。\n父亲一定\n会醒过来的。
229,我不知道。\n关于这一点，\n老实说是一场赌博……
228,唤醒……\n真的可以做到吗？
227,即使封印装置失效之后，\n祖尔宛也无法\n发挥出全部的力量。
226,如果父亲对自己\n施加“封印魔力魔法”，\n变成和普通人一样的话……
225,然后，在现实再次被改写之前，\n唤醒在祖尔宛体内的父亲的\n意识。
224,然后，\n利用碧的力量\n使祖尔宛的改写无效化。
223,因此，我们要\n故意让祖尔宛使用一次能力\n消耗他储存的魔力……
222,那就是碧的力量……\n能够让祖尔宛改写的事象\n无效化的力量。
221,是的。\n但我们幸运地还有另一个，\n只能使用一次的王牌。
220,是哦……\n一旦招数被识破了，\n就会被想出对策呢。
219,只要哪怕一次\n被「抹消」了，\n那时就结束了。
218,即使切断了魔力的供应，\n祖尔宛也并非\n无法使用能力。
215,…………！
214,那么，就让我把你们的希望……\n全部涂上绝望的色彩吧！
213,但是，那又如何！\n只是封住了区区部件而已，\n就以为我动摇了吗？
212,哈……哈哈哈哈！\n你们这些凡人还真是费尽心思啊！
211,所以我们，用我们世界的知识\n想出了对抗你的方法。
210,就算你拥有强大的力量，\n既然曾经被封印过，\n就并非完全没有对策。
207,但即使只是聊胜于无，\n也能避免从头到尾都束手无策的\n情况。
