id,name,text,trans
0-chapter_name,,ニンジン問答,胡萝卜问答
0-synopsis,,ラファエルの昔話を聞き届けると、四大天司はジジイの墓に向かう。ジジイの死から１年が経過したこの日、ラファエル達は墓参りのため集まったのだった。ミカエルは「我々はあと何度失う事になるのだろう？」と溜め息を吐くが、ラファエルはジジイから貰ったものは自分の内や農園、野菜に宿っており、決して消えないと想いを語るのだった。,“我们还要失去多少次呢？”但拉斐尔表示，从老爷子那里得到的东西寄宿在自己内心、农场和蔬菜中，绝不会消失。
1,,ラファエルの昔話を聞き届けると、\n一同は丘の上の墓へと向かう。,听完拉斐尔的往事，一行人前往山丘上的墓地。
2,,ジジイの死から１年──\n四大天司が集ったのは、\n墓参りのためであった。,老爷子去世一年后——四大天司聚集在此，是为了扫墓。
3,４人,…………,……
4,,ラファエル達は、１年前に\n自分達で建てた墓を手入れする。,拉斐尔等人打理着一年前自己建造的坟墓。
5,,ミカエルは落ち葉を掃除し、\nガブリエルは丁寧に墓石を洗い、\nウリエルはポタージュを供えた。,米迦勒扫除落叶，加百列仔细清洗墓碑，乌列尔供上了浓汤。
7,,墓の前で手を合わせた後、\n厳かな空気はわずかに解れて、\nウリエルが口を開いた。,在墓前合掌之后，严肃的气氛稍有缓和，乌列尔开口了。
8,ウリエル/乌列尔,……あの爺さんなら、\n墓参りなんてしてる暇があったら\n野菜を世話しろ、とか言いそうだよな。,……那个老爷子，大概会说与其来扫墓还不如去照料蔬菜吧。
9,ラファエル/拉斐尔,だろうな。\nだが我は我の意志でここに来た。,是啊。但我是凭自己的意志来这里的。
10,ガブリエル/加百列,あら……♪\nラファエル、凛々しいわ。\nとっても絵になってる。,哎呀……拉斐尔，真帅气。非常上镜呢。
11,ラファエル/拉斐尔,……！\nついにガブリエルの絵のモデルに\n採用して貰えるのか？,……！终于能被加百列的绘画采用为模特了吗？
12,ミカエル/米迦勒,フフ……\nラファエルは、何故かずっと、\n絵のモデルになりたがっているな。,呵呵……拉斐尔不知为何一直想当绘画模特呢。
13,ラファエル/拉斐尔,…………,……
14,ラファエル/拉斐尔,……残す事には価値がある。,……留下事物是有价值的。
15,ウリエル/乌列尔,そうか……\n爺さんの似顔絵なんかは、\n残ってなかったよな。,是吗……老爷子的肖像画之类，没有留下呢。
16,,ウリエルが俯くと、\nミカエルはひとつ息を吐く。,乌列尔低下头，米迦勒叹了口气。
17,ミカエル/米迦勒,……弔う者ばかり増えていくな。\n我々はあと何度失う事になるのだろう？,……吊唁的人不断增加。我们还要失去多少次呢？
18,ラファエル/拉斐尔,失う、か……\n我はそうは思わない。,失去吗……我不这么认为。
24,,ラファエルはそう返すと、\nごろりと草の上に寝転んだ。,拉斐尔如此回答，然后躺倒在草地上。
25,ミカエル/米迦勒,ラファエル……？,拉斐尔……？
26,ラファエル/拉斐尔,ジジイから貰ったものは、\n我の内に、この農園に……\nそして野菜に宿っている。,从老爷子那里得到的东西，寄宿在我心中、这个农场……以及蔬菜里。
27,ラファエル/拉斐尔,決して……\n絶対に消える事などない。,绝不会……绝对不会消失。
28,ラファエル/拉斐尔,風が吹き止んでも、\n風が頬を撫でた感覚が、\n残り続けるように……,就像风停了，但风拂过脸颊的感觉依然留存一样……
29,ミカエル/米迦勒,……そうだな。\nそうかもしれん。,……是啊。也许是这样。
31,,ラファエルは寝転んだまま、\n澄み渡る蒼空を見つめる。,拉斐尔躺着仰望澄澈的蓝天。
38,ジジイ/老爷子,なぁ、風の坊主。\nニンジンは生きてると思うか？,喂，风的小子。你觉得胡萝卜是活着的吗？
44,ラファエル/拉斐尔,……生きている。\n我は、そう思う。,……是活着的。我，是这么认为的。
45,,つぶやいた答えは風に乗り、\nどこか遠くへ吹き上がる。,喃喃的话语随风飘散，飘向远方。
46,,近くのニンジン畑では、\n力強く若芽が伸びており、\n新たな生命に満ちているのだった。,附近的胡萝卜田里，新芽茁壮生长，充满了新的生命。
info,,,scene_chr914_q4_s10
译者,,,deepseek-chat
