id,trans
filename,scene_evt220628_cp3_q3_s10
translator,gemini-3.1-pro-preview
info,scene_evt220628_cp3_q3_s10
115,库碧拉等人旺盛地烧着柴火，\n让全身尽情地\n享受着伊休米尔带来的热浪。
114,拜托了！
113,是啊……\n那要不要体验一下？\n我的热浪。
112,嗯？\n既然腾出了空间，\n感觉可以进行热浪毛巾挥舞了……
111,库碧拉姐姐，兴致很高嘛！\n嗯！\n烧吧烧吧！
110,请务必这么做……！\n尽情地烧起来吧！
109,嗯，再多烧一点吧。\n我还想要更多的热量……
108,进出太频繁\n导致室温下降了吗。\n看来得加点柴火了。
107,看到阿妮拉等人都出去了，\n德里福德\n探头看了看柴火炉里面。
101,那么……\n我也差不多该告辞了……
100,对我来说还是太高级了……
99,我也是～……
98,我也不行了……\n我要出去了……
97,什么！？
96,啊，我也是！
95,是、是的……！\n说实话，就算再热一点\n好像也不错……之类的……
94,话说回来……\n库碧拉和安琪拉\n看起来还游刃有余呢。
93,哇～！\n那听起来好舒服啊！
92,在湖水或河水中，\n将全身积攒的热量降下来时，\n就能体会到与大自然融为一体的感觉哦。
91,安琪拉殿下，桑拿露营\n就是要像那样用大自然的冷水\n来给身体降温的。
90,好、好不可思议的感觉……\n热到身体深处的体温\n在慢慢被冷却的这种感觉……
89,是啊！\n感觉神清气爽，\n简直就像获得了新生一样！
88,哈哇哇～……♪\n冰冰凉凉的好舒服……
87,跑到外面的3人跳进湖里后……
81,啊，我也要出去……
79,我也是……\n我也要出去了……！
77,噢，不用勉强。\n到外面去“扑通”一下跳进湖里就好了。
76,呜～……可能到极限了～……
75,不，并没有这回事哦。\n因为——
74,可是……只要待在这里面，\n感觉就和自然没什么关系了吧……
73,被舒适的热度和自然所治愈。\n真是段非常美妙的时光呢……
72,这可真是……\n露营的可能性是无限大的呢。
71,听说最近爱好者们还会聚集起来，\n在大自然中搭建帐篷桑拿，\n举办相关的祭典哦。
70,<span class='scene-font-4'>啊哈哈哈哈！</span>\n阿妮拉殿下，那是当然的。\n桑拿和露营可是绝配。
69,话又说回来……\n这也是露营吗？
68,完全不明白\n这两人在说些什么呢……
67,嗯。遗憾但也无可奈何。\n毕竟通往“整顿完毕”之路并非一日之功啊。
66,对大家来说可能还太早了吧？\n刚才这么做的时候，蕾欧娜和赫尔エス\n可是马上就跑出去了……
65,但是，也有空间狭小这个缺点……\n虽然我也想让大家体验一下接受过热浪师培训的伊休米尔殿下\n所施展的热浪毛巾挥舞……
64,呼……热得真舒服……\n能够自己浇水产生蒸汽\n正是帐篷桑拿的优势呢。
58,应她的要求，德里福德\n不断地将水浇在石头上。
56,玩法太特殊了啦……
55,呵呵……真不错……\n非常刺激的热度……！\n再……多来点？
54,像这样产生水蒸气，\n就能一口气\n提高体感温度。
53,好好热热热……！？\n好烫好烫好烫！
51,德里福德\n用木勺从桶里舀水\n浇在石头上……
49,这是桑拿石。\n只要把水浇在这些石头上……
48,帐篷内放着柴火炉，\n顶板上放了好几块\n拳头大小的石头。
47,那个，德里福德君……\n柴火炉上的石头\n是有什么意义吗……？
46,（啊……\n我感觉好像还不错……？）
45,进入了帐篷桑拿的十二神将们\n立刻对初次体验的高温感到不知所措。
44,好、好惊人的热度……\n为什么要受这种罪……
43,是啊……\n除了热之外什么都思考不了了……
42,好热～……
36,什么……？
35,正好大家都穿着泳装，\n十二神将的各位要不要也试一下？
34,（她说了和我一样的话……！）
33,这个帐篷桑拿，\n不能买下来吗？\n要是放在甲板上挺方便的吧。
32,怎么回事？
31,说到露营就是帐篷。\n说到帐篷就是桑拿。\n……就是这么回事。
30,如果没有帐篷桑拿的话，\n我原本都做好了自己做一个的觉悟，\n好在有得租，真是太好了。
29,说来惭愧，从听说大家要来露营的时候起……\n我的脑子里\n就全都是帐篷桑拿的事了……
28,以前在巴尔茨健康中心\n体验过一次后就上瘾了，\n所以在这里也试了一下。
27,嗯，你们不知道吗？\n顾名思义，\n是用帐篷来再现桑拿的道具。
26,我还是第一次听说……\n那是种什么东西？
25,又出现了新的帐篷使者……
24,帐篷桑拿……？
23,那个是<span class='scene-font-spword'>帐篷桑拿</span>。
22,啊，是说我们刚才出来的帐篷吗。\n没什么大不了的。
21,嘛……虽然是在休息，\n但对这个太在意了，\n好像回不去开会了……吧？
20,现在是在休息中……？\n一直开会的话\n也会累的呢。
19,噢，这不是……\n各位十二神将吗。\n会议进行得怎么样了？
17,你们是不是误会什么了……？
16,<span class='scene-font-4'>这真的没问题吗！？</span>\n这是我们可以看的东西吗……！？
15,被我们看到了……
14,你们在做什么……？
13,哈哈……确实。\n哎呀，\n真让人想起在<span class='scene-font-place'>奥古斯都</span>的时候啊。
12,是的，不过还没到冷水浴的程度，\n我觉得这样刚刚好。\n就像那时的冰桑拿一样。
11,蕾欧娜殿下说过\n这附近有地下水涌出，\n看来水温确实比其他地方低呢。
6,两人径直走向湖边，\n毫不犹豫地\n跳进了水里。
3,别说得像单间一样！\n是帐篷，帐篷！
2,浑身是汗的男女……\n从单间里出来了……\n这可真是不得了啊……
1,在十二神将的注视下，\n德里福德和伊休米尔\n从帐篷里冲了出来。
0-synopsis,德里福德他们正在享受的是“帐篷桑拿”。在装有柴火炉的帐篷桑拿中温暖身体，然后在湖水里降温。虽然阿妮拉等人受不了高温纷纷跳进湖里，安琪拉和库碧拉却很喜欢帐篷桑拿，和德里福德他们一起旺盛地烧着柴火享受着桑拿。
0-chapter_name,泳装露营
