id,name,text,trans
0-chapter_name,,この服と一緒に,与这身衣服一同
0-synopsis,,イオとロゼッタがそろそろ騎空艇に帰ろうかと話していたところに、先ほど店員と話したガラス細工の店に強盗が入る場面を目撃。イオは怒って強盗をこらしめ、ロゼッタの手も借りて捕まえる。無事盗まれた品物は取り返したイオだったが、怒った自分がレディらしさを失っていたことに気づき、落ち込んでしまうのだった。,伊欧和萝赛塔正说着差不多该回骑空艇了，便目睹了刚才与店员交谈的玻璃工艺品店遭遇抢劫的场景。伊欧愤怒地教训了强盗，并在萝赛塔的帮助下将其抓获。虽然伊欧顺利夺回了被盗物品，但她意识到愤怒的自己失去了淑女气质，因而沮丧不已。
1,,カフェを出たイオとロゼッタは、\nそろそろ騎空艇に戻ろうかと\n話し合う。,走出咖啡馆的伊欧和萝赛塔，\n商量着差不多该回骑空艇了。
2,イオ/伊欧,お土産買いたいな。\nみんなで摘まめるお菓子とか……,想买点特产呢。\n大家能一起吃的点心之类的……
3,ロゼッタ/萝赛塔,そうね、お菓子屋さんを\n覗いてみましょうか。,是啊，要不要去点心店看看呢？
4,イオ/伊欧,うん！,嗯！
5,,再び手を繋ごうとしたイオ達の耳に、\nガラスが割れる鋭い音が届く。,当伊欧等人正要再次牵手时，\n传来了玻璃破碎的尖锐声响。
6,イオ/伊欧,…………！？,…………！？
7,イオ/伊欧,あっちの方から聞こえた！\n行きましょロゼッタ！,从那边传来的！\n我们过去吧萝赛塔！
10,ロゼッタ/萝赛塔,あっ……！　待って、イオちゃん！,啊……！等等，伊欧妹妹！
11,,イオは服が乱れるのも気にせず、\n騒ぎが起こった方向へと駆ける。,伊欧顾不上衣服凌乱，\n朝着骚动传来的方向跑去。
12,ガラス細工屋の店員/玻璃工艺品店店员,きゃああああっ！！,呀啊啊啊！！
13,強盗/强盗,うるせェ！,吵死了！
14,イオ/伊欧,あれ……！\nさっきのガラス細工屋さん！！,啊……！\n是刚才的玻璃工艺品店！！
15,ガラス細工屋の店員/玻璃工艺品店店员,か、返してください！\nその商品は職人が……,请、请还回来！\n那件商品是工匠……
16,強盗/强盗,黙ってろ！！,闭嘴！！
18,ガラス細工屋の店員/玻璃工艺品店店员,あうっ……！,啊呜……！
19,,殴り倒した店員を横目に、\n商品を乱暴に奪った強盗が\n路地を走る。,强盗斜眼看着被殴打倒地的店员，\n粗暴地抢走商品，\n朝小巷跑去。
22,イオ/伊欧,なんてことするのよ！！\n絶対許さないんだから！,你做什么啊！！\n我绝对饶不了你！
24,イオ/伊欧,えーいっ！！,嘿——！！
28,強盗/强盗,ぎゃああああ！？,咿呀啊啊啊！？
29,イオ/伊欧,ロゼッタ！,萝赛塔！
30,ロゼッタ/萝赛塔,…………！,…………！
32,,イオの魔法で動きを止めた強盗を、\n追ってきたロゼッタの植物が捕らえ\n身動きを止める。,伊欧用魔法止住了强盗的动作，\n追来的萝赛塔用植物将他抓住，\n使他动弹不得。
35,イオ/伊欧,まったくもう……！\n盗んだもの、返してもらうわよ！,真是的……！\n偷走的东西，给我还回来！
36,,イオは強盗からガラス像を取り上げ、\n隅々まで検分する。,伊欧从强盗手中拿过玻璃雕像，\n仔细检查每个角落。
37,イオ/伊欧,……よかった、割れてない。,……太好了，没有碎。
38,強盗/强盗,クソッ！　宝石より安物盗んで\nとっ捕まるとは……,可恶！偷了比宝石还便宜的东西\n却被抓住了……
