id,name,text,trans
0-chapter_name,,#02 SHARDS IN THE WHITE,#02 白色中的碎片
0-synopsis,,マユリ達は回収した魔物を調べ、戦うたびに敵が強くなっていることを知る。マユリは金属片との関連を疑い、剣八へ連絡を試みる。一方、剣八とオクトーの戦いはナルメア達の介入と魔物の襲撃で中断。異様な適応力を見せる敵を討伐した後、オクトーが金属片を拾うのだった。,涅茧利一行调查了回收的魔物，得知敌人每经历一场战斗都会变得更强。涅茧利怀疑这与金属片有关，试图联络剑八。另一方面，剑八与奥克托的战斗因娜尔梅亚等人介入和魔物来袭而中断。众人讨伐了展现出异常适应能力的敌人后，奥克托捡起了一块金属片。
1,涅マユリ,…………,…………
2,アイザック/艾扎克,ちょっとだけその機械で\n会話しているのを\n聞かせてもらったんだけど……,我刚才稍微听了一下\n你们用那台机器进行的对话……
3,カシウス/卡西乌斯,一方的に切られたな。,对方单方面挂断了。
4,涅マユリ,勝手な連中だヨ！！\nまったく……！！,真是一群任性的家伙！！\n简直了……！！
5,カシウス/卡西乌斯,結局合流はしなくていいのか。,结果还是不需要会合吗？
6,涅マユリ,フン、構わんヨ。\n折角の手数が居るんだ、\nその方が合理的だ。,哼，无妨。\n难得有这么多人手，\n分头行动才更合理。
7,涅マユリ,それよりも魔物とやらの\n討伐は終わったのかネ。,比起这个，\n所谓的魔物已经讨伐完了吗？
8,アイザック/艾扎克,ああ、周辺には\nもう確認できないよ。,嗯，周边已经\n看不到它们了。
9,カシウス/卡西乌斯,後に解析が必要になる\n可能性を考え、\n遺骸の一部を回収してきた。,考虑到之后可能需要进行分析，\n我回收了一部分遗骸。
10,涅マユリ,ほう……お前達は\nアイツらよりも幾分かマシだネ。\nネム、受け取っておけ。,哦……你们比那群家伙\n多少强上一点呢。\n音梦，收下吧。
11,涅ネム,はい。,是。
14,涅マユリ,他に気になることは\nなにかあったかネ。,还有其他令人在意的地方吗？
15,アイザック/艾扎克,ひとつだけ明確にあるよ。\nやっこさん達、戦うたびに\n微妙に手強くなっててね。,有一点很明确。\n那些家伙每经历一场战斗，\n都会变得稍微难对付一些。
16,涅マユリ,ほう。,哦。
17,カシウス/卡西乌斯,こちらの攻撃が通じない瞬間が\n何度も発生したため、その都度\n戦闘パターンを変えて対応した。,曾多次出现我方攻击失效的情况，\n所以每次我都会改变战斗模式应对。
18,涅マユリ,…………,…………
19,涅マユリ,やはり蒐集させなくて\n正解だったかもしれないネ。,看来没有让他们收集金属片，\n或许是正确的选择。
20,アイザック/艾扎克,その金属片をかい？,你说的是那种金属片吗？
21,涅マユリ,他になんだというのかネ。\nしかし……色々とキナ臭く\nなってきたじゃないか。,不然还能是什么？\n不过……事情开始变得\n越来越可疑了呢。
22,涅ネム,マユリ様……あの……,茧利大人……那个……
23,涅マユリ,五月蠅いよ。\nお前はさっさと\n魔物の解剖をするんだヨ！,吵死了。\n你赶快去解剖魔物！
24,涅ネム,ですが、更木隊長への連絡は\nしなくてもよいのでしょうか。,但是，不联络更木队长，\n真的没关系吗？
25,アイザック/艾扎克,君たちのお仲間だよね？\n確かにさっきの通信で\n頼まれてたみたいだけど。,他是你们的同伴吧？\n刚才通讯时，对方确实好像\n拜托你转告他。
26,涅マユリ,応答がないんだヨ。\nあの獣は何かに夢中らしい。,他没有回应。\n那头野兽似乎正沉迷于某件事。
27,カシウス/卡西乌斯,そうか。ならば仕方ない。\n他に手伝えることはあるか。,这样啊。那也没有办法。\n还有什么需要帮忙的吗？
28,涅マユリ,そうだネ……\nサンプルは多い方がいい。\n魔物を倒して集め給えヨ。,这个嘛……\n样本自然是越多越好。\n去打倒魔物，把样本收集起来吧。
29,カシウス/卡西乌斯,了解した。\n……アイザックはどうする？,了解。\n……艾扎克打算怎么办？
30,アイザック/艾扎克,じゃあ僕は金属片の\n解析を手伝おうか。\n……戦闘は専門外だしね。,那我来帮忙分析金属片吧。\n……毕竟战斗不是我的专长。
31,涅マユリ,余計なことをするんじゃアない。\nどうしても何かしたいんだったら\nネムの解剖の手伝いでもするんだネ。,不准多管闲事。\n如果你无论如何都想做点什么，\n就去帮音梦解剖吧。
32,涅ネム,数が多いので\nそうしていただけると\n助かります、アイザック様。,数量很多，\n如果您愿意帮忙，\n那就太感谢了，艾扎克大人。
33,アイザック/艾扎克,か、解剖か……\nそっちもあんま得意じゃ\nないんだけれどね……,解、解剖啊……\n我也不太擅长\n这方面的事……
34,アイザック/艾扎克,けど、異変の解決につながるってなら\nしょうがないか……\n指示をくれるかい、ヨウムちゃん。,不过，既然能帮助解决异变，\n那也没办法……\n能请你指示我吗，小灰鹦？
35,涅ネム,……？\n私の名前はネムですが。,……？\n但我的名字是音梦。
36,アイザック/艾扎克,ニックネームみたいなものさ。\n君、賢いし静かだからね。\nいいだろう？　ヨウムちゃん。,就当是昵称吧。\n你既聪明又安静嘛。\n很适合吧，小灰鹦。
37,カシウス/卡西乌斯,アイザックの癖のようなものだ。\n他にはヒヨコやインコ、ウズラと\n呼んでいるのを確認している。,这是艾扎克的习惯。\n我还确认过他称别人为\n小鸡、小鹦鹉和小鹌鹑。
38,涅ネム,そうですか。\nヨウムちゃん……,这样啊。\n小灰鹦……
39,涅マユリ,人の娘に\n変なあだ名をつけるんじゃない。,不准给别人的女儿\n取奇怪的绰号。
40,アイザック/艾扎克,娘！？　えっ、親子なの！？\nそれにしては当たりが強いなぁ！,女儿！？咦，你们是父女吗！？\n可你对她也太严厉了吧！
41,アイザック/艾扎克,……まあいいや、\n絶対ヨウムちゃんがいいよ！\nヨウムちゃんで行こう！！,……算了，\n果然还是小灰鹦最好！\n就决定叫小灰鹦了！！
42,涅マユリ,まったく五月蠅いやつだネ！！\n集中を乱す真似を続けるなら\n魔物より先にお前を解剖するヨ！,真是个吵闹的家伙！！\n再敢继续扰乱我的注意力，\n我就先于魔物把你解剖了！
43,アイザック/艾扎克,うわぁ……\nな、なんだかなぁ……,呜哇……\n这都什么事啊……
