id,trans
filename,scene_evt161130_cp4_q4_s10
translator,gpt-4o-2024-08-06
info,scene_evt161130_cp4_q4_s10
42,很遗憾……你就是最后一个……哈啊！
41,可恶！同伴怎么样了！
40,谁知道呢……就当作遇到天灾而放弃吧。
39,咕……你，你到底是什么人！
38,呜啊……
36,哈啊啊啊啊啊！
35,那时，齐格飞正在与某人交战。
32,嗯……来吧，走吧姬塔！
31,我们也要加油，早点结束这场战斗吧。
30,面对即将到来的大战，姬塔全神贯注。
29,……我们也跟上去吧，姬塔。
28,呵呵……维恩先生的队伍看起来热闹又有趣呢。
27,唉～！怎么了～让我稍微耍帅一下嘛～！
26,哇哈哈哈！维恩先生！您战斗前就这么激动了啊～！
25,结束后……我会请你们吃美味的饭和酒！
24,好，伙计们！现在是展示特训成果的时候了！
23,哦哦～！不愧是兰斯洛特！部下的气势就是不一样！
22,响应兰斯洛特的号召，白龙骑士团扬起尘土前进。
19,兰斯洛特团长！我们白龙骑士团的团员，将永远追随您！
17,高贵的龙之骑士们！向威尔士进发！
16,我们的目的是拘捕威尔士家的家主阿古罗瓦尔。
15,这不是侵略战争。对违反骑士道进行掠夺行为的人，将根据规章给予严厉惩罚。
14,兰斯洛特和维恩在白龙骑士团团员面前并肩而立。
8,响应阿古罗瓦尔的号召，威尔士军扬起尘土前进。
5,哦哦！阿古罗瓦尔大人！我们将战斗到生命的最后一刻！
4,全军……向费德拉赫进发！
3,好了……只要打倒他们，我们威尔士帝国的完成就近在眼前。消除所有障碍！
2,若被敌人击败……我们的同胞将成为他们的牺牲，切勿忘记！
1,阿古罗瓦尔在威尔士军前鼓舞士气。
0,另一方面，在威尔士城。阿古罗瓦尔听到了白龙骑士团从费德拉赫进军的消息。
0-synopsis,与此同时，威尔士也在准备迎击费德拉赫。兰斯洛特和维恩与白龙骑士团一起向威尔士进军。与此同时，齐格飞正在与某人交战。
0-chapter_name,第4话 绝命的撤退
