id,trans
filename,scene_evt191128_cp3_q2_s10
translator,Gemini
info,scene_evt191128_cp3_q2_s10
84,也是呢。\n希望如此吧……
83,难道是迷路了吗？\n不过，应该很快就会回来的吧。
82,中途使用了烟幕之后\n就不见踪影了。
81,我们比赛的时候\n也没太注意……
80,啊，姐姐还没\n到终点吗？
79,啊，对了，凯瑟琳小姐……\n不，是，凯茜小姐\n回来了吗？
78,是啊……
77,啊，走了……\n明明比赛都结束了\n气氛却还这么僵硬，真让人不爽啊。
75,没、没事……\n失陪了。
74,大哥，你没事吧？\n别太放在心上啊？
73,真是的……\n机械大叔\n说话也太难听了。
72,扔下这句狠话的玛蒂\n便怒气冲冲地\n离开了。
71,真让人不爽，\n赶紧给我把招牌摘了\n滚到一边去！
70,不愧是库吾洛克那小子的儿子，\n真是让人大失所望啊。
69,我……！
68,不，你小子从一开始\n就没想过要赢吧。
67,你小子，最后放弃比赛了吧。\n以为我看不出来吗？
66,……！
65," <span class='scene-font-4'>吵死了！</span>\n你这种表面上的话\n听得我恶心！"
64,……您严厉的教诲，我会铭记在心。\n虽然我自认为已经有所觉悟了，\n但我果然还是比各位都太不成熟了……
63,…………
62,你小子根本就不是赛车手\n什么都不是。只是个小鬼而已。\n来这里干什么？观光吗？
61,诶……是在说我吗？
60,不过，你小子……
59,……哈！\n不管怎么样你小子\n我迟早要把你打得落花流水。
58,啊。\n我也终于明白了。
57,……这才叫做职业赛车手。
56,都要重新站起来，\n为下一场比赛做好准备，\n再次握紧操纵杆。
55,无论品尝过多少苦涩\n无论被击倒多少次……
54,…………
53,……比这小子出现\n还要早得多。
52,我漫长的赛车生涯中\n在那些胜利的背后，\n经历过多少次失败你以为呢。
51,……败北的苦涩\n可不是那么容易就能\n发泄出来的轻飘飘的东西啊。
50,呜！？\n因、因为啊……\n上次在PSC的时候就很糟糕了……
49,啊？
48,话说回来，大叔你\n要是又输了然后大闹一场\n我可是会很担心的啊。
47,你这小子……竟敢这么说。
46,谁知道呢。\n借用那些家伙的话来说\n你和我也是风格不同啊。
45,……你小子也开始会说话了啊。\n是比以前更懂什么是斗志了吗？
44,这次也让你赢了。
42,总之，我对你们的\n复仇已经完成了。\n接下来就剩缪恩了……
41,哈！？\n我才不是蜥蜴呢！
40,哈！\n你这只蜥蜴还真会说些让人不爽的话啊！
39,那、那大概是\n大叔和我们的风格不同吧……？\n也没办法啊。
38,不过，你们那种半吊子的水平\n还是一如既往地\n让人火大啊。
37,哦？看来你们也稍微\n了解了一些比赛的事了\n啊？
35,不只是有力量，\n技术也很厉害……
34,嗯。\n强到让人难以招架呢。\n而且，怎么说呢……
33,机械大叔\n就算不和摩托艇合体\n也超级厉害啊。
32,冠军大哥\n还是那么快……
31,好不甘心～！
30,可恶！\n到最后也没能追上吗！
20,而第一名是\n蓝色轨道！
19,第二名，贝奥凯撒！
17,第三名，星骑！
14,在令人屏息的激烈追逐后\n冠军争夺战终于落下帷幕！
0-synopsis,比赛最终以缪恩夺冠，玛蒂位列第二，姬塔随后完成比赛的结果而告终。被缪恩的技术和玛蒂的经验所压倒的姬塔一行人，无法掩盖内心的懊悔之情。玛蒂一方面称赞了姬塔一行人不俗的表现，另一方面却对曾经的对手库吾洛克的儿子菲尔说出了严厉的批评。他说菲尔缺乏对胜利的执着。玛蒂带着失望，抛下这番话后便离开了。
0-chapter_name,第三话 心烦意乱
