id,trans
filename,scene_evt171130_trust5
translator,gpt-4o-2024-08-06
info,scene_evt171130_trust5
20,亚瑟的信赖度上升了50！
18,……不不，我可不太懂！
17,哈！难道……！？
16,好在意……
15,哎！那是什么！？
14,亚瑟的信赖度上升了100！
12,我也想早点像姬塔小姐那样，信任大家，也被大家信任！
11,是这样啊！姬塔小姐真的有很多伙伴呢～
9,亚瑟的信赖度上升了75！
7,嗯，虽然有点不明白，不过真是成熟啊！
6,啊，反过来？姬塔小姐是家臣吗……
5,家臣？什么意思？是说帕西瓦尔先生是家臣？
4-sel3_txt,哼……有些关系。
4-sel2_txt,重要的伙伴。
4-sel1_txt,家臣。
4,你和帕西瓦尔先生是什么关系？
3,真的，姬塔小姐到底是什么人……？
2,说起来，姬塔小姐和帕西瓦尔……先生也是认识的吧？
1,亚瑟在费德拉赫逗留期间，看着姬塔的脸，忽然想起什么似的问道。
0-chapter_name,亚瑟，见习日子
