id,trans
filename,scene_evt150331_cp0_q2_s10
translator,gpt-4o-2024-08-06
info,scene_evt150331_cp0_q2_s10
41,好！加油吧！姬塔！
40,没办法啊！喂，姬塔！我们也去吧！
39,我也拜托你们！这次的事件，好像有点棘手……
38,露莉亚君！碧君！还有姬塔！想借用你们的力量！
37,是啊……真是个让人无法安宁的家伙！
36,什么！？刚解决就又有下一个了！
35,是怪盗！怪盗的预告信来了！
34,不是侦探大叔们吗。怎么这么着急？
33,等不了！快准备好跟上来！
32,先，先生！请等一下！
30,名侦探巴洛瓦 ～夺回宝石度假村～ 　　　　　　　　　　────完
29,哎呀……如果露莉亚食欲再旺盛下去，伙食费会让船倾斜的……
28,今天晚饭，好像能吃下平时的两倍……嘿嘿……
27,呃，嗯……其实，从刚才开始肚子就非常饿……
26,露莉亚，你……吸收了那样的家伙，没问题吗？
25,星晶兽马莫纳斯不是说会扩大某人的欲望吗。
24,嗯？什么事，碧先生？
23,喂，露莉亚，我有点在意。
21,而且，据说还被要求在大厅里穿上兔女郎装（？）接待客人。
20,虽然心被星晶兽扰乱，但威胁赌场的巴斯作为惩罚被榨取了大量金钱……
19,于是，袭击赌场船宝石度假村的怪盗和假怪盗的威胁消失了。
18,哦……让我听听详细的情况吧。
17,想要什么都可以说！让我投资吧！拜托了！
16,那……那个，你不是说想要新的设备吗！
15,我，我知道了！等一下！还钱是当然的，请让我再添些利息！
14,咦！？
13,居然想着威胁赌场的经营，把你的资金注入进来并进行接管，真是荒唐。
12,真是的，干了件不得了的事情呢，猪。
11,啊啊！？
9,……真的，给大家添麻烦了。
8,「但请务必不要再犯。千万不要忘记。」……是这么说的。
7,「关于事件的解决，不会责怪你冒用了怪盗的名号。」
6,有个好消息给你。是怪盗的慰问信。
5,我……心被星晶兽扰乱了……对不起……
4,巴斯大人！没事吧！
3,啊！他睁开眼睛了！
2,这里是……
1,随着马莫纳斯的消失，巴斯倒下了，并失去了一段时间的意识。
0,于是，出现在宝石度假村的星晶兽马莫纳斯被击败了。
0-synopsis,就这样，星晶兽马莫纳斯被击败。露莉亚吸收了它的力量，袭击赌场船宝石度假村的事件得以解决。然而，还没来得及松口气，慌张的巴洛瓦和萨雅跑来找姬塔。他们说从怪盗那里收到了下一封预告信。为了解决更加复杂的事件，姬塔也决定伸出援手。
0-chapter_name,结局
