id,trans
filename,scene_evt150131_cp2_q2_s20
translator,Gemini
info,scene_evt150131_cp2_q2_s20
29,哼，这些家伙\n虽然不知道在怨恨什么，\n但只要把它们砍倒就行了！
27,呜诶……啊啊……
26,谁知道呢……\n！　卡塔莉娜，别发呆！
25,说不定，\n是根据什么事件或者星晶兽\n改编的也说不定。
24,童话故事这种东西，\n很多都是有原型的。
23,原来如此，是这样啊。\n真有趣。
22,不想被大锅里的魔物袭击的话，\n就不要去伤害别人，也不要做别人讨厌的事\n……就是这个道理。
21,大人说给孩子听，\n算是一种教训吧。
20,嗯。\n大多数人都应该听说过。
19,在岛上\n很有名吗？
18,我说，波蕾米亚。\n刚才说的布拉温温的故事……
12,……总觉得，\n真是个悲伤的故事啊。
11,这样一来，就会有更多的怨恨之声，\n布拉温温的眼泪就永远不会停止。\n……就是这样。
10,从大锅里溢出的泪水会化作魔物，\n而那些魔物会将悲伤散播到世界各地。
9,所以布拉温温\n总是泪流不止，\n她所拥有的大锅里充满了泪水。
8,孤僻的布拉温温，\n总能听到生物的怨恨、\n悲伤和痛苦的声音。
7,童话故事？\n那是什么？
6,……让我想起了布拉温温的大锅。\n虽然只是个无聊的童话故事。
5,发出怨恨之声的魔物吗……
4,嗯，嗯……\n果然，那些魔物的声音……\n听起来充满了怨恨……
3,你还好吗，露莉亚？\n你的身体在发抖！
2,…………
0,呜……啊啊啊……
0-synopsis,黑色魔物那充满怨恨的声音让波蕾米亚想起了一个童话故事。孤僻的布拉温温总能听到他人悲伤的声音，因此总是泪流不止。据说她的眼泪会化作魔物，将悲伤散播到世界各地，因此布拉温温的眼泪永远不会停止。露莉亚听完后，觉得这是一个悲伤的故事。
0-chapter_name,第二话 黑色魔物的威胁
