id,name,text,trans
0-chapter_name,,万世の恵風,万世惠风
0-synopsis,,暴走した星晶獣ティアマトを鎮めた姬塔一行は、次の目的地である<span class='scene-font-place'>バルツ公国</span>を目指していた。ある夜、ルリアがティアマトと語り合う夢を見ると、翌朝、ルリアの横にティアマトが人と変わらぬ姿で顕現していた。ティアマトは、ルリアを通じて姬塔達に感謝を述べると、受けた恩を返すべく、旅に同行することになるのだった。,平息了失控的星晶兽提亚玛特后，姬塔一行正朝着下一个目的地<span class='scene-font-place'>巴尔兹公国</span>前进。一天夜里，露莉亚梦见自己与提亚玛特交谈。翌日清晨，提亚玛特竟以与常人无异的身姿显现在露莉亚身旁。提亚玛特通过露莉亚向姬塔一行表达了谢意，并为了报答所受的恩情，决定加入他们的旅途。
1,,ポート・ブリーズ群島──,碧空群岛——
7,ティアマト/提亚玛特,────,————
8,,ポート・ブリーズ群島を守り続けてきた\n星晶獣ティアマト。,长久以来守护着碧空群岛的\n星晶兽提亚玛特。
9,,しかし、豊かな風の恩恵の代償は、\nティアマトの中に\n静かに蓄積されていた。,然而，丰饶之风所带来的恩泽，\n也令某种代价在提亚玛特体内\n悄然累积。
10,,そして、星晶獣ティアマトは、\nエルステ帝国の手により、\nついに暴走するに至る。,最终，在埃尔斯特帝国的操纵下，\n星晶兽提亚玛特彻底陷入了失控。
16,,しかし、その吹き荒ぶ強大な星の力を\nルリアが鎮めることで、\n群島は平和を取り戻したのだった。,但露莉亚平息了那股呼啸肆虐的\n强大星之力，群岛也因此重归和平。
22,,そして今──\n姬塔一行は、次の目的地、\nバルツ公国を目指していた。,而如今——\n姬塔一行正朝着下一个目的地\n巴尔兹公国前进。
23,ルリア/露莉亚,…………,…………
24,カタリナ/卡塔莉娜,ルリア、どうかしたのか？,露莉亚，怎么了？
25,ルリア/露莉亚,カタリナ……,卡塔莉娜……
26,カタリナ/卡塔莉娜,何か心配ごとがあるなら、\n私に相談してくれ。,要是有什么烦心事，\n就来找我商量吧。
27,カタリナ/卡塔莉娜,ルリアには、\nいつも笑顔でいて欲しいからな。,因为我希望露莉亚\n能一直保持笑容。
28,ルリア/露莉亚,……ありがとう。,……谢谢你。
29,ルリア/露莉亚,実はね、その……私の力って、\n一体なんなんだろうって……,其实，那个……我一直在想，\n我的力量究竟是什么……
30,カタリナ/卡塔莉娜,……私も、\nそれについては色々考えていた。\nしかし……答えはでなかった。,……关于这件事，我也想过很多。\n可是……始终没有找到答案。
31,カタリナ/卡塔莉娜,だが、帝国からは絶対に守ってみせる。\nそうしなければならない、\nという確信はある。,但我一定会保护你，不让帝国得逞。\n我确信自己非这么做不可。
32,ルリア/露莉亚,…………,…………
33,カタリナ/卡塔莉娜,それに、きっと大丈夫さ。\n手がかりを見つけたじゃないか。,而且，一定会没事的。\n我们不是已经找到线索了吗？
34,ルリア/露莉亚,……<span class='scene-font-spword'>星の島</span>？,……<span class='scene-font-spword'>星之岛</span>？
35,カタリナ/卡塔莉娜,ああ、<span class='scene-font-spword'>星の島</span>に行けば、\n必ず答えが見つかる。\n私はそう信じている。,没错，只要抵达<span class='scene-font-spword'>星之岛</span>，\n就一定能找到答案。\n我是这么相信的。
36,カタリナ/卡塔莉娜,だから、ルリア。\n焦らずいこうじゃないか。,所以，露莉亚。\n我们别着急，慢慢来吧。
