id,name,text,trans
0-chapter_name,,夏の思い出,夏日回忆
0-synopsis,,グレアからの指導のもと、バタ足から泳ぎを練習するアン。姬塔達は応援しながらその様子を眺めていた。しかし、姬塔達がオーウェンとの会話で目を離していた時、アンとグレアの悲鳴が響き渡る。慌てて駆けつけると、アンの水着が海の魔物に取られてしまっていた。一行は水着を取り返すため魔物に戦いを挑む。,在古蕾雅的指导下，安开始练习打水学游泳。姬塔一行人一边在一旁加油，一边注视着她。然而，当姬塔他们因为和欧文交谈而移开视线时，突然传来了安和古蕾雅的尖叫声。他们慌忙赶过去，发现安的泳装被海里的魔物抢走了。为了夺回泳装，一行人向魔物发起了挑战。
1,,姬塔やグレア達に\n泳いだことがないと言う事実を\n告げたアン。,安告诉姬塔和古蕾雅她们\n自己其实不会游泳。
2,,そんな、アンに対し、\nグレアは泳ぎ方を教えていく。,面对这样的安，\n古蕾雅开始教她怎么游泳。
3,グレア/古蕾雅,水に顔をつけるのは大丈夫みたいだね。\nなら、次はバタ足の練習をしようか。,看来把脸浸入水里是没问题了呢。\n那么，接下来我们练习打水吧。
7,アン/安,ね、ねぇ、グレア、\nちゃんと手を持っててよ！\n絶対に離したらダメだからね！,呐、呐，古蕾雅，\n一定要好好拉住我的手哦！\n绝对不可以放开哦！
8,グレア/古蕾雅,うん、わかってるって。\nだから、そんなに不安そうな顔を\nしないで。,嗯，我知道啦。\n所以，别露出那么不安的表情。
9,アン/安,ううっ、それじゃあ、やるよ……？\nやるよっ……！,呜呜，那，我要开始了哦……？\n我要开始咯……！
12,,グレアに手を引かれ、\nバタ足の練習をはじめるアン。,在古蕾雅的牵引下，\n安开始练习打水。
13,グレア/古蕾雅,上手、上手。\nそれじゃあ、次はバタ足をしたまま、\n顔を水につけてみて。,很好很好。\n那么，接下来保持打水动作，\n试着把脸浸入水里。
14,アン/安,うん……せーのっ！,嗯……预备，起！
16,グレア/古蕾雅,…………,…………
17,アン/安,……ぶくぶくぶくぶく。,……咕噜咕噜咕噜咕噜。
18,グレア/古蕾雅,って、アン、息継ぎ！\n息継ぎしてっ！,哎，安，换气！\n要换气啊！
19,アン/安,ぷはぁ……はぁ……はぁ……\nそ、そっか、息継ぎしないと\n溺れちゃうもんね……,噗哈……呼……呼……\n对、对哦，不换气的话\n会溺水的……
20,アン/安,でも、グレア。\n息継ぎって、\nどのタイミングですればいいの？,可是，古蕾雅。\n换气的话，\n应该在什么时机做呢？
21,グレア/古蕾雅,タイミングって……\n普通に苦しくなる前に\nすればいいんだよ。,时机嘛……\n一般来说在觉得难受之前换气就好啦。
22,アン/安,そ、そうなんだ？,是、是这样吗？
23,グレア/古蕾雅,うん。\nそれじゃ、次は息継ぎしながら、\nバタ足をしてみよう。,嗯。\n那接下来，一边换气\n一边试着打水吧。
24,アン/安,うん！,嗯！
29,グレア/古蕾雅,そうそう……そのまま、そのまま。,对对……保持这样，保持这样。
30,アン/安,ぷはっ！　はぁはぁ……,噗哈！呼呼……
31,グレア/古蕾雅,うん。いい感じ。\nそれじゃ、次は\n少しだけ手を離してみるね。,嗯。感觉不错。\n那么，接下来我试着稍微放开手咯。
32,アン/安,え、それは、まっ……っ！？,哎，等、等一下……！？
35,アン/安,ぷはっ、けほっ、\nけほっ、かはっ！,噗哈，咳咳，\n咳咳，咳！
36,,グレアが手を離した瞬間、\nアンはパニックになり、\n溺れてしまう。,就在古蕾雅松开手的瞬间，\n安慌了神，\n溺水了。
37,グレア/古蕾雅,落ち着いて、アン！\nここなら足がつくから！,冷静点，安！\n这里水很浅，脚能够到地的！
39,アン/安,けほっ、かはっ……\nそ、そうだった……,咳咳，咳……\n对、对哦……
40,アン/安,ううっ、水……\nいっぱい飲んじゃった……\nけほっ、けほっ……,呜呜，不小心……\n喝了好多水……\n咳咳，咳咳……
41,グレア/古蕾雅,だ、大丈夫？\n浜辺で休憩する？,没、没事吧？\n要在沙滩上休息一下吗？
42,アン/安,ううん、大丈夫。\nそれよりも\nこのまま練習を続けよ。,不用，没关系。\n比起那个，\n我们继续练习吧。
43,アン/安,早く泳げるようになって、\nグレアと一緒に泳ぎたいしね。,我想快点学会游泳，\n好和古蕾雅一起游嘛。
44,グレア/古蕾雅,アン……,安……
45,アン/安,あ、でも、手を離すときは\n最初に言っておいてね？\nいきなり、離されると慌てちゃうから。,啊，不过，放手的时候\n能不能先说一声？\n突然松手我会慌的。
46,グレア/古蕾雅,うん、わかった。\n今度からはちゃんと言うね。,嗯，知道了。\n下次我会提前告诉你的。
