id,trans
filename,scene_evt220628_cp3_q4_s20
translator,gemini-3.1-pro-preview
info,scene_evt220628_cp3_q4_s20
79,不久后，从湖边回来的\n德里福多等人也加入了进来，\n大伙儿一起投入到了工作之中。
77,卷起袖子的十二神将们\n对刚学到的劈柴干劲十足。
76,开始劈柴吧！
74,那大家就一起……
73,嗯，千万不能掉以轻心啊。
72,是的～劈柴是非常繁重的体力活～\n堆起来的柴火也有可能会倒塌，\n请一定要十分小心呢～
71,手腕和腰很容易受伤，\n你们要小心点哦。\n另外也要注意飞溅出来的碎木片。
70,我讨厌寒冷，所以只能干了呢。
69,上吧！\n时髦的露营可是\n必须要生篝火的啊！
68,——！
67,是、是这样啊……\n多、多酱……你在吗？\n说是要劈柴哦……
66,听员工和蕾欧娜小姐说，\n到了晚上还是会变冷的哦～\n所以还需要相应数量的柴火呢～
65,但是真的需要用这么多吗？\n今天天气还挺暖和的呢。
64,是呢。\n分头行动的话肯定没问题。
63,我也来帮忙！\n如果有十二神将的各位一起的话，\n肯定很快就能做完吧！
62,嗯……\n谢谢你……♪
60,嘻嘻嘻……♪\n感觉我们俩的关系\n会变～得更深厚呢……
58-sel2_txt,小心别受伤哦
58-sel1_txt,一起干吧
58,大家齐心协力\n一起加油吧……？\n还能和姬塔大人共同作业……♪
57,好惊人的量啊。\n这看起来会很费力呢。
56,听说这一带的柴火\n都已经干燥好了～\n不过因为太粗了，这样是没法用的～
55,绕到管理栋的后面，\n高高堆起的柴火\n将周围挤得满满当当。
49,在这边～！
48,柴火在哪里？
47,唔……\n既然我们也体验了桑拿，\n那就一起来帮忙吧。
46,嗯……！\n不如说我们要带头劈柴才对！
45,库碧拉姐姐！\n我们也去帮忙劈柴吧！
44,不过刚才烧了那么多，\n现在听说不够了，\n还是觉得有点过意不去……
43,那是本来就分发给你们的份量\n所以不需要\n那么介意吧～？
42,对、对不起……\n我们在桑拿房里……\n用掉了好多柴火……
36,库碧拉姐姐，兴致真高啊！\n嗯！\n烧吧烧吧！
35,那就拜托了……！\n我们使劲烧吧！
30,库碧拉和安琪拉\n回想起了刚才在桑拿里\n自己说过的话。
29,不够用了……
28,很多……柴火……
27,天很快就要黑了，\n客人们肯定也\n需要用很多柴火吧。
26,听他们说现在要赶快去劈，\n姬塔就说要去管理栋\n帮忙干活啦！
25,出于这个原因，\n听说管理栋那边\n会提前把一半左右的柴火劈好～
24,对女性和小孩客人来说\n甚至连搬运都有些费力～\n身为哈文族的谢洛我也很吃力呢～
23,只有大块柴火的话，不管怎样\n都需要客人自己费工夫去劈柴呢～
22,只用大块柴火不行吗？
21,不过，听说营地平时\n都是把大块和中等大小的柴火混在一起\n分发给客人们的～
20,严格来说，好像是中等大小以下的柴火\n变少了～\n如果是大块柴火的话倒是有～
19,哎……？
18,其实好像是营地的柴火\n快要不够用了。
17,那么……\n你们在这种地方\n做什么呢？
16,哎呀哎呀～\n看来各位很享受露营呢～
15,哦，是姬塔你们啊！\n我们去湖里玩水和蒸桑拿了哦。
14,哦，你们去哪儿了吗？
9,结束了湖水浴和桑拿，\n十二神将返回营地。\n然而，在回去的路上……
8,毕竟柴火……\n烧了那么多嘛……
7,该怎么说呢……\n那种让人感到窒息的热气\n真是前所未有的体验啊……
6,哎呀总之，\n就是桑拿非常棒的意思啦！
5,怎么说呢……\n在桑拿和湖水之间来回，\n就会产生一种很舒服的感觉……
4,那是什么意思啊……
3,嘿嘿～\n完全神清气爽了呢～
2,呼……\n神清气爽了……吧？
1,在返回营地的途中，\n库碧拉和安琪拉\n显得格外心满意足。
0-synopsis,在返回营地的途中，阿妮拉等人遇见了姬塔一行。听说营地的柴火不够了，姬塔她们正准备去管理栋帮忙劈柴。因为在桑拿里烧了太多柴火而感到心虚的库碧拉和安琪拉提议，十二神将众人也决定一起去帮忙劈柴。
0-chapter_name,第3话 湖畔露营
