id,trans
filename,scene_evt260722_cp1_q4_s10
translator,GPT-5.6 Sol
info,scene_evt260722_cp1_q4_s10
93,咦咦咦！？不知道，\n我不知道不知道啦～～～！！\n救救我，姬塔小姐～～～～！！
92,咦！？这、这是怎么回事！？\n为什么妮露也和那些人会合，\n一起追过来了！？
91,不要啊啊啊啊啊～～～～！！
90,咻咻咻咻咻！！
89,<span class='scene-font-4'>咦，她不见了！？</span>\n妮露！？你跑哪儿去了！？
88,得、得小心别把\n妮露弄掉了……
87,不要啊～～～～！！\n别过来～～～～！！
84,快、快逃！\n琪琪莉！！
83,<span class='scene-font-4'>咻咻咻～～～！？</span>\n什、什么什么什么什么！？\n为什么要冲我们过来！？
80,巴瓦啊啊啊啊啊！！！
79,咻咻咻咻！！
78,咻？
77,咻。
76,那、那个……\n请问你们～有什么事吗～……？
75,哇～……\n好大好大一只呢……
74,…………
73,索……了……吧……？
72,…………
68,嗯。如果他们不在这座城镇，\n那就要进行大规模搜……
67,好呀～\n要是这样也找不到，\n就请姬塔小姐帮忙吧～
66,嘿咻。\n马上出发去找吧！\n先从周边开始。
65,乌露琪还在犹豫该怎么说时，\n琪琪莉已经把妮露背到了背上。
64,（与其说是睡着，更像是昏过去了……\n难道琪琪莉那颗铁头造成的伤害，\n过了一阵才发作吗……）
63,哎呀，睡着了。\n是不是哭累了……
62,咚。
61,真的吗……？\n你、你们都是好人呐～～～……\n呜，谢谢——……
60,嗯嗯！\n所以已经没事了哦～\n乖乖～♪
59,我知道了，琪琪莉姐姐她们\n会帮你找到佩谢他们……\n找到妮露的家人！
58,妮露·杜……
57,……这样啊。\n小妹妹，你叫什么名字？
56,呜、呜呜。\n妮露没有爸爸妈妈。妮露的家人\n就只有佩谢他们……
55,从来没听说过呢～……\n嗯～……\n那你的爸爸妈妈呢？
54,虚圈……？\n那是哪里？国家的名字？\n还是空域的名字？
53,<ruby>虚圈<rt>Hueco Mundo</rt></ruby>……
52,嗯～……这可真让人头疼呢。\n为什么会从天上掉下来呢？\n小妹妹，你是从哪里来的～？
51,嚼嚼……好吃……\n虽然好吃，但不是这个啦～～～！！\n呜哇啊啊啊！！
50,（为什么……）
49,我刚好有哦～！\n来，请吃吧～！
48,草、草莓？怎么回事，\n是想吃草莓吗？乌露琪，\n你应该……不可能带着吧……
47,呜哇啊啊啊啊啊！！\n草、草莓～～～～！！！
46,比起这个……\n这里是哪里……？\n只剩妮露一个人了吗……？
45,呜……\n虽、虽然脑袋还疼得快裂开了，\n但完全没事……
44,倒不如说，她只是哭出来已经算幸运啦～\n小妹妹，你没有受伤吧～？
38,她哭出来了！？\n怎么办，怎么办～！
37,呜哇啊啊啊啊！！
36,咕、唧唧唧……
35,托我这颗铁头的福，总算没事～……\n比起这个，这、这个孩子是……
34,<span class='scene-font-4'>哇啊啊！？</span>\n有个孩子掉下来了～！？\n你、你们两个都没事吧～？
31,唧咿！？\n嗯唧！？
26,……吗？
25,——……呜呜呜哇啊啊啊啊！！
16,不行，我一定要报答这份恩情！\n就算天上下枪下雨，\n今天也一定要去买东西——
15,嘿嘿～\n不用特意答谢我啦～……
14,别、别老是逗我啦～\n好啦，说正事说正事！今天是为了答谢，\n特地来给乌露琪买衣服的！
13,呵呵呵，\n害羞的样子真可爱～♪
12,约、约会！？\n约会……是约会啊……\n确、确实是约会没错……
11,太好了太好了～\n约会进行得很顺利呢～
10,之前帮我挑衣服，谢谢你啦，乌露琪！\n姬塔小姐也夸我了哦～！
4,那、那是因为……
3,怎～么办～！乌露琪！\n她完全哭个不停！！
2,呜哇啊啊啊啊！！
1,另一方面，在遥远城镇里购物的\n琪琪莉和乌露琪，\n此刻也陷入了深深的困惑。
0-synopsis,正在购物的琪琪莉和乌露琪头顶上方，妮露从天空的裂缝中掉了下来。两人听哭个不停的妮露说自己和家人走散了，便决定帮忙寻找。此时佩谢、咚德恰卡和巴瓦巴瓦出现，但琪琪莉她们没有发现对方就是妮露的家人，转身逃走。就连醒来的妮露也不知为何加入追赶，原本应该是重逢的场面，变成了一场奇怪的追逐战。
0-chapter_name,#01 死神与草莓……？
