id,name,text,trans
0-chapter_name,,第6話 友達,第6话 朋友
0-synopsis,,ルアテア率いる帰還派は、廃鉱山に逃げ込み籠城した。周囲は<span class='scene-font-place'>バルツ</span>公国軍がすでに包囲しているが、総攻撃を行うかどうかで揉めている。その最中、イオはひとり会議の場を離れると、ルアテアの心情を想い立ち尽くす。しかし心の中のロゼッタに勇気を貰うと、ルアテアにあることを伝えるため、降伏勧告の使者に名乗り出るのだった。,露亚特率领的回归派逃入废矿山固守。周围已被巴尔茨公国军包围，但就是否发动总攻而争论不休。期间，伊欧独自离开会场，想着露亚特的感受而伫立。但在得到心中的罗塞塔的鼓励后，为了向露亚特传达某件事，她自告奋勇担任劝降使者。
1,,ルアテア率いる帰還派は\n大公府を逃走後、\n使われていない廃鉱山へ籠城。,露亚特率领的回归派\n从大公府逃脱后，\n躲进了一座废弃的矿山。
2,,バルツ公国軍は\n一味を逃がさぬよう廃鉱山を包囲し、\n攻撃準備を刻一刻と進めていた。,巴尔茨公国军\n包围了废矿山以防他们逃脱，\n并一刻不停地准备进攻。
3,アルメイダ/阿尔梅达,頼まれた通り、\n口の堅い鉱夫の連中を集めて\n中の構造を思い出してもらったよ。,按你说的，\n召集了守口如瓶的矿工们，\n让他们回忆了里面的结构。
4,アルメイダ/阿尔梅达,今は埋め立ててある隠し路も見つけた。\n準備もできてるから、\nすぐにみんなで掘って開通できる。,还找到了现在被填埋的暗路。\n准备已经就绪，\n可以马上挖通。
5,バルツ特務官/巴尔茨特务官,民間協力、感謝する。\nこれで確実に制圧できるだろう。,感谢民间合作。\n这样一来就能确实压制了。
6,バルツ特務官/巴尔茨特务官,だが……,但是……
7,イオ/伊欧,ねえ、師匠は大丈夫なの……？,喂，师父不要紧吧……？
8,ルリア/露莉亚,気絶させられていただけだそうです。\nでも、疲れがたまっていたみたいで……,据说只是被打晕了。\n不过，好像积攒了很多疲劳……
9,バルツ特務官/巴尔茨特务官,命に別状はないが、\nまだ目を覚まされていない。,性命无虞，\n但还没醒来。
10,バルツ特務官/巴尔茨特务官,従って、ザカ大公の指示なしに\n奴らへの総攻撃をすべきかは\n我々も判断に迷っている。,因此，没有扎卡大公的指示，\n我们也很犹豫\n是否应该对他们发动总攻。
11,ビィ/碧,あいつら、大した武器も防具も\n持ってなかったし、\n総攻撃はやりすぎじゃねぇか？,那帮家伙没什么像样的武器和防具，\n总攻是不是太过了？
12,バルツ特務官/巴尔茨特务官,隠し玉を持っている可能性はある。\n例えば、盟主・ルアテアの持つ\n腕の巨大化……,有可能藏有秘密武器。\n比如盟主露亚特的\n手臂巨大化……
13,バルツ特務官/巴尔茨特务官,あれも大公閣下の教えた魔法か？,那也是大公阁下教的魔法吗？
14,デオ＝オルトレグ/迪欧·奥尔特雷格,あれはあの子自身の……\nというより、グラックルという\n種族自体の能力だ。,那是那孩子自身的……\n不如说是格拉克尔\n这个种族本身的能力。
15,デオ＝オルトレグ/迪欧·奥尔特雷格,グラックルという種族は、\n元々巨人だったのだ。,格拉克尔这个种族，\n原本是巨人。
16,デオ＝オルトレグ/迪欧·奥尔特雷格,地下の限られた空間で生きるうちに\n環境に適応して小柄になったと\n言われている。,据说在地下有限的空间里生活时，\n为了适应环境而变得矮小。
17,デオ＝オルトレグ/迪欧·奥尔特雷格,だが、遺伝子はまだ古を記憶していて、\n苛烈な鍛錬を積んだ限られた才人は、\nその力を呼び覚ませるらしい。,但基因仍保留着远古的记忆，\n经过严酷锻炼的少数天才\n似乎能够唤醒那股力量。
18,アルメイダ/阿尔梅达,つまり、ルアテアは\nすごい才能があったってことか？,也就是说，露亚特\n有很高的天赋吗？
19,デオ＝オルトレグ/迪欧·奥尔特雷格,いいや……あの子は努力家ではあるが、\nただの女の子だよ。\n武術もあくまで護身用の延長だ。,不……那孩子虽然努力，\n但只是个普通的女孩。\n武术也只是护身术的延伸。
20,イオ/伊欧,たぶん、魔法と魔道具を使って\n無理矢理あの状態にしてるんだと思う。,我想她大概是\n用魔法和魔道具强行变成那个样子的。
21,デオ＝オルトレグ/迪欧·奥尔特雷格,あの子の首と両腕の魔道具か？\n両親の形見と聞いていたが、\nまさかそんな機能があったとは……,她脖子和手腕上的魔道具吗？\n听说是父母的遗物，\n没想到还有那种功能……
22,イオ/伊欧,きっと、最近出来るようになったのよ。\n大浮上が起きて、\n師匠に魔法を習った後に。,一定是最近才学会的。\n在大浮升之后，\n跟着师父学了魔法之后。
23,イオ/伊欧,でも、ホントに無理矢理の魔法だった。\n……長くは続かないわ。,不过，那确实是强行使用的魔法。\n……持续不了太久。
24,バルツ特務官/巴尔茨特务官,ならば攻撃しても\nこちらの被害は最小に抑えられるか。\nふむ……,那么就算攻击，\n也能把我们的损失降到最低吗。\n嗯……
25,ヴァイト/斑特,待て。僕は他国の人間だが、\n種族融和の助言を望まれ招かれた\n賓客として、ひとつ言わせてもらおう。,等等。我是外国人，\n但作为被邀请来提供种族融合建议的\n宾客，请允许我说一句。
26,ヴァイト/斑特,目指すべきは制圧でなく無血開城。\n降伏勧告すべきだ。,目标应该是和平开城而不是镇压。\n应该进行劝降。
27,デオ＝オルトレグ/迪欧·奥尔特雷格,私に行かせてくれないか。\n……全ては私の責任だ。,能让我去吗？\n……这一切都是我的责任。
28,ルリア/露莉亚,オルトレグさん……,奥尔特雷格先生……
29,デオ＝オルトレグ/迪欧·奥尔特雷格,同胞達の苦悩は知っていた。\nだがこれほどまでにとは\n想像が及んでいなかった。,我知道同胞们的苦恼。\但没想到会严重到这种地步。
30,デオ＝オルトレグ/迪欧·奥尔特雷格,あの子が、ああまで\n思い詰めていたことも……,那孩子竟然\n那么钻牛角尖……
31,イオ/伊欧,…………,…………
32,デオ＝オルトレグ/迪欧·奥尔特雷格,どうか、私に償いをさせてほしい。\n頼む。,请让我赎罪。\n求你了。
33,バルツ特務官/巴尔茨特务官,……いや、駄目だ。\n残念だが貴殿があちら側でないという\n確証が──,……不，不行。\n很遗憾，无法确认\n你不是那边的人——
34,アルメイダ/阿尔梅达,ん……？\nイオっち？,嗯……？\n小伊欧？
35,イオ/伊欧,ごめん……\nあたし、ちょっと休んでくる。,抱歉……\n我稍微去休息一下。
41,,議論が紛糾する中、\nイオは静かに場を離れ\n帰還派の籠る廃鉱山を見た。,在争论不休中，\n伊欧静静地离开现场，\n望着回归派据守的废矿山。
