id,trans
filename,scene_evt191028_cp2_q3_s10
translator,gemini-3.1-pro-preview
info,scene_evt191028_cp2_q3_s10
53,就这样，一行人\n开始寻找治好\n蔻的脚的方法。
52,是啊！\n大家一起合作吧！
51,是的！虽然现在还不知道……\n但只要大家一起找，\n一定能找到治疗的方法的！
50,嗯……\n我们去帮帮蔻吧。
48-sel1_txt,想办法治好他吧
48,如果让他一辈子都无法走路，\n这种事我绝对不原谅！
47,心里想着我们……\n特地来帮忙的善良孩子，\n怎么能遭遇这种事呢……
46,…………
45,太没用了……\n明明是来帮忙的……\n居然落得这种下场……
44,一行人离开房间后，\n从门后传来了\n蔻微弱而颤抖的声音。
39,晚安。
38,晚安，蔻。
37,哦，哦！当然可以！\n好好休息吧！
36,……谢谢你们。\n稍微，有些累了。\n我可以睡一会儿吗……
35,我们呀，\n就像你的姐姐一样。\n不用客气，尽情依赖我们吧！
34,不，才没有添麻烦！\n一点都不麻烦哦……！
33,对不起……\n总觉得给你们添麻烦了……
32,…………
31,这个……\n看来没有效果啊……
30,然而，蔻的状况\n并没有任何好转。
22,尤艾尔立刻换好衣服，\n和苏丝雅一起跳起了舞。
17,谢谢你们……
16,只要把打倒九尾的绯艳布的力量\n和苏丝雅的舞结合在一起……\n一定能好起来的！
15,原来如此，真是个好主意……\n既然这样，\n我也去换上神器！
14,啊！苏丝雅小姐的舞\n可以镇住九尾的火焰对吧！\n那样的话说不定真的能治好！
13,九尾的力量……\n呐，如果那是原因的话，\n用我的舞是不是能治好？
12,从伤口上隐隐能感觉到……\n九尾的气息……\n应该是尤对我做了什么吧……
11,和尤交战的时候……\n我的脚被砍伤了……\n恐怕就是那个时候吧……
10,诅咒什么的，\n是什么时候染上的呀？
6,尤艾尔找来的镇上医生说，\n瘀斑的原因是诅咒，\n根本无从治疗，便束手无策地放弃了。
5,不仅如此，反而日益恶化，\n动弹不得的脚上\n开始蔓延出炭一样黑的瘀斑。
1,几天过去了，蔻的脚\n依然没有恢复的迹象。
0-synopsis,几天后，蔻的脚完全没有好转，瘀斑开始扩散。得知蔻的脚上被施了诅咒后，尤艾尔和苏丝雅试图用舞蹈来治疗，但并没有效果。听到蔻痛苦地说本想来帮助尤艾尔她们，却反而添了麻烦，姬塔一行人重新下定决心一定要治好蔻。
0-chapter_name,第2话 空虚的诅咒
