id,name,text,trans
0-chapter_name,,ユカタビカラパニック,浴衣碧卡拉大恐慌
0-synopsis,,仕事とお出かけを両立しようと頑張るビカラだったが、無茶がたたり始める。些細な勘違いから大胆にも姬塔と手を繋ごうとするなどビカラが迷走を続けていると、やがてネズ耳を付けていない姿を運営スタッフに見られてしまう。その身なりを補充スタッフと間違えられたビカラは、案内所の手伝いに連れて行かれるのだった。,碧卡拉努力兼顾工作与出游，但勉强自己造成的后果开始显现。她因一点小小的误会，竟大胆地想要牵起姬塔的手，就这样一路晕头转向，最终被庆典工作人员撞见了没戴鼠耳的模样。对方见她这身打扮，误以为她是前来支援的工作人员，于是把她带去问讯处帮忙。
2,ビカラ/碧卡拉,さあ、握手会の開催だ！\nパーッと盛り上がっていこう！,好啦，握手会正式开始！\n大家一起热热闹闹地嗨起来吧！
3,ビカラ/碧卡拉,じゃっじゃーん！,锵锵——！
31,ビカラ/碧卡拉,やあ、来てくれたんだね！\nとってもうれしいよ！\nさあ、ぼくと握手だ！,嗨，你来啦！\n我真的好开心哦！\n来，和我握手吧！
32,服屋の店員,おぉおお……！\nありがとうございます、ビカラ様！,噢噢噢……！\n非常感谢您，碧卡拉大人！
33,ライバル服屋の店員,感激です！,太令人感动了！
34,ビカラ/碧卡拉,あ、そうだ……,啊，对了……
35,,ビカラはちらりと周囲を見回し、\n声を抑えて\nふたりの店員に耳打ちした。,碧卡拉瞥了一眼四周，\n压低声音，悄悄对两位店员说道。
36,ビカラ/碧卡拉,昨日はせっかく素敵なユカタヴィラを\n見せてくれたのに\nこっちに決めちゃってごめんよ？,昨天你们明明特意让我看了\n那么漂亮的浴衣，\n我却选了这件，对不起哦？
37,ビカラ/碧卡拉,今度また、きみ達のお店の\nユカタヴィラを見にいくからね！,下次我还会再去你们店里\n看浴衣的！
38,服屋の店員達,お待ちしておりますぅ！,恭候您的光临——！
39,お祭り運営スタッフ,（あら……ビカラ様？\n服屋に配慮してくれているのね……\n気を遣わせてしまったわ……）,（咦……碧卡拉大人？\n原来她还顾虑着服装店的感受……\n反倒让她费心了……）
45,ビカラ/碧卡拉,告知なしでも\nこんなに集まってくれるとはね。\nとってもかしこみだよ！,没做宣传也有这么多人来，\n真是诚惶诚恐呀！
46,ドーマウス/多瑁斯,ちゃんとやってるでしね。,干得挺不错的说。
47,ビカラ/碧卡拉,もちろんさ！\n引き受けた仕事は\nしっかりこなさないと！,当然啦！\n既然接下了工作，\n就得好好完成才行！
50,お祭り運営スタッフ,大盛況ですね、ビカラ様！\n私も企画してよかったと\nほっとしております！,真是盛况空前呢，碧卡拉大人！\n我也很庆幸\n自己策划了这场活动！
51,ビカラ/碧卡拉,まかせてよ！\nきみが安心できるよう\nぼくもがんばるからね！,交给我吧！\n为了让你放心，\n我也会加油的！
52,ビカラ/碧卡拉,ところで、なにかあったのかい？,话说回来，是有什么事吗？
53,お祭り運営スタッフ,いいえ！\n特別なことがあったわけでは\nありません！,没有！\n并没有发生什么特别的事！
54,お祭り運営スタッフ,ただ、先ほど周囲にバレないように\nこっそり<span class='scene-font-palegray'>（服屋と）</span>お話を\nしているところを見てしまいまして……,只是刚才，我看到您为了不让周围的人发现，\n偷偷地和<span class='scene-font-palegray'>（服装店的人）</span>说话……
55,ビカラ/碧卡拉,え……こ、こっそり？\nバレないようにって……？,咦……偷、偷偷地？\n还不让别人发现……？
