id,name,text,trans
0-chapter_name,,人の恋路を邪魔する者は,妨碍他人恋路者
0-synopsis,,ある日、姬塔達は青年に手紙を届けるよう依頼をされる。聞けば彼は悪徳金貸しに騙され、借金返済のため島で強制労働を強いられているという。手紙は恋人に無事を伝えるためのものだった。愛し合うふたりを引き裂く悪行を聞いたサンチラは、青年を助けるため、悪徳金貸しの事務所へ乗り込むことを決めるのだった。,某日，姬塔一行受一名青年所托，替他送一封信。原来他受恶德放贷者欺骗，为偿还债务而被迫在岛上劳动。那封信是要向恋人报平安的。听闻这对相爱的恋人被拆散，桑琪拉决定闯入恶德放贷者的事务所，帮助青年。
1,,十二神将の午神サンチラが\n姬塔達の旅に合流して\nしばらく経ったある日のこと。,十二神将中的午神桑琪拉\n加入姬塔一行的旅程后，\n过了一段时日的某一天。
2,,一行は魔物討伐の依頼を終え、\n帰路についていた。,一行人完成讨伐魔物的委托，\n正在返回的路上。
3,ルリア/露莉亚,サンチラちゃん、\n今日も大活躍でしたね！,桑琪拉，\n今天也大显身手了呢！
4,サンチラ/桑琪拉,皆様の見事な活躍に比べれば、\nこの私の力など\n微々たるものに過ぎません……,和各位精彩的表现相比，\n我这点力量\n实在微不足道……
5,ルリア/露莉亚,そ、そんなことないですよ……？,才、才没有那回事呀……？
6,サンチラ/桑琪拉,いいえ……\n私はインダラお姉様ほど\n長く働くことはできません。,不……\n我没法像茵妲拉姐姐那样\n长久地工作。
7,サンチラ/桑琪拉,ビカラお姉様のような魅力にも乏しく、\nアンチラさんのような術もなく、\nフアンさんパイさんのような風水も……,也没有比卡拉姐姐那样的魅力，\n没有安琪拉那样的法术，\n也没有凡恩和派桑那样的风水之术……
8,ビィ/碧,相変わらず、サンチラは謙虚だな。\nもっと胸を張ってもいいんだぜ？,桑琪拉还是一如既往地谦虚啊。\n再自信一点也没关系吧？
8-sel1_txt,,すごく助かってる,你帮了我们大忙
8-sel2_txt,,頼りにしてる,我们很依靠你
10,サンチラ/桑琪拉,いえ……私など。\nまだまだ鍛錬が必要です。,不……我这样的人。\n还需要更多磨炼。
12,サンチラ/桑琪拉,姬塔様の\nご期待に応えられるよう、\n精進いたします……,为了能回应\n姬塔大人的期待，\n我会精进不懈……
