id,name,text,trans
0-chapter_name,,もぐらとジジイと風の坊主,鼹鼠与老头与风之僧人
0-synopsis,,ある日の午後、ラファエルは農園でウリエルに自分が農家になるまでの思い出を語り出す。天司がただの命として生きるようになった後、ラファエルは「生きる事」について悩んでいた。思索に耽りながら歩く中で、ラファエルは農家の「ジジイ」の農園に不法侵入してしまう。ラファエルはお詫びに農作業を手伝うも逆に畑を荒らしてしまい、弁償するため住み込みでジジイを手伝うことになるのだった。,某天下午，拉斐尔在农场向乌列尔讲述自己成为农民之前的回忆。天司作为普通生命生活之后，拉斐尔对“生存”一事感到烦恼。陷入沉思行走时，拉斐尔非法侵入了农民“老头”的农场。拉斐尔为道歉帮忙农活，反而弄坏了田地，为了赔偿而寄居下来帮忙干活。
1,,ある日の午後。\nサザクの街の郊外に広がる、\nラファエルの農園にて──,某天下午。\n在萨扎克城郊外广阔延伸的，\n拉斐尔的农场──
2,,とある用事のため、\nラファエルとウリエルは\n畑道を歩いていた。,为了某件事，\n拉斐尔和乌列尔\n走在田间的路上。
3,ラファエル/拉斐尔,……すまない、ウリエル。\n店を早仕舞いさせてしまって。,……抱歉，乌列尔。\n让你提前关店了。
4,ウリエル/乌列尔,俺が付いてきたかったんだ。\nついでにニンジンの様子も\n見られるだろ？,是我想跟来的。\n顺便也能看看胡萝卜的情况吧？
5,ラファエル/拉斐尔,……助かる。\n我ひとりでは心細かった。,……帮大忙了。\n我一个人有点不安。
6,,ふいにラファエルは、\n古びた看板の前で立ち止まる。,拉斐尔忽然\n在一块旧招牌前停下脚步。
7,ウリエル/乌列尔,立入禁止の看板か……？\nだいぶ年季が入ってるな。,是禁止入内的招牌吗……？\n看起来很有年头了。
8,ウリエル/乌列尔,だがこんな田舎の農園に\n迷い込む奴はいねぇだろ？,不过这种乡下的农场，\n不会有人闯进来吧？
9,ラファエル/拉斐尔,……そうでもない。,……那倒不一定。
10,ラファエル/拉斐尔,話していなかったな。\n我が「彼」と出会った日の事を。,没跟你说过啊。\n我与“他”相遇那天的事。
11,ウリエル/乌列尔,聞いてもいいのか？\nなんていうか、その……,我能听吗？\n怎么说呢，那个……
12,ラファエル/拉斐尔,こんな日だからこそ、\nウリエルには聞いて貰いたい。,正因为是这种日子，\n我才想让你听听。
13,,ラファエルは目を細めながら、\nそよ風にそっと言葉を乗せる。,拉斐尔眯起眼睛，\n把话语轻轻放在微风上。
14,ラファエル/拉斐尔,ある天司が農家になるまで……\n数奇な風の顛末を──,某个天司成为农民为止……\n一段奇妙的习风之始末──
21,,過日の争乱からまだ日も浅い頃──\nラファエルは書物を片手に、\nあてもなく郊外を散歩していた。,在不久前的纷争结束没多久的时候──\n拉斐尔手拿书卷，\n漫无目的地走在郊外。
22,ラファエル/拉斐尔,……我は生きているのだろうか？,……我算是活着吗？
23,ラファエル/拉斐尔,天司は<span class='scene-font-spword'>星の民</span>の定めた役割を止めて、\nただの命として生きる事になった。\nそれは我も受け入れている。,天司停止了作为星之民的既定职责，\n变成了仅仅是生命的存在。\n这件事我也接受了。
24,ラファエル/拉斐尔,だが、この哲学者の本によれば……\n生は死と共にあるものだという。,但是，按照这位哲学家的书中所说……\n生与死是相伴而行的。
25,ラファエル/拉斐尔,不滅の天司に「死」はない。\nすなわち「生」もないのでは？,不灭的天司没有“死”。\n也就是说，也没有“生”吧？
26,ラファエル/拉斐尔,我は生きていると言えるのか？\n生命の定義は？　生きる意味とは？,我能说是活着吗？\n生命的定义是什么？　活着的意义是什么？
27,ラファエル/拉斐尔,……汝はどう思う？,……你觉得呢？
29,もぐら,…………♪,…………♪
30,ラファエル/拉斐尔,汝も答えられぬか……\nやはり困難な問題と見える。,你也答不上来吗……\n看来这果然是个难题。
31,ラファエル/拉斐尔,では、汝の生活について聞きたい。\n土の中で暮らす楽しみは何だ？\n最近の印象深い出来事は──,那么，我想听听你的生活。\n住在土里有什么乐趣？\n最近有什么印象深刻的事──
32,もぐら,…………？,…………？
34,ラファエル/拉斐尔,待て、潜るな……！\n汝の話を聞かせてくれ。,等等，别钻洞……！\n听我说说你的故事。
39,ラファエル/拉斐尔,穴の痕跡はこちらに……\nかくなる上は我も潜って──,洞的痕迹在这边……\n事已至此，我也钻进去──
40,？？？,もぐらと話してたのかい？,你在跟鼹鼠说话吗？
41,ラファエル/拉斐尔,ハッ……！\nいつの間に我の前に……？,哈……！\n你什么时候到我面前的……？
43,ジジイ,逆だよ、逆。\nあんたがこのジジイに近づいてきた。\n穴ぼこを追っかけながらな。,反了，反了。\n是你自己靠近这个老头的。\n一边追着那些洞窟。
44,ラファエル/拉斐尔,……そうか。\n無我夢中だったようだ。,……是吗。\n我似乎太投入了。
45,ジジイ,カカッ、だろうな。\nそこの看板も目に入らないくらいに。,哈哈哈，是吧。\n连那边的招牌都看不见了。
46,ラファエル/拉斐尔,看板……？,招牌……？
47,ジジイ,ここは私の農園だよ。\n大げさに言えば不法侵入だな。,这里是老夫的农场。\n说得夸张点就是非法入侵了。
50,ラファエル/拉斐尔,不法……侵入……！？,非法……入侵……！？
51,ラファエル/拉斐尔,我は……捕まるのか……？\n人間の法で裁かれるのか……？,我会……被抓吗……？\n会被人类的律法审判吗……？
52,ジジイ,もぐらの法で裁く気はないさ。\nだが役所に突き出すのも面倒だ。,老夫没打算用鼹鼠的规矩来审判你。\n不过，把你送去衙门也麻烦。
53,ジジイ,<span class='scene-font-4'>きっかり罰金１ルピ！</span>\nそれだけ置いて帰るといい。,<span class='scene-font-4'>罚款整整1卢比！</span>\n留下这笔钱就走吧。
54,ラファエル/拉斐尔,…………,…………
55,ジジイ,おや……？\nまさか手持ちがないのかい？,哦……？\n难道你身上没钱吗？
56,ラファエル/拉斐尔,……すまない。\n通貨という概念に馴染めず……,……抱歉。\n我不太习惯货币这个概念……
57,ジジイ,カカッ、なるほど！\n風吹くままに暮らしてるわけか。,哈哈哈，原来如此！\n你是在随风游荡过日子啊。
58,ラファエル/拉斐尔,どちらかといえば、\n風を吹かせていたのだが……,要说的话，\n是我在吹风才对……
59,ジジイ,まぁ仕方あるまい。\nならば他の方法でいこう。,也罢，没办法。\n那就换个方式吧。
65,ラファエル/拉斐尔,……この格好は？,……这身打扮是？
66,ジジイ,私のお古だよ。\nちょっと小さいだろうがね。,是我的旧衣服。\n虽然有点小，但将就吧。
67,ジジイ,今から農作業を手伝ってもらう。\nそれで手打ちだ、風の坊主！,接下来你帮我干农活\n咱们就两清了，风之僧人！
68,ラファエル/拉斐尔,知識も経験もないが……\n天司の威信にかけてやり遂げよう。,我虽然没知识没经验……\n但以天司的威信起誓，一定会完成。
69,ジジイ,うむ、やる気十分でよろしい。\nだがその本、小脇に抱えたまま\n畑に出るつもりかい？,嗯，干劲十足，很好。\n不过你打算把那本书夹在腋下\n去地里干活吗？
70,ラファエル/拉斐尔,ああ……\n思考し続けねばならぬ、\n重大な問題があるのだ。,啊……\n我必须一直思考\n一个重大问题。
71,ジジイ,ふむ……,唔……
72,ジジイ,では、そうだな……\nニンジンの間引きを頼もう。\nついでに中耕と土寄せもな。,那么，这样吧……\n你去给胡萝卜间苗吧。\n顺便也做中耕和培土。
73,,こうしてラファエルは、\nジジイに教わりながら\n農作業にあたるが──,就这样，拉斐尔\n在老头的指导下\n干起了农活，但是──
81,ラファエル/拉斐尔,どうだ？\n正確に間隔を空けて、\n雑草を引き抜いてみた。,怎么样？\n我按准确的间距\n拔了杂草。
82,ジジイ,抜いたのはニンジンの方だ。\n雑草を綺麗に残してどうする。,你拔的是胡萝卜。\n杂草倒是留得真干净。
90,ラファエル/拉斐尔,ふぅ……\n土がフカフカになったな。,呼……\n土变得松软了。
93,ジジイ,その耕した土を踏んでいる。\n固めてしまっては意味がないぞ。,你正踩在刚耕过的土上。\n踩实了就白费了。
99,ラファエル/拉斐尔,この穴は……！\nもぐらの風を感じる……,这个洞是……！\n我感受到了鼹鼠的风……
100,ジジイ,作業中にもぐらを追うな。\nあと穴は見つけたら埋める事。,干活的时候别追鼹鼠。\n还有，发现洞就把它填上。
103,ラファエル/拉斐尔,ム、綺麗な蝶々……,唔，好美的蝴蝶……
107,ジジイ,現実逃避をするな。,别逃避现实。
113,ラファエル/拉斐尔,はぁ……,啊……
115,,何をやってもうまくいかず、\nラファエルは思わず座り込む。,做什么都不顺利，\n拉斐尔不由得坐了下来。
116,ラファエル/拉斐尔,……人間の活動は困難を極める。\n堕天司との戦いにも匹敵しかねん。,……人类的活动真是充满艰险。\n简直堪比与堕天司的战斗。
117,ジジイ,生命を育む作業だ。\n簡単なはずがなかろう。,这是孕育生命的工作。\n不可能简单。
118,ラファエル/拉斐尔,生命……,生命……
119,ジジイ,カカッ、畑が滅茶苦茶だ！\nこりゃ種まきからやり直しだな。,哈哈哈，田地乱成一团了！\n这得从头重新播种了。
121,ラファエル/拉斐尔,誠に申し訳ない……\n弁償させて貰いたい。,实在抱歉……\n请让我赔偿。
122,ジジイ,いいや、気にするな。\n風の坊主は真剣にやってくれた。,不，别在意。\n风之僧人你干得很认真。
