id,trans
filename,scene_evt240729_cp5_q4_s10
translator,Claude 3.5 Sonnet
info,scene_evt240729_cp5_q4_s10
180,沉入苍海的秘密，\n如今即将浮出水面。
179,众人总算回到了原来的身体，\n而且还与瓦尔纳和涅普顿\n成功会合。
178,（你绝对什么都没搞懂吧……）
177,原、原来如此～？\n我完全理解了！
176,终于看清了呢……\n这片海洋正在发生什么～
175,瓦尔纳和涅普顿\n将目光投向苍海，凝视着\n一个巨大的影子。
174,…………
173,……这是阿尔巴科亚的名字吗？\n你为什么知道？
172,果然是……\n露柯亚酱，阿雷亚君，\n波尔巴先生，卡巴科先生……
171,瓦尔纳和涅普顿看着\n倒在旁边的4具阿尔巴科亚身体，\n似乎确信了什么，相互点头。
170,涅普他们呢，在调查中和阿尔巴科亚\n精神互换了……\n刚才才变回来～
169,是笨蛋星晶兽啊……\n你们那边怎么样了？
168,你们……！\n没事吧！？
166,……我想起来了。\n头部撞击的冲击让我全部──
165,恢复原状的一行站起来时，\n反而是阿尔巴科亚他们失去意识\n倒在了海滩上。
164,好痛痛痛……\n呜……头上起包了……
157,然后，我明白了。\n那个事件背后有──
155,……我把他引入梦想世界，\n看到了留在他脑中的记忆。
146,金枪鱼闪电！
141,除了头部碰撞的冲击，\n再加上我的「梦」的干涉……\n这样应该就能变回原样了。
140,就这样，在众人面前，\n昏迷的自己的身体集齐了。
134,啊，我才是，谢谢你救了我……
133,……得救了。\n那个「我」对你非常感兴趣，\n注意力变得松懈了。
129,金枪鱼闪电！
128,不、不行不行！\n怎么可能做得到那种事……
127,呃……赫卡忒小姐的弱点是……\n从这边，那、那个，诱导她合体……\n趁她兴奋时找机会，之类的……？
126,诶，轮到我对付赫卡忒小姐了吗……？
125,…………！
121,呼……\n冥后超常的鬼脸……\n这个样子也能做到呢。
118,～～～～！？
117,哈啊！！！
114,……好吧，碧卡拉。\n让你见识一下冥后可怕的力量。
106,金枪鱼闪电！
105,拉伽佐战斗的下风处……\n让你直接吸入了我的火焰烟雾。
104,…………！？
102,……上当了吧！
101,加农炮──
93,冲过去了！\n金枪鱼闪电！
92,哼！
91,4人从岩石后面冲出来，\n这次向熟悉的对手发起挑战。
87,诶，等等……！\n连赫卡忒小姐也！？
85,就是这个！\n没错。\n就是这样！
81,那、那个……呃……\n如果互相都知道对方的弱点，\n那换个对手不就行了吗……？
80,你以为我没注意到\n你一直在小心避免吸入烟雾吗？
79,什么！？\n你怎么知道那个……
78,……哼，但拉伽佐你才是，\n应该利用义手排热机构进烟后\n火焰会熄灭的特性吧？
77,在烧烤的时候啊。\n从食材的烤熟程度就能看出来了。
76,为什么你会……？\n你是怎么发现的？
75,帕尔先生，怎么了？\n你的火焰内外温度有差异……\n穿过低温的地方不就行了吗！
74,4人各自陷入困境，\n背靠背地\n暂时撤退到岩石后面。
67,呜哇～！\n别、别扔石头啊啊啊啊……！
66,…………！！
65,诶……？\n刚才，好像想说什么──
64,啊……啊啊……
63,那、那个……\n能把身体还给我吗？
59,唔……！\n我的身体，太棒了……！
57,…………！！
50,不愧是我和我们的工程师……\n感觉根本没法靠近啊……
47,炮火之焰！
43,唔……！\n贸然靠近的话就会变成烤鱼吗……
41,哈啊！
40,拉伽佐向自己的身体\n发起冲锋作为开端，\n4人各自开始了战斗。
38,敌人就是自己吗……\n好啊，我要战胜它！
37,哦……？\n不想放弃我的身体吗……\n作为鱼来说还挺有眼光的嘛。
36,众人对新泳装感到惊讶之际，\n对面的4人也摆出了战斗姿态。
35,……你为什么要懊恼啊？
34,唔，虽然不想承认，\n但这真是绝妙的想法……！
33,大胆地融入海洋的肥沃，\n激发原始的肉欲……\n贝壳也是性的隐喻哦。
32,贝、贝、贝壳比基尼……！？\n那样真的没问题吗……
31,……等等，\n为什么换衣服了！？
30,…………！
9,是啊，确实──
8,不过……\n看着自己还真是奇怪的感觉啊。
7,…………
6,4人用阿尔巴科亚特有的感觉\n相互交流着，\n面对着自己的身体。
5,好嘞！\n接下来只要头碰头就能\n变回原样了对吧？
4,找到了！\n我的身体……！
3,…………
2,寻找自己身体的赫卡忒等人，\n发现了站在海边穿着泳装的4人。
0-synopsis,赫卡忒等人发现了自己的身体。虽然发生了一些意外，比如内容是阿尔巴科亚的赫卡特身体不知为何换上了贝壳泳装，但在赫卡忒的力量下，成功解除了互换状态。当赫卡忒恢复与阿尔巴科亚互换前的记忆时，瓦尔纳和涅普顿也出现了，事态的全貌终于浮出水面。
0-chapter_name,第5话 铁火色的真相
