id,trans
filename,scene_chr003_q2_s20
translator,gpt-4o-2024-08-06
info,scene_chr003_q2_s20
16,实现了愿望的粗犷战士从心底感到幸福地抱住了玩偶。
15,呵，呵呵呵……毛茸茸的……
14,嘛……像莱恩这样了不起的战士抱着兔子玩偶，这也是挺奇妙的景象……
13,呵呵，莱恩先生看起来很开心。太好了……
12,我，我感激不尽……！
11,当然可以～！
10,这，这可以吗？真的可以？
9,呵呵～这是送给您的礼物～感谢您保护了重要的商人伙伴和商品～
8,什，什么？这是什么意思……？
7,那么～来，请收下。莱恩先生。
6,呵呵呵～兔子玩偶，还有一个完好无损地留下来了！
5,啊！？找到了！找到了！太好了～
4,嗯？榭洛科特！你在干什么？
3,嗯……好像在这附近……
2,那、那个……请不要太过在意……
1,对不起，兔子玩偶们……我没能保护好你们……
0,姬塔一行击退了魔物，但在破损的玩偶面前，莱恩独自低下了头。
0-synopsis,毛茸茸的玩偶被撕裂，莱恩陷入低落。榭洛找到了一只幸免于魔物破坏的玩偶，并将它作为感谢莱恩保护了商人同伴和商品的礼物送给他。于是，莱恩从心底感到幸福地抱住了玩偶。
0-chapter_name,拯救兔子玩偶！
