id,trans
filename,scene_evt260515_cp10_q1_s10
translator,假流式-gemini-3.1-pro-preview
info,scene_evt260515_cp10_q1_s10
26,是！
25,回我们的飞艇了，少校。
24,若有我能帮忙的，真想尽一份力，为此我们也必须早日回去才行。
23,但愿如此……毕竟母女两人生活难免会有许多辛劳。
22,格蕾西亚女士和艾丽西亚小姐不知道还好吗。
21,……那家伙也是这样啊。
20,无论何时、在哪个世界，亲子之爱总是如此美丽啊。
19,是啊。
18,艾奇尔巴阁下在女儿面前也是毫无威严呢。
17,爸爸现在就过去哦～小阿尔德拉～！
16,什么！？糟了，已经到了小阿尔德拉吃点心的时间了啊！
15,刚才令爱在食堂找您呢。
14,您在这里啊，艾奇尔巴阁下。
11,虽然不太明白，但听起来好厉害啊。有机会的话就拜托你了！
10,艺术般炼金法……？
9,呼呼！我阿姆斯特朗家族代代相传的艺术般炼金法，改天真想让您见识一下呢！
8,而且啊，你不光是力气大，还是个炼金术师对吧？
7,哪里哪里，你才是！明明不是多拉夫族，却有如此庞大的身躯，真是了不起啊。
6,多拉夫族的各位都十分雄壮，但艾奇尔巴阁下的肌肉更是格外出众啊！
5,哎呀呀，真是太出色了！
4,喝啊！
3,嗯！
