id,trans
filename,scene_evt160831_cp4_q3_s10
translator,Gemini
info,scene_evt160831_cp4_q3_s10
39,老、老师啊啊啊啊！？
35,去你的！\n你以为这种事情能被允许──
34,呵呵呵……\n那么首先，侦探小子。\n就用你的命来支付违约金吧！
33,…………
32,你们不明白现在的状况吗？\n你们已经知道了真相。\n对我来说，你们和怪盗小子是同罪。
31,你就是事件的幕后黑手……\n可恶，放开萨雅！
30,名侦探巴洛瓦？\n真是个大笨蛋啊。
29,宝藏猎人，\n在智力方面有些令人担忧。\n所以我也试着雇佣了侦探……
28,一行人回头一看，\n奥古斯特的区长就站在那里，\n用枪指着萨雅的心脏。
27,萨雅！？\n您是……区长大人！？
26,老师，大家……
23,──是谁委托你们这么做的？
22,不可饶恕……！\n这种卑鄙的行径，我绝对不能原谅！\n我要为虹锹洗刷冤屈！
21,……各位，我再次请求你们的帮助。\n为了解放虹锹，惩罚幕后黑手。
20,我也有同感。\n我察觉到虹锹市场有人为操控的痕迹，\n最终追查到了这个秘密交易的真相。
19,这种饲养方式，简直就是虐待……\n完全感觉不到一丝一毫的爱……
18,真是残酷的故事……\n真正的宝物，就是这些虹锹啊。\n而且，还是宝藏传说的原型？
17,为了扰乱自然生态系统，\n操控市场价值进行秘密交易。
16,这是因为幕后黑手放出了天敌鸟类，\n将这个岛以外的虹锹，\n几乎全部灭绝了。
15,但近年来却突然销声匿迹，\n被称为幻之生物后，\n其价值就如同宝石般高涨……
14,就在不久之前，\n它们的数量还只是稍微稀有一些……
13,是啊……\n通称「虹锹」先生，\n是人见人爱的七色锹形虫……
12,巴洛瓦说过吧……\n这玩意儿交易价格超高吧？
11,生、生产工厂……！？\n彩虹锹形虫的确……
10,但这就是事实，名侦探。\n这里就是「彩虹锹形虫」的，\n可以说是「生产工厂」。
9,这种东西……\n这种东西怎么可以存在……
8,岂有此理……
7,房间里闪耀着七色光芒的锹形虫，\n被连接到从奇怪装置延伸出来的管子上，\n如同物品一般被管理着。
6,喂、喂！\n这边这个箱子又是什么啊！？\n里面塞满了锹形虫……！
5,呀！？\n那、那里面是锹形虫！\n是锹形虫宝宝们！
4,……！？\n那、那是什么包裹……？\n里面好像有什么东西在动？
3,感觉非常可疑……\n刚才说这里是工厂，\n但宝物到底在哪里啊？
2,这、这里是……！？
1,映入眼帘的是，\n一片异样的景象……
0,在夏诺瓦尔的带领下，一行人来到地下设施的一个房间。
0-synopsis,地下设施是为了生产和管理比宝石更有价值的彩虹锹形虫……通称虹锹而建造的。事件的幕后黑手为了操控虹锹的市场价值，扰乱自然生态系统，进行着秘密交易。义愤填膺的巴洛瓦，却在这时遇到了奥古斯特的区长，他将萨雅作为人质挟持。
0-chapter_name,第四话 事件的真相
