id,trans
filename,scene_evt250428_cp6_q1_s10
translator,Gemini
info,scene_evt250428_cp6_q1_s10
116,从那平静的侧脸上，\n无法揣测其任何意图。
115,涅蕾乌丝面带微笑，\n如同风平浪静的大海般述说着。
114,就像犹大动员全族\n策划计谋一样，\n我这边也是有时间的。
113,不必担心。\n虽然确实是件悲伤的事……
112,但是，狮子王战拳和\n咎瓦尤斯都坏掉了……\n你接下来打算怎么办？
111,……涅蕾乌丝的目的，\n你说过是收集占星武器本身，\n对吧？
110,看着我也很无聊吧。\n这可是犹大的星座。
109,玛娜负责监视你……\n分工就是这样的。
108,但是你的同伴正处境危急哦。\n不去帮忙吗？
107,是依靠我的头发，\n来确定位置的吗？\n不愧是家族的羁绊呢。
103,哦呀……？
102,找到你了。
101,「<ruby>月<rt>Luna</rt></ruby>」——\n你那隐藏的容器，\n能否承受住这命运呢——
95,犹大的研究也相当惊人呢。\n将拟似适格与阿修罗的特性相结合，\n竟然能同时使用多个占星武器……
94,在不透视带的角落，\n有人正注视着\n「涅蕾乌丝之杖」映出的影像。
88,你所谓的叛逆期，\n就让我迅速终结吧——
87,————
71,——<ruby>招来<rt>Evoca</rt></ruby>。
70,行星武器「阿修罗」……\n其能力是——
62,…………
61,那我就必须阻止您。\n因为菲欧丽特小姐，\n在最后托付给我了。
60,无论你做什么，\n我都不会说的。
59,摩理林解放力量，\n变身成缠绕着荆棘的姿态。
53,比如每天早上都能神清气爽地醒来，\n或者带奖的糖果总能中大奖，\n或者飞蛾先生会停在指尖之类的……
52,能让人笑出来的事情，\n让我们一起想想吧。
51,犹大大人的愿望，\n能告诉我吗？
50,……！\n难道……星律……？
46,是叛逆期哦。\n摩理林君酱，\n这是第一次表明态度。
45,……你打算干什么？
44,听到犹大的话，\n摩理林摆出了战斗姿态。
43,是吗……
42,没什么可笑的。
41,…………
40,我一直……\n希望犹大大人能笑出来，\n所以才待在您身边的。
39,我诞生的……\n灵魂寄宿于你身上的瞬间，\n犹大大人在哭泣。
38,什么……？
37,实现了那个愿望，\n犹大大人会露出笑容吗？
36,只有一个问题……\n能让我问问吗。
35,这是我族夙愿。\n然后，我的愿望也将实现。
34,正如菲尔迪南德所说，\n阿尔戈马上就要显现了。
33,禁炉的内部，\n几乎完全染黑的\n起源花坐镇于此。
32,真期待啊……！\n好想快点看到！
31,哼哼哼……！\n如果是狡猾又残忍的犹大，\n一定会实现很了不得的愿望吧！
30,菲利克斯……！\n你明白吗……？\n阿尔戈无论多么可怕的愿望都——
29,巨大的禁炉旁边，\n是被束缚的菲尔迪南德，\n以及看守着他的菲利克斯。
28,唔呜……！
27,好的，做梦时间到。
26,起源花马上就要完全染黑了……！\n万一，阿尔戈显现的话——
25,摩理林君！\n快阻止犹大！
24,…………？
23,……是的。\n因为我一直都在您身边。
22,那是当然的吧。\n关于我的战斗，\n摩理林你也应该见识过。
21,不愧是犹大大人。\n您已经把所有人都处理掉了呢。
20,在犹大身旁，\n鲜红的血泊仍在蔓延，\n姬塔等人倒在那里。
18,……是摩理林吗。\n其他入侵者怎么样了？
17,我回来了，犹大大人。
16,摩理林爬上梯子，\n出现在犹大所在的地方。
10,无机质建筑的最深处——\n逐渐染黑的起源花坐镇于此，\n被称为「禁炉」的研究据点。
0-synopsis,当摩理林回到「禁炉」时，姬塔等人已被犹大击败。距离阿尔戈显现已所剩无几，摩理林带着菲欧丽特的思念，为了解犹大真正的愿望而解放力量。犹大使用「行星武器」与摩理林对峙。涅蕾乌丝在玛娜玛尔的监视下，从远处平静地注视着这一幕。
0-chapter_name,第6话 熔融
