id,trans
filename,scene_evt220628_cp4_q4_s10
translator,gemini-3.1-pro-preview
info,scene_evt220628_cp4_q4_s10
85,十二神将一边泡着温泉，\n一边听着缇可的户外体验，\n欢快地聊着天。
84,真是好朋友呢……♪
83,这两个人从刚才开始，\n到底是怎么回事……？
82,为了掩饰尴尬，\n缇可和碧卡拉\n有些不自然地相视而笑。
81,呵呵呵呵…………
80,呵呵、呵呵呵……
79,呵、呵呵呵……
78,（不能再往下说了……\n其实我住的也不是帐篷，\n而是漂亮的小木屋这件事……）
77,（但是……不能说……\n明明缇可医生这么相信我……）
76,（对不起……\n老鼠耳朵只是\n不小心在篝火里烧掉了而已……）
75,呜……\n那、那个……事出有因……
74,明明那么努力……\n<span class='scene-font-2'>总觉得很过意不去啦……</span>
73,可是……特别是碧卡拉，\n还听从了我的建议，\n摘下了老鼠耳朵过日子……
72,不、不是的……！\n您在说什么呀……！\n没、没必要道歉的……
71,<span class='scene-font-2'>呜……对不起……</span>\n十二神将都在努力，\n只有我在享受……
70,露营的形式\n真的是多种多样呢……
69,也就是说事到如今已经不需要\n自己亲力亲为了呀～\n这倒也是呢。
68,是呢。\n毕竟缇可很习惯露营了。
67,虽然有点惊讶……\n但缇可白天也在工作对吧。
66,冷静点，黄。\n你生火的方法\n本来就错漏百出嘛。
65,我们光是生个火\n就费了老大劲了……\n缇可医生却……
64,<span class='scene-font-4'>竟然如此！</span>\n这不是无微不至嘛！
63,生火、篝火做饭，\n还有处理各种垃圾等，\n所有的烦心事都不存在。
62,据缇可所说，“豪华露营”是\n一种能优雅体验大自然的\n全新服务。
61,当然是露营啦……！！
60,缇可酱……\n那算是露营吗……？
59,在目瞪口呆的十二神将中，\n只有夏托拉开了口。
58,…………
57,床！？
56,有床可以睡……
55,不睡睡袋吗？
54,沙发！？
53,有沙发可以坐……
52,没有折叠椅吗？
51,客房服务！？
50,客房服务\n会端过来的啦……
49,那个……\n饭菜是在哪里吃呢……？
48,厨师！？
47,饭菜是……厨师做的啦……
46,不仅没有关键的道具，\n还有人帮忙点燃篝火，\n那饭菜是怎么做的呢？
45,我们体验了一天，露营\n确实需要很多道具呢。\n光靠租借都无法满足。
44,空着手来就行什么的\n也有点让人搞不懂啊……
43,感觉哪里不太对劲啊……\n工作人员是指谁呢……？
42,…………？
41,道具全都留在飞艇上了啦……\n豪华露营只要空着手来就行了……
40,缇可你在使用什么道具呢？
39,哎？\n工作人员……？
38,工、工作人员会帮忙……
37,啊～是这么回事啊！\n缇可医生，在那边大家\n都是怎么生火的呢？
36,是、是只有高级露营者才能进入的\n露营地之类……的吗……？
35,是、是这样的啦……
34,礼物？\n是说作为志愿者的谢礼\n邀请了你吗？
33,我作为志愿者在救护所帮忙后……\n当地的医师会\n就强烈要求把它作为礼物送给我了……
32,豪华露营……？\n那是一种怎样的露营啊？
31,在这里……是豪华露营啦……
30,……哎？\n缇可，你刚才说什么？
29,豪、豪华露营……
28,被兴致勃勃的十二神将逼近，\n泡在浴池里的缇可移开视线，\n看着水面这样嘟囔道。
27,缇可医生，快说给我们听听～！
26,折叠椅好像\n也是自己带的呢。\n说不定还带着其他便利道具。
25,干脆利落地搭好帐篷，\n干脆利落地生起火，\n再干脆利落地做好饭……是这种感觉吗？
24,席格和库库鲁她们虽然也很熟练，\n但缇可应该也相当厉害吧。\n很想听听高级玩家的分享哦！
23,那个……
22,给予充分信任的碧卡拉\n眼中闪烁着光芒，\n另一边缇可的眼神却游移不定。
21,对、对吧？缇可医生……！
20,毕、毕竟是缇可医生，\n那肯定是……应该说是高级玩家……\n非常厉害的露营哦……！
19,啊，那个……
18,说起来缇可\n是在哪里搭帐篷的呢？\n在湖边分别后就没看到人影了……
17,哎……？
16,缇可酱，\n今天在体验怎样的露营呢……？\n快说给我听听……♪
15,听说缇可的露营手腕\n也很厉害呢！
14,啊，嗯……\n没什么啦。
13,缇可医生，您怎么了？
12,（这也太拼了吧……\n但她们正这么努力，\n去泼冷水也不好……）
11,（十二神将作为传承历史的存在，\n明明已经有很多职责了，\n还要再增加该做的事吗？）
10,作为旅行医生那是理所当然的啦……\n话虽如此……
9,听了缇可的经验之谈后，\n更是这么觉得了。\n毕竟谁也不知道什么时候会发生什么事呢。
8,…………
7,只要被人们所依赖，\n我们就必须掌握\n能够应对一切事物的能力。
6,随着时代的变迁，\n也开始倾听人们无病无灾的愿望，\n并为他们消除烦恼了。
5,是这样呢……\n我们十二神将原本\n担负着监视星之世界的职责……
4,话说回来……\n我刚才听到你们的谈话了，\n你们想变得更擅长露营吗？
3,连温泉都有，\n真是个方便的设施。\n没有不泡的道理吧。
2,缇可你也进来了呀。
0-synopsis,在一旁倾听的缇可，看到意气风发想要掌握应对一切事物的能力的十二神将们，似乎有自己的想法。阿妮拉等人想以缇可的露营为参考，纷纷来打听，缇可便透露自己正在进行“豪华露营（Glamping）”。听说这是一种完全没有繁琐事务就能享受自然的服务后，阿妮拉等人不禁感叹露营也有各种各样的形式。
0-chapter_name,第4话 饭营
