id,trans
filename,scene_evt180809_cp1_q4_s20
translator,Gemini
info,scene_evt180809_cp1_q4_s20
147,姬塔接过碧捡回来的剑，\n再次朝着舞台上的\n魔物冲了过去。
146,真是的，你没事吧！\n一点也不像你啊？
142,啊……好危险！\n你在干什么啊姬塔！\n剑朝这边飞过来了啊！
137,但是，可能是力道没有控制好\n剑从姬塔的手中滑落，\n朝着意想不到的方向飞去。
131,姬塔本能地冲了出去，\n拔出剑。
130,喂，喂姬塔！\n那丫头有危险！
129,啊啊啊啊啊啊啊！？\n怎么又是！？
128,呜…………
120,听到露莉亚的声音，千歌不禁回头。\n那里是──
119,诶？
118,千……千歌小姐！　后面！
117,唱歌和表演戏剧吗……
116,说不定，偶像们也在这里\n表演过舞蹈和歌曲──
106,千歌伸出手，\n触碰着舞台。
105,……
104,真厉害啊。\n有这么多东西的话，\n不管是唱歌还是表演戏剧，什么都能做吧。
103,唱歌和表演戏剧吗……
102,在城镇的人们还充满活力的时候，\n是在这里\n做这些事吗。
93,从这些设备来看，\n以前是在这里唱歌和表演戏剧的吗。
92,也没有好好保养，\n到处都破破烂烂的……\n总觉得好可怜……
91,照明和……音响设备吗？\n虽然很气派，\n但现在好像已经停止使用了。
89,仿佛是为了纪念那件事，\n原本简陋的舞台设置了各种各样的器材，\n变得华丽起来。
88,那里曾经是μ’s的九人\n与城镇的人们一起练习，\n并作为联合演唱会舞台的地方。
86,嘿……真不得了啊。\n还有很多乱七八糟的\n不知道是什么的器材。
72,千歌所指的中央广场上\n有一座巨大的石造舞台。
71,很大的舞台……？
70,我说，那是什么啊。
69,之后一行人继续在城镇中探索。
63,啊哈哈……\n没事的。肯定没事的。\n我们继续调查吧。
62,……露莉亚也是吗？
61,嗯……\n总觉得，\n从刚才开始就没办法集中精神……
60,真不像你啊。\n怎么了？
59,……我不知道。感觉它不会\n立刻就出来……\n而且我也不知道它在哪里。
58,露莉亚，你能\n试着呼唤或者和那只星晶兽对话吗？
57,然后，姬塔\n怀疑之前来这座岛的时候露莉亚感知到的气息\n是星晶兽吧？
56,嗯……是的。\n大概，是这样……
55,我说，露莉亚，已经\n感觉不到奇怪的气息了吗？
41,就这样，姬塔一行人\n开始了城镇的探索。
40,谢谢你，姬塔小姐。\n我会努力不放过任何蛛丝马迹的！
39,确实，如果没办法从城镇的人们那里\n获得情报的话，\n就只能自己去看了……
38,提议让千歌她们作为姬塔的眼睛\n同行调查。
37,姬塔也本来\n就打算这么做。
36,嘛，打架斗殴的事我们\n应该能搞定的，\n那方面就不用担心了。
35,好——。
34,不要靠近危险的地方，\n感到危险就立刻离开。\n要好好保护自己。
33,没什么啦。\n要帮助姬塔小姐她们的话\n就在没有危险的范围内吧。
32,——！？
31,我说……你们在说什么啊？
30,确实，与其让千歌在我们不知道的地方\n做些什么，我们一起\n行动会比较好。我知道了。
29,……我明白了。\n鞠莉小姐你同意的真正理由。
28,如果千歌酱\n是那种被说一句放弃就放弃的孩子，\n就不会有现在的Aqours了。
27,是啊……\n没错……
23,才不放弃！
22,我说，千歌。\n还是放弃吧？
18,想象一下跟千歌酱说「Stop」\n会发生什么吧。
17,说完，鞠莉\n抱住了黛雅和果南。
16,……Plus，One More Reason。
15,话是这么说……
14,身为理事长的我和学生会长黛雅\n不可能什么都不做吧？
13,比如说，如果浦之星的全体学生\n都变成像这个城镇的人们那样……
12,鞠莉小姐！？　连你\n在说什么啊！？
11,……那么，我也赞成千歌酱吧？
10,一想到那位老奶奶那么\n珍视城镇里的人们，\n就没办法什么都不做……
9,那个，我虽然不像姬塔小姐那样\n会战斗，\n也不了解这个城镇……
8,是啊……\n要是幽灵出现怎么办？\n千歌，你可是被袭击了哦？
7,等一下，千歌，\n我们的委托其实很危险的哦？
6,……那个，姬塔小姐。\n我能帮上什么忙吗？
5,是这样啊……
4,那位老奶奶，为了解决城镇的问题\n好像在四处奔走。\n所以都没时间和我们见面。
3,嗯。说城镇情况的时候\n那位老奶奶，看起来很痛苦的样子。\n而且，感觉她很疲惫……
2,怎么了，千歌。\n在担心町长的事吗？
1,……
0-synopsis,看到悲伤的町长，Aqours的九人决定帮助姬塔她们完成委托。在城镇探索中，一行人发现了中央广场上被放置的巨大舞台，此时影之魔物出现袭击了千歌。姬塔立刻冲了出去，但是拔出的剑却脱手而出，差点就要击中碧。姬塔从碧手中接过剑，再次朝着魔物冲了过去。
0-chapter_name,第一话 这里是什么地方？
