id,trans
filename,scene_evt260428_cp1_q3_s10
translator,gemini-3.1-pro-preview
info,scene_evt260428_cp1_q3_s10
144,露露姐、梅露……！\n你们一定要平安无事……！！
143,到、到底发生什么事了……！？\n那边冒出烟来了……
139,好了好了……\n现在正朝这儿来的家伙们，\n希望能让我稍微觉得有点嚼劲吧？
138,呜哎！？\n您怎么连这都知道。\n顺风耳都没您灵啊！
137,有人正朝这边过来。\n3……不，4个人吗。\n有一个听不到脚步声。是在飞吗？
136,嗯？怎么了？
134,嗯。和其他人一样，\n带去冥界。\n有潜力的人之后再进行筛选——
133,是是。我们就怀着半吊子的心理准备\n干些打杂的活儿好了。\n只要把这些家伙搬走就行了吧？
132,咯咯咯！所以你们\n才会被库弗阿随意摆布！\n作为战士的心理准备太不足了！
131,呃……居然会高兴地等待着\n来杀自己的对手，\n这感觉我还真是有点无法理解呢……
130,真是让人期待啊？\n她到底会用什么方法\n来杀我呢。
129,而且，我喜欢强大的战士。\n那个女人肯定会单枪匹马\n再次向我挑战的吧。
128,凭你们，\n是压制不了一流战士的。\n我从一开始对你们就没抱任何期望。
127,……？您好像很高兴？\n我还以为办事不力，\n脑袋要搬家了呢。
126,哦！是吗是吗！\n那太好了！
125,抱歉。\n在押送途中被她逃了。\n看来她中途一直在装睡……
124,啊！想起来了！\n那个家伙还挺有骨气，很不错！\n她怎么了？
123,不是有个特别强的女人吗？\n骑着戴面具的战骑兽\n那个家伙。
122,……那个，\n出了点问题。
121,正好。\n去召集人手把这些家伙搬走。\n森林里那些家伙应该已经关押完毕了吧？
120,哈哈……对付这些软弱至极的家伙，\n我们也是束手无策，\n导致丢了工作呢。
119,根本不够看。\n随便抚摸一下就倒下了，\n现代的库弗阿真是软弱至极。
118,…………
117,哦哦……\n您这次闹得可真够大的。
109,太迟了。弱者们。
108,<span class='scene-font-4'>女王……！！</span>\n请快逃——
107,我没有冒充。\n我就是冥界之神，希内·努伊。
106,当低吼声平息时，\n那里已经没有了少女的身影，\n只有一个巨大的黑影俯视着这边。
89,你们刚才，\n说我是“冒充神名的人”吧？
88,身、身体……\n膨胀起来了……？
87,伴随着响彻大地的低吼，\n少女的身体发出嘎吱嘎吱的声音，\n扭曲、变形着。
85,咕……嘎……！！\n<span class='scene-font-4'>啊啊啊啊啊啊……！！</span>
84,现在才发现吗？\n那正好，顺便让你们见识一下吧。
83,你、你这家伙……\n难道不是人类吗……？
82,这理所当然吧？\n你们这些脆弱的战士，\n怎么可能有打赢我的道理。
81,不可能……！\n千锤百炼的库弗阿战士\n竟然完全不是对手！
80,怎么了？\n你以为这样就能分出胜负了吗？
79,少女就这样\n咬断了刺过来的枪尖，\n嘎嘣嘎嘣地嚼碎后吐了出来。
77,动、动不了……！？\n怎么可能会有这种事……！？
76,少女用牙齿接住了枪尖，\n并将其死死咬住，\n使其无法再刺入分毫。
75,怎、怎么可能……！？\n那可是倾尽全力的一击啊……！？
74,——本以为是这样。
