id,trans
filename,scene_evt151130_cp5_q2_s20
translator,Gemini
info,scene_evt151130_cp5_q2_s20
38,好嘞！\n我们也上吧！\n姬塔！
37,快点结束吧。
36,哦！\n交给我吧！
35,大家！\n准备好了吗？
34,哈哈！\n就靠你了！大叔！
33,是、是的！维恩先生！\n交给我吧！
32,大叔，\n要看好大家，别让他们出去，\n盯紧点啊！
31,哈、哈哈哈……
30,哇哈哈哈！\n来，笑一笑！
29,不用摆出那么担心的表情，\n交给我们就没问题了！
28,真、真的吗……？
27,嗯？没关系没关系！\n这座教会像我一样\n坚固，所以放心吧！
26,这、这建筑物……\n不会坏掉吧……
25,人们纷纷\n发出不安的声音。
24,由于魔物来袭\n而发生的轻微地鸣。
22,再忍耐一会儿。\n很快就能到外面玩了。
21,哼……那是当然的。\n你以为我是谁？
20,嗯，嗯，我知道了。\n一定要赢啊……
19,没错。\n小孩子躲到什么地方去。
18,那个，那个……\n你要和魔物战斗吗？
17,……嗯，有什么事吗？
16,啊，红色的大哥哥……
15,这时，一个面带不安的孩子\n怯生生地向帕西瓦尔搭话。
14,啊！我这就去！
13,兰斯洛特！\n魔物聚集到外面来了！
12,啊！……这位小姐，\n请躲在这里。
11,呀……
10,咕啊啊啊……
9,城里……
8,这场骚乱……好像是从城里\n发生的……
7,说起来……\n虽然有点难以置信……
6,那个，这位小姐……\n您知道这场骚乱的原因吗？
5,这点小伤，\n没什么大碍。
4,兰斯洛特大人，\n您受伤了……
3,从聚集在教会的人们口中\n纷纷传出安心的声音。
2,到这里的话，\n就能安心了。
1,大家……\n都辛苦了！
0,将逃难的街人们引导至教会的一行人。
0-synopsis,将逃难的人们引导至教会的一行人，试图安抚因魔物来袭而感到不安的人们。这时，魔物出现在教会前，一行人便冲出去讨伐魔物。
0-chapter_name,第五话 动乱的王都
