id,trans
filename,scene_chr186_q2_s20
translator,Gemini
info,scene_chr186_q2_s20
31,瑟兰一行\n在和睦的夫妇的目送下\n离开了这座城市。
30,就这样，瑟兰找到的\n小摆件\n为这对夫妇的争吵画上了句号——
29,说得对！\n它可是能让\n这对总是吵架的夫妻和好的宝贝啊！
28,但我相信，对二位来说\n它是非常有价值的东西。
27,话虽如此，因为材质很普通\n而且市面上有很多\n所以并不值钱……
26,这个摆件，是在许多新婚旅行者\n都会去的观光景点\n限时贩售的限定商品。
25,话说回来，这居然是\n这对夫妇的纪念品\n你是怎么看出来的？
24,你呀……
23,多亏了你，\n我又回想起了\n和妻子相遇时的感觉……
22,很高兴看到二位\n明白了这一点。
21,物品的价值\n并不仅仅取决于价格的高低。
20,哎呀……我居然\n把它们都当成垃圾\n差点连重要的回忆都扔掉了。
19,兄弟……你说得对。\n这是我们新婚旅行时为了纪念\n买下的纪念品。
18,我觉得这件东西对二位来说\n是非常重要的东西……
17,那个啊……好像……
16,这个……
15,怎么了怎么了？\n那个摆件有什么问题吗？\n……难道是发现了宝贝！？
14,这个小摆件\n我越看越觉得在意……
13,那个……\n在全部处理掉之前\n能让我说一句吗？
12,哇哇！\n他们又吵起来了！
11,唉……\n真是不到黄河心不死！
10,什么……\n这可是我长年收集的收藏品啊！\n怎么能轻易地扔掉！
9,啊～，这下终于\n家里能变得整洁了！\n谢谢啊，鉴定师先生！
8,好啦，这下你死心了吧？\n赶快处理掉吧。
7,怎么会……！\n我花了这么大功夫收集的收藏品\n居然毫无价值！？
6,但像您期望的那样\n所谓值钱的宝贝\n这里面一件也没有。
5,那个，如果碰到识货的人\n这里面还是有些画和古董\n能让人感兴趣的……
4,啊，快告诉我！\n怎么说也应该有几个\n值钱的宝贝吧？
3,那个，关于收藏品的\n鉴定结果……
2,得救了……\n多亏了你们我重要的收藏品\n也平安无事。谢啦！
1,没有，多亏了大家\n我们才能平安无事。\n谢谢。
0,两位都没受伤吧？\n抱歉，我要是能早点注意到壶里的魔物就好了……
0-synopsis,收藏品的鉴定结果惨不忍睹。面对又为了处理收藏品而争吵起来的夫妇，瑟兰从收藏品中拿出了一个小摆件。这个摆件是这对总是争吵的夫妇在新婚旅行时为了纪念而买下的纪念品，它让这对夫妇重拾了爱情。
0-chapter-name,每个人的价值
