id,name,text,trans
0-chapter_name,,寂莫の女獅子,寂寞的女狮子
0-synopsis,,イデルバ王国預かりの身となったその夜、姬塔とビィはひとり佇むレオナの姿を見つける。昼間、芝居として攫われたカインを亡くなった婚約者アベルに重ねてしまい、いつかアベルと同じように失ってしまうような気がするのだという。不安がるレオナを、姬塔は気にかける。どこかアベルと似ているその姿に、レオナは安らぎを覚えるのだった。,在被伊德尔巴王国收留的那天夜里，姬塔和碧发现了独自伫立的蕾欧娜。白天，作为演戏而被掳走的该隐让她将其与已故的未婚夫亚伯重叠了起来，她感到总有一天也会像失去亚伯一样失去该隐。姬塔很关心感到不安的蕾欧娜。在姬塔身上看到了几分亚伯的影子，蕾欧娜渐渐感到了安宁。
1,,フォリアに認められたことで\nイデルバ王国預かりの\n身となった姬塔一行。,姬塔一行人得到了芙莉亚的认可，\n暂且受到了伊德尔巴王国的收留。
2,レオナ/蕾欧娜,みなさん、お待たせしました。\nこちらのお部屋です。,各位，久等了。\n这就是给你们准备的房间。
3,ルリア/露莉亚,わぁ、素敵なお部屋です！,哇，好棒的房间！
4,レオナ/蕾欧娜,イデルバにご滞在される間、\n私が責任を持って\nみなさんをお世話しますね。,在你们逗留伊德尔巴期间，\n我会负责\n照顾大家的起居。
5,レオナ/蕾欧娜,必要なものは\nひと通りそろってると思うけど……,必需品应该\n都已经备齐了……
6,レオナ/蕾欧娜,なにか足りないものがあれば\nなんでも言ってください。,如果还缺什么的话\n请随时告诉我。
7,カタリナ/卡塔莉娜,ありがたい。\nここまで手厚く\nもてなしてもらえるとは……,太感谢了。\n没想到能受到\n如此厚待……
7-sel1_txt,,本当にありがとう,真的非常感谢
8,レオナ/蕾欧娜,い、いえいえ……！,不、不客气……！
9,レオナ/蕾欧娜,空域を越えるというのは\n本当にすごいことなんです。,能够穿越空域\n真的是非常了不起的事情。
10,レオナ/蕾欧娜,それこそ、\n七曜の騎士にも匹敵するくらい……,简直\n能与七曜骑士相匹敌……
11,レオナ/蕾欧娜,そんな大切な方達の\nおもてなしもできないようでは、\n一国家としての名折れです。,如果不能好好款待\n如此重要的人物，\n那可是有辱国家名声的。
12,レオナ/蕾欧娜,それに……昼は陛下がご迷惑を\nおかけしてしまいましたし……,而且……白天陛下还\n给你们添了麻烦……
13,ビィ/碧,いやぁ～……\nあれには驚かされたぜ。,哎呀～……\n那可真是吓了我们一跳。
14,レオナ/蕾欧娜,うぅ……本当にすみません……\nその……ああいう人なんです、\nウチの陛下は。,呜……真是对不起……\n那个……我们陛下，\n就是那样的人。
15,ルリア/露莉亚,いえ、そんな……\n気にしないでください。,没、没关系的……\n请不要在意。
16,カタリナ/卡塔莉娜,そうだな。\n王国からすれば、\n我々を怪しむのも無理のないことだ。,是啊。\n从王国的角度来看，\n怀疑我们也是无可厚非的。
17,レオナ/蕾欧娜,そ、そんな……！\nとんでもありません！,怎、怎么会……！\n绝无此事！
18,カイン/该隐,まぁまぁ、レオ姉、\nそんなにかしこまらなくても……,好了好了，蕾欧姐，\n不用这么拘谨的……
19,レオナ/蕾欧娜,カーイーンー？\n君がそれを言うのはおかしいでしょ？,该——隐——？\n这话从你嘴里说出来不觉得奇怪吗？
20,カイン/该隐,いや、姬塔達と\n打ち解けるためには\n気楽な方がいいかと思ってさ。,不是，我是想\n为了能和姬塔他们打成一片\n还是轻松一点比较好吧。
21,レオナ/蕾欧娜,はぁ……まったくもう……\nなにからなにまですみません……,唉……真是的……\n方方面面都太抱歉了……
22,レオナ/蕾欧娜,えーっと……コホン！\nそれでは、\nいろいろ説明させてもらいますね。,呃……咳咳！\n那么，\n我就来为大家说明一下吧。
24,レオナ/蕾欧娜,まず……こちらの棚は\n御召し物ですね。,首先……这边的架子上\n是换洗的衣物。
25,レオナ/蕾欧娜,確か、荷物を置いてる艇とは\nはぐれてしまったんですよね。,我没记错的话，你们和放行李的骑空艇\n失散了吧。
26,レオナ/蕾欧娜,ナル・グランデの服は\n慣れないかもしれないけど……\nよかったら使ってください。,你们可能不太习惯\n鸣海空域的衣服……\n但不嫌弃的话请用吧。
28,ルリア/露莉亚,ふわぁ……！\nきれいな服がたくさん……,哇……！\n有好多漂亮的衣服……
29,レオナ/蕾欧娜,ふふっ、試しにいくつか\n袖を通してみる？,呵呵，要不要\n试穿几件看看？
30,ルリア/露莉亚,えっ！？\n着てもいいんですか？,欸！？\n可以穿吗？
31,レオナ/蕾欧娜,もちろん。\nルリアちゃんの好きなものを選んでね。,当然。\n露莉亚选你喜欢的吧。
32,ルリア/露莉亚,はわわわ……\nいいんでしょうか、こんな……,哇哇哇……\n这样真的好吗……
33,レオナ/蕾欧娜,お食事については\nお召し上がりになりたいものがあれば\n遠慮なく言ってくださいね。,至于餐饮方面\n如果有想吃的东西\n请尽管吩咐哦。
34,カタリナ/卡塔莉娜,あ、いや……\nなにもそこまで……,啊，不……\n也不用到这种地步……
35,レオナ/蕾欧娜,あ、でも、イデルバの街には\n美味しいお店がたくさんあるんです。\nカインはよく食べ歩いてたよね？,啊，不过，伊德尔巴街上\n有很多好吃的店。\n该隐就经常到处吃吧？
36,レオナ/蕾欧娜,空域が異なれば、\n食文化も異なるはずです。\nきっと楽しめると思いますよ。,不同的空域，\n饮食文化也应该有所不同。\n我想你们一定会喜欢的。
37,ビィ/碧,お、おう……,哦，哦……
38,レオナ/蕾欧娜,お出かけの際はお声掛けください。\n街は入り組んでるところもあるので、\n私が案内しますよ。,出门的时候请跟我说一声。\n街上有些地方比较错综复杂，\n我来给你们带路。
39,レオナ/蕾欧娜,あ、お伝えし忘れてました……\nお風呂のご用意ももちろんできてます。\n王宮の薬草湯は評判が高いんですよ。,啊，忘记说了……\n洗澡水当然也准备好了。\n王宫的药草浴可是评价很高的哦。
40,レオナ/蕾欧娜,ひょっとしたらお風呂の文化も\nファータ・グランデと\n違ったりするかもしれませんね……,说不定洗澡的文化\n和法塔格兰德\n也有所不同呢……
41,レオナ/蕾欧娜,そのあたりも\n楽しんでくれたら嬉しいです。,如果你们能好好享受这些\n我会很高兴的。
42,カタリナ/卡塔莉娜,う、うむ……\nありがたいことだが……,嗯，嗯……\n虽然很感激……
43,レオナ/蕾欧娜,そうだ、\n王宮内には書庫があるんですけど、\n自由に使っていただいて構いません。,对了，\n王宫里有个书库，\n你们可以随意使用。
44,レオナ/蕾欧娜,よければいまからご案内しますけど、\nいかがですか？,如果可以的话我现在就带你们去，\n意下如何？
45,ビィ/碧,うえぇ！？,呜欸！？
46,レオナ/蕾欧娜,あとは……,还有就是……
47,,あ然とする姬塔一行に対し、\nレオナは当然のように\n話を続けようとするが──,面对哑然的姬塔一行人，\n蕾欧娜却像理所当然一样\n打算继续说下去——
48,カイン/该隐,おいおい、レオ姉……\n姬塔達を眠らせないつもりか？\nヘトヘトだろうに。,喂喂，蕾欧姐……\n你打算让姬塔他们不睡了吗？\n他们应该已经筋疲力尽了吧。
48-sel1_txt,,かなりしんどい,相当累了
48-sel2_txt,,続きは明日で,剩下的明天再说
49,ビィ/碧,むにゃ……\n今日はいろいろあったからなぁ……,呼……\n毕竟今天发生了很多事啊……
50,レオナ/蕾欧娜,……はっ！\nご、ごめんなさい、みなさん！\n私ったらつい突っ走って……,……啊！\n对、对不起，大家！\n我一不小心就说得停不下来了……
51,ビィ/碧,むにゃ……\nオイラもそれがいいと思うぜ……\n疲れちまった……,呼……\n我也觉得那样比较好……\n累死我了……
52,レオナ/蕾欧娜,そ、そうですね……！\nみなさん、お疲れですよね……\n配慮が足りず……ごめんなさい……,是、是呢……！\n大家都累了吧……\n是我照顾不周……对不起……
53,レオナ/蕾欧娜,先にすべて説明した方が\nイデルバに慣れて\nもらえるかと思って……,我本来想着提前说明一切\n能让你们更快适应\n伊德尔巴的……
54,カイン/该隐,やれやれ……\n昔、レオ姉が俺に勉強を教えに\n来てくれてたんだけど──,哎呀呀……\n以前，蕾欧姐来教我\n学习的时候——
55,カイン/该隐,俺は意地悪なナゾナゾを吹っかけて、\nレオ姉が考え込んでいる隙に\n抜け出したことがあったんだ。,我就故意出个刁钻的谜语，\n趁蕾欧姐陷入沉思的时候\n偷偷溜走了。
56,カイン/该隐,その後、夕方、部屋に戻った俺は\n怒られるのを覚悟してたんだけど……,后来，傍晚我回到房间时\n本来已经做好了挨骂的准备……
57,カイン/该隐,まだレオ姉が\n考え込んでたってこともあったな……,结果发现蕾欧姐居然\n还在沉思……
58,カイン/该隐,まぁ、レオ姉はいつもこんな調子さ。\n几帳面すぎるっつーか、\nマジメすぎるっつーか……,总之，蕾欧姐总是这个样子。\n该说她太一丝不苟呢，\n还是太认真了呢……
59,レオナ/蕾欧娜,カイン？\nふつうに聞こえてるからね？,该隐？\n我都听得一清二楚哦？
60,カイン/该隐,うっ……,呃……
61,カイン/该隐,でもレオ姉、\n今日は一段と気合いが入ってるなぁ。\nなんかあったのか？,不过蕾欧姐，\n今天你特别有干劲呢。\n发生什么事了吗？
62,レオナ/蕾欧娜,……そう？\nいつも通りだよ。,……是吗？\n和平时一样啊。
63,レオナ/蕾欧娜,姬塔さん達はいまや\n陛下が迎える国賓だし、誠心誠意、\nおもてなしするのが当然でしょ？,姬塔他们现在可是\n陛下亲自迎接的国宾，\n诚心诚意地款待是理所当然的吧？
64,カイン/该隐,そりゃそうだけど……,话是这么说没错……
65,カイン/该隐,まぁ、レオ姉は\n陛下の芝居にも一枚噛んでたし、\n後ろめたさもあるのか？,算了，蕾欧姐你也\n参与了陛下演的那出戏，\n是不是也有点内疚啊？
66,レオナ/蕾欧娜,そ、そうだけど……\nいま言わなくたっていいじゃないかぁ。,是、是这样没错……\n但你也没必要现在说出来吧。
67,カタリナ/卡塔莉娜,ふふ……\nどうやら退屈だけは\nしないで済みそうだな。,呵呵……\n看来至少\n我们是不会觉得无聊了。
68,,しかし、カタリナの言葉に\nルリアからの返事はなかった。,然而，对于卡塔莉娜的话，\n露莉亚却没有回答。
69,カタリナ/卡塔莉娜,んん？\nどうした、ルリア……,嗯？\n怎么了，露莉亚……
70,ルリア/露莉亚,…………,…………
71,ビィ/碧,お、おい……\nなにがあったんだよ、ルリア……,喂、喂……\n怎么了，露莉亚……
72,レオナ/蕾欧娜,ルリアちゃん……？,露莉亚……？
73,,悲しげにうつむくルリアは、\nゆっくりと口を開いた。,悲伤地低下头的露莉亚，\n缓缓地开了口。
74,ルリア/露莉亚,すみません……その……\n私達はこんなにきれいなお部屋まで\n貸してもらうことになって……,对不起……那个……\n我们被借予了\n这么漂亮的房间……
75,ルリア/露莉亚,うぅ……\nこんなにいい人達に\n巡り合えましたけど……,呜呜……\n虽然我们遇到了\n这么好的人……
76,ルリア/露莉亚,心配です……\nイオちゃん達は今ごろ、\n無事でいるでしょうか……,但我很担心……\n伊欧他们现在，\n是否还平安无事……
77,カタリナ/卡塔莉娜,ルリア……,露莉亚……
83,,自分達は幸運にも\nカインやレオナに\n出会うことができた──,自己一行人很幸运地\n遇到了该隐和\n蕾欧娜——
84,,しかし、はぐれた仲間が同じように\n安全に過ごせているとは限らない。,但是，失散的伙伴们\n却未必也能同样安全地度过。
90,,落ち着く場所に辿り着けたことで、\n却って仲間への不安がルリアの中で\n増してしまっていた。,到达了安定的地方，\n反而让露莉亚心中\n对伙伴的担忧更甚了。
92,カイン/该隐,大丈夫。\n姬塔達の仲間を探すのは\n俺達も力を貸すよ。,没关系。\n寻找姬塔同伴的事，\n我们也会帮忙的。
93,カイン/该隐,なあ、レオ姉？,对吧，蕾欧姐？
94,レオナ/蕾欧娜,え？\nあぁ……うん……\nもちろんだよ。,欸？\n啊……嗯……\n当然了。
95,カイン/该隐,それに、皆で空域を越えてきたんだろ？ \nそれってものすげえヤツが\nそろってるってことじゃねえか。,而且，大家是一起跨越空域过来的吧？\n这就说明他们都是一群\n非常厉害的家伙啊。
96,ビィ/碧,へへっ、確かに考えてみりゃ、\nたくましいヤツばっかりだぜ！,嘿嘿，仔细想想确实，\n全都是群强悍的家伙呢！
97,カタリナ/卡塔莉娜,そうだな、私もそう思う。\nきっと無事でいるはずだ。\nだから心配することはないさ。,是啊，我也这么认为。\n他们肯定平安无事。\n所以不用担心的。
98,ルリア/露莉亚,はい……,嗯……
99,レオナ/蕾欧娜,…………,…………
105,,深夜、目が冴えてしまい、\n暇を持て余した姬塔とビィは、\n王宮の敷地を歩くことにした。,深夜，毫无睡意且\n闲得发慌的姬塔和碧，\n决定在王宫的庭院里散步。
106,ビィ/碧,お？\nあそこにいるのは……,哦？\n在那边的是……
107,レオナ/蕾欧娜,…………,…………
107-sel1_txt,,なにをしてるの？,在干什么呢？
109,レオナ/蕾欧娜,ひゃぁっ！\n……姬塔さん？　ビィ君？,呀！\n……姬塔？碧？
110,レオナ/蕾欧娜,ど、どうしたんですか……？\nこんな夜更けに……,怎、怎么了……？\n这么晚了……
110-sel1_txt,,うまく寝つけなくて,睡不着
111,レオナ/蕾欧娜,ここは姬塔さん達からすれば\n慣れない空ですからね……\n落ち着けないのもわかります。,对姬塔你们来说\n这里是陌生的天空嘛……\n睡不安稳也是可以理解的。
112,ビィ/碧,いやぁ～……\nあんなに疲れてたはずなのに\n不思議なもんだなぁ。,哎呀～……\n明明应该很累了，\n还真是奇怪啊。
113,ビィ/碧,なぁなぁ、\nところでレオナの姐さんこそ、\nこんな時間に一体なにしてんだぁ？,喂喂，\n话说回来蕾欧娜大姐，\n你这么晚了到底在干嘛呢？
114,レオナ/蕾欧娜,……私は、その……,……我，那个……
115,レオナ/蕾欧娜,あの、ルリアちゃんは……\nもう寝ましたか……？,那个，露莉亚……\n已经睡了吗……？
116,ビィ/碧,んん？\nとっくに寝たと思うぜ。,嗯？\n我想早就睡着了吧。
117,レオナ/蕾欧娜,そっか……よかった……\nさっきは元気がなかったみたいだから、\n気になってたんだ……,这样啊……太好了……\n因为刚才她看起来没什么精神，\n我一直很在意……
117-sel1_txt,,元気がないのはレオナでは？,没精神的是蕾欧娜吧？
117-sel2_txt,,なにかあった？,发生什么事了吗？
118,レオナ/蕾欧娜,……へっ？\nいえ、その……えっと……,……欸？\n不，那个……呃……
119,レオナ/蕾欧娜,……お恥ずかしいです。\n昔から顔に出やすいと\n言われるんです……,……真是不好意思。\n以前就常被说\n什么都写在脸上……
120,レオナ/蕾欧娜,あ、いえ……\n重大な事件とかではないんです……,啊，不……\n倒也不是什么大事件……
121,レオナ/蕾欧娜,これは……軍人としてではなく、\nあくまで私個人の話でして……,这个……不是作为军人，\n纯粹是我个人的私事……
122,レオナ/蕾欧娜,実は……その……,其实……那个……
