id,trans
filename,scene_ult_chr453_ep2_q4_s10
translator,Gemini
info,scene_ult_chr453_ep2_q4_s10
96,仿佛在回应布罗蒂娅那坚定的决心，\n一阵风\n拂过了她的头发。
89,贝恩……\n让我们一起，这次一定要\n成为真正的守护者。
88,……啊。\n当然，你也要一起。
87,布罗蒂娅用力地向乌列尔点了点头，\n把手放在胸前，\n抬头仰望天空。
86,是！我很期待！
85,好！\n多吃点我的炖菜，\n变得更大更强吧！
84,哈哈哈！\n你长大了不少嘛！
83,乌、乌列尔大人！？
82,看着表情认真的布罗蒂娅，\n乌列尔满意地笑了笑，\n粗鲁地揉了揉她的脑袋。
81,无论是这片天空下的人们，还是神域。为了守护一切，\n成为真正的守护者。为此，\n我会继续精进自己。
80,作为乌列尔大人的使徒，\n以及，作为守护者……
79,我的力量，是为了守护\n需要守护之物而存在的盾。\n以及，为此而挥舞的长矛。
78,我应该做的，\n不是讨伐敌人，\n而是守护。
77,这次的事件，\n让我学到了很多。
76,嗯？
75,……乌列尔大人。
74,看着眼前的景象，众人\n露出了欣慰的笑容。
73,或许是被荒芜的土地上萌发的\n新绿所鼓舞，\n村民们也恢复了活力。
72,岛上蔓延的疫病，\n也会随着污秽的消除\n逐渐平息吧。
71,虽然所有植物恢复还需要\n一点时间，\n但已经不用担心了。
70,乌列尔说着，回头望去，\n只见原本干涸的土地上\n已经冒出了点点新绿。
69,正如你所见。多亏了从神域流出的\n闪闪发光的土元素，\n今年应该会是大丰收。
68,乌列尔大人！\n给您添麻烦了。\n村子的情况是……
67,你回来啦，布罗蒂娅！\n看来你成功解决了问题。
58,仿佛在肯定这番话一般，\n姬塔手中的\n刃镜发出了淡淡的光芒。
57,感激不尽。\n通过这面刃镜，贝恩也\n会守护你的。
55-sel1_txt,我会好好珍惜的
55,听完这番话，姬塔看了看手中的刃镜碎片\n又看了看布罗蒂娅的脸，\n郑重地点了点头。
54,这个，我希望我的战友\n你能替我保管。\n贝恩也一定会很高兴的。
53,虽然已经破碎，贝恩的意识也\n已经不在了……\n但守护的力量依然存在。
52,是的。但和之前交给你的不同。\n这是作为贝恩素体核心的，\n另一个核心。
50-sel1_txt,这是……刃镜？
50,……姬塔。\n这个，能请你替我保管吗？
49,就这样，所有的光芒都消散殆尽。\n布罗蒂娅手中只剩下破碎的\n刃镜碎片。
48,……欢迎回来，贝恩。\n祝你，睡个好觉。
47,……我没事。\n贝恩，确实就在我的心中。\n所以，我不会再悲伤了。
46,布罗蒂娅小姐……
45,说完最后一句话，\n那仅存的些许形体也\n消散殆尽。
36,……嗯！\n所以……\n再见了，布罗蒂娅！
35,啊……\n你说得对……\n今后我们也会一直在一起。
34,今后\n我会一直，一直都陪在你身边。\n即使看不见我，我也会在你身边。
33,而且，我本来就是由布罗蒂娅你的\n刃镜中诞生的。\n我只是回归原本的地方而已。
32,虽然我是神域的守护龙，\n但我更是守护布罗蒂娅你的盾牌。\n能保护布罗蒂娅你真是太好了。
31,布罗蒂娅，布罗蒂娅。\n别哭了。\n我不后悔。
30,仿佛要依偎在强忍悲伤、\n低声啜泣的布罗蒂娅身边一般，\n构成贝恩形体的的光芒将她包裹。
29,把你变成这样的，\n全都是我的错……！\n真的，真的对不起，贝恩……！
28,如果我当时没有拒绝援军……\n如果我当时能听你的话，\n你就不会消失了！
27,不对……不是这样的，贝恩。\n应该道歉的是我。
26,因为我只是一味地逃避，\n给布罗蒂娅你\n添了很多麻烦吧。
25,……对不起。\n如果我当初能好好地\n彻底消失就好了。
24,…………
23,但我相信布罗蒂娅你，\n总有一天会来将我破坏，\n所以我一直在等。
22,不，我没有那样的想法。\n虽然确实很痛，\n也很痛苦……
21,抱歉我来晚了……\n你一直都很痛苦吧。\n都怪我无能……
20,贝恩……
19,……咦？\n是布罗蒂娅……\n好久不见了，对吧？
18,从崩坏的身体中\n散落的粒子再次聚集，\n形成了一个身影。
9,刺耳的临终惨叫声中，\n巨大的身躯逐渐崩塌。
1,————！！
0-synopsis,最终击败了贝恩的布罗蒂娅。贝恩在与布罗蒂娅最后交谈过后，回到了布罗蒂娅的刃镜之中。就这样，扰乱岛上元素的罪魁祸首消失了，岛上的土地恢复了生机。布罗蒂娅回想起这次的事件，再次立誓要为了成为守护一切的真正守护者而继续精进。
0-chapter-name,守护者的誓言
