id,trans
filename,scene_chr869_q5_s30
translator,Gemini
info,scene_chr869_q5_s30
83,多年来未曾履行的\n职责，如今，\n即将完成。
82,当她体内的星晶闪耀之时，\n风停了，周围的声音也消失了。
81,琪琪莉莉集中精神。\n她试图将自己所有的星晶之力，\n都用于供奉。
80,交给我吧。\n我这就去办。
79,好，那就赶紧\n完成你的职责吧！\n最后你要把那个供奉起来，对吧？
78,原来如此。\n朱雀也很不容易啊。
77,真想帮帮它……
76,是的……我虽然不太确定，\n但也隐约有这种感觉。
75,所以，它不得不暴走。\n每次都被四圣平息力量……\n一次又一次地……重复着。
74,就像四圣的职责是镇压四象一样，四象的职责也一定是\n肆虐暴走。
73,琪琪莉莉低声说完，\n便想起了在触碰玲珑佩时\n一瞬间显现出的景象。
72,它没有被允许拥有那样的意志。
71,嗯……真是复杂啊。\n如果朱雀也希望被打倒的话，\n乖乖听话不就好了吗。
70,朱雀交给姬塔小姐的玲珑佩\n或许是为了让我能够履行职责，\n而给我的一个契机。
69,这就是真正的玲珑佩……
68,然后，它就这样与琪琪莉莉手中的\n玲珑佩融合，\n变成了神圣庄严的模样。
56,哇！？
55,就在露莉亚看得入神的时候，\n姬塔怀中存放的\n玲珑佩自行飞了出来。
52,是玲珑佩吗？\n比我们拥有的那个……\n漂亮多了……
51,琪琪莉莉低声说完，\n便从朱雀消散的地方\n捡起了一样东西。
50,但我错了。\n我应该阻止它的力量暴走，\n拯救它才对。
49,我一直以为，为了不让它引发灾害，\n我必须履行我的职责……
48,多亏了姬塔小姐你们！\n关于朱雀的事……我一直以来\n都搞错了……
47,嗯……终于！
46,干得漂亮！\n竟然打倒了那种危险状态的朱雀，\n真是太强了！
43,在身体崩坏，\n头颅坠落的过程中，\n朱雀骄傲地凝视着琪琪莉莉。
35,晚安，朱雀。
31,琪琪莉莉温柔地说完，\n便将朱雀的头颅斩断。
25,我会一次又一次地，\n来帮助你的。
24,再见了，朱雀。\n我们一定会再见的。
23,…………！
22,然后，在接近到触手可及的距离时，\n她用斧背轻轻地点了朱雀的穴位。
21,琪琪莉莉一边挥舞着武器扫荡着狂暴的朱雀的业火，\n一边缩短着彼此的距离。
9,…………！！
8,她的手在颤抖。\n但是，她的眼中没有一丝迷茫。
7,琪琪莉莉挥舞武器，将企图焚尽一切的\n朱雀的火焰，\n彻底消灭。
0-synopsis,琪琪莉莉打倒了朱雀，平息了它的暴走。在朱雀消失的地方掉落着玲珑佩，它与姬塔所持有的玲珑佩融合，变成了神圣庄严的模样。就这样，琪琪莉莉获得了真正的玲珑佩，准备在最后履行职责，将玲珑佩供奉起来。
0-chapter_name,一直哭泣的胆小鬼
