id,trans
filename,scene_evt210927_cp4_q1_s10
translator,Gemini
info,scene_evt210927_cp4_q1_s10
129,（但现在，就由我来……！）
128,（虽然还比不上\n我看到兰酱、齐格弗里德先生\n和老爹的背影时感受到的东西……）
127,哈哈哈！\n说的也是！\n谢谢大家。
126,就是说啊！\n我们好不容易才一起来的！
125,我知道了。\n但是，至少在我们面前\n就别硬撑着了。
124,既然姬塔小姐这么说……\n我也会保密的。
123,迎着维恩坦率的目光\n姬塔静静地点了点头。
122,我不是在逞强。\n因为这是我的职责。
121,你的心情，\n我也不是不能理解……
120,关于我受伤的事，请\n不要告诉其他人。
119,既然给你添麻烦了\n那就再拜托你一件事……
118,……嗯！\n完美！\n谢谢，露莉亚，姬塔小姐。
117,这样……可以了吗？
114,没事没事！\n帮大忙了。\n谢谢！
113,啊，对不起……！
112,啊、疼……
110,哎呀，\n没有看起来那么……
109,露莉亚和姬塔\n合力为维恩的伤口\n进行治疗。
108,看起来好痛……
107,哇！\n还挺严重的嘛！
106,维恩苦笑了一下，脱下铠甲，\n露出了手臂上深深的伤口。
105,那就拜托你了。
104,请让我来为您治疗吧。
103,唉……\n对姬塔小姐\n真是没办法啊。
102,我没跟其他人说\n所以你就别担心了。\n受伤了吧？
100,姬塔小姐说，\n维恩先生您受伤了。
98-sel2_txt,我没事
98-sel1_txt,别隐瞒了
98,……嗯？\n怎么了？
97,喂，你没事吧？
95,啊……怎么了？
94,维恩先生，您还好吗？
92,真是失策啊……
91,疼……！
83,嗯，说的也是。\n走吧。
82,得看着点，别让他们俩\n又吵起来了。
81,……总之，我们也\n回帐篷吧。
80,说的也是。\n但是，总觉得莫德雷德\n看起来更没有余力……
79,我觉得莫德雷德是\n在担心亚瑟。
78,虽然亚瑟和莫德雷德\n经常吵架，\n但那样……
77,是啊。
76,……吓、吓了一跳呢。
75,目送着两人的背影，\n托涅利罗和库鲁斯\n面面相觑。
74,亚瑟和莫德雷德\n被维恩拍了拍肩膀\n便一言不发地走开了。
73,别熬夜。
72,……明白了。
71,是……
70,反省就回各自的帐篷里去反省。\n我说的是反省，不是吵架？
69,看着垂头丧气的两人，\n维恩板着脸\n把手放在腰间。
68,莫德雷德，亚瑟
67,虽然有一些人受了轻伤，\n但之后，一行人还是顺利地\n回到了营地。
53,是。
52,明白了吗？
51,总之现在，先确认\n所有人是否安全。\n然后返回营地。
50,……抱歉。
49,这种争吵，\n真的适合在这里进行吗？
48,住口！
47,那你是什么意思啊！？\n就因为你这样……！
45,对、对不起……我、我也……\n不是故意的……
44,跟你说过多少次了！？在非做不可\n的情况下犹豫不决会没命的！\n为什么你总是……！
43,听到莫德雷德的怒吼，\n亚瑟胡乱地擦拭着眼角的泪水。
42,呜……
41,现在不是哭的时候吧！
40,亚瑟！\n你这混蛋！！
38,是、是的……对不起……
37,亚瑟，你没事吧？
36,您没有受伤吧！？
35,<span class='scene-font-4'>喂！</span>\n你没事吧！？
33,……呼，哈啊。
32,被维恩的全力一击击中\n魔物终于伴随着临终的咆哮\n倒下，不再动弹。
30,咕喔喔喔喔喔——！
28,喔喔喔！
27,滑铲而来的维恩\n将亚瑟从魔物的利爪下救出。
26,唔……！
24,亚瑟！！
22,啊！？
21,嘎啊——！！
19,听到莫德雷德的话\n亚瑟不由得转过身。\n就在他的身后——
18,诶，可是……
17," <span class='scene-font-4'>亚瑟！</span>\n你在发什么呆！\n补刀！！"
16,咕喔……！
15,看着从口中不断冒出血泡\n的魔物，\n亚瑟呆然地愣在原地。
14,啊、啊……对不起，我……
13,被亚瑟的剑深深地斩断了喉咙\n的魔物倒在地上痛苦地呻吟着。
12,嘎、咕……喔……
11,是亚瑟干掉的吗！？
9,咕嘎——！？
7,可恶……！
6,——！
5,亚瑟！！
4,右边！\n小心！
3,呜哇！\n还要继续乱来吗！？
2,嘎啊啊啊啊啊！！
0-synopsis,在夜间训练中出现的魔物战斗中，亚瑟因看到自己斩杀的魔物临死的痛苦而愣住，停下了动作，差点遭到反击。千钧一发之际，维恩将魔物打倒，但莫德雷德却对亚瑟前所未有地大声斥责。从夜间训练回来后，姬塔一行人拜访了维恩的帐篷。维恩在保护亚瑟时受了伤，姬塔便为他治疗。
0-chapter_name,第四话 有所改变的夜晚
