id,trans
filename,scene_chr977_q1_s10
translator,GPT-5.6 Sol
info,scene_chr977_q1_s10
97,在黑心放贷人的事务所中，\n等待着桑琪拉的是一段奇妙的「因缘」。
96,「午年」……说得也是。\n虽然令人不快，但也没办法。\n就由我亲自应付吧。
95,不过，这话不太好说……\n今年毕竟是「午年」，\n是不是该做好万全准备……
94,蜥蜴？那可真稀奇。\n总之随便说几句糊弄过去吧。\n要是看着像肥羊，就拉他们入伙。
93,老大，有情况。\n带着红色蜥蜴的小鬼骑空团\n闯到咱们这里来了。
87,随后，姬塔一行前往了\n男人所说的黑心放贷人事务所。
86,那件事还请忘了吧……
85,是啊！不过你递出手绢的时候，\n我还是忍不住笑了！
84,而且，桑琪拉鼓励那个人时，\n真的非常帅气哦！
83,没关系！\n我们也不能对有困难的人坐视不理！
82,一听到别人的恋爱故事，\n我就忍不住激动起来……\n实在羞愧难当……
81,姬塔大人，非常抱歉。\n我竟然擅自作主……
75,白子指了指桑琪拉口袋里的信。\n桑琪拉涨红了脸，将信递给青年。
74,真是的，桑琪拉真粗心。\n信应该是这封吧。
73,失、失礼了。\n这是我的手绢……
72,桑琪拉低头看向自己的手，\n才发现紧握在手中的是一块布。
71,诶？
70,不……我不是这个意思。\n这不是我的信。
69,我明白您会感到不安。\n但能否请您相信我呢？
68,大人，可是……
67,这封信还给您。\n写在这里的话，\n应该由您亲口告诉她。
66,但只要身为岁神，\n帮助像您这样的人\n就是我的责任。还有──
65,您言重了！\n我也只是前些天\n才刚被任命为午神的新人。
64,……原来是肩负神职的大人！？\n失、失礼了！\n我并不知情……
63,岁神……
62,身为岁神，\n我不能对眼前发生的不幸\n视而不见。
61,那是两回事！
60,喂、喂……\n你自己明明睡了108年……
59,竟然要让相爱的男女\n分隔两年之久，\n这是绝不能容许的！
58,诶！？不，可是，\n怎么能麻烦您到这种地步……
57,……债务的事情，\n能否交给我来处理？
56,所以请各位务必替我送信。\n只要能把信送到，\n她就不用再担心了……
55,两年！？
54,……是我自己没仔细看契约，\n就签下了名字。\n再工作两年，债务就能还清。
53,无论如何，竟然拆散\n如此恩爱的男女，\n实在是罪大恶极。
52,失、失礼了……\n我竟然发出这么不端庄的声音……
51,诶诶！？
50,不可原谅！！
49,…………
48,原来是这样……
47,因此，我只能像这样\n偶尔托路过的骑空士\n替我送信报平安。
46,是的。他们怕我逃跑。\n只要想进城寄信，\n就会被监视的人痛打一顿。
45,所以你才会托骑空士送信？
44,债务因高得离谱的利息越滚越多，\n他们甚至拿恋人的人身安全威胁我，\n逼我留在这座岛上工作……
38,对方提出的条件十分可疑，\n我却不假思索地答应了……\n等到后悔时，已经为时太晚。
37,然而资金始终攒不起来。\n就在我对未来越来越不安时，\n有人出现，说愿意资助我们。
34,（两人携手奔向梦想，\n实在太梦幻了……！）
33,我和她的梦想是开一家面包店。\n为此，两个人一直努力地\n攒着资金。
27,烦恼……是啊。\n我或许确实很困扰。\n但这都是我自作自受──
26,苦衷……吗？如果你正为此烦恼，\n愿意说给我们听听吗？\n或许我们能帮上忙。
25,（迫不得已的苦衷！？\n越来越让人在意了！\n可是，不行，但是……）
24,不……这个嘛，\n是有迫不得已的苦衷……
23,帮你送信倒是没问题，\n可也没必要特意拜托骑空士吧？
22,（真想马上问清楚详细经过……\n但不行，这样太不知羞了）
21,（写给恋人的信……！\n鸿雁传情真是太美好了～）
20,…………！？
19,请把这封信\n送给住在西边那座岛上的恋人。
18,抱歉突然叫住各位。\n那个，我有一件事想拜托你们……
17,嗯，是啊……\n小哥，你有什么事吗？
16,那个～不好意思。\n请问各位是骑空士吗……？
13,姬塔一行和睦地交谈着，\n继续向前赶路。\n就在这时。
12,为了不辜负姬塔大人的期待，\n我会勤勉精进……
10,不……我还差得远。\n仍需继续修炼。
8-sel2_txt,我们很依靠你
8-sel1_txt,真的帮了大忙
8,桑琪拉还是这么谦虚啊。\n你可以更自信一点哦？
7,既没有碧卡拉姐姐那样的魅力，\n也不会安琪拉小姐的术法，\n更不懂芙安小姐与帕小姐的风水……
6,不……\n我无法像茵妲拉姐姐那样长时间工作。
5,才、才没有那回事吧……？
4,与各位的出色表现相比，\n我的力量不过微不足道……
3,桑琪拉，\n你今天也大显身手了呢！
2,一行人完成讨伐魔物的委托，\n踏上了归途。
1,十二神将中的午神桑琪拉\n加入姬塔一行的旅途后，\n过了一段时日。
0-synopsis,某日，一名青年委托姬塔一行替他送信。据他所说，自己遭到黑心放贷人欺骗，为偿还债务而被迫留在岛上劳动。这封信是为了向恋人报平安。听闻有人用恶行拆散相爱的两人，桑琪拉决定帮助青年，闯入黑心放贷人的事务所。
0-chapter_name,妨碍他人恋情者
