id,trans
filename,scene_fate_chr203_ep1
translator,Gemini
info,scene_fate_chr203_ep1
49,果然，还是无法顺利沟通的\n天道辉——
48,唉……\n好不容易有点明白了，\n结果又搞不懂了。
47,扮演团长的你，真是太厉害了。\n我已经完全把你当成团长了。\n不，真的，你的演技太棒了！
46,原来如此，真是起鸡皮疙瘩……\n这就是完全沉浸在角色中\n的感觉吗！？
45,……等等！\n我不小心入戏太深了！？
44,为了团长你们，\n我也要更加努力才行啊！
43,真是不可思议。\n被你们这么说\n我就充满了干劲。
42,嘿嘿，果然偶像就是\n要靠粉丝的支持才行啊……
41,看到这一幕，辉害羞地笑了。
40,姬塔静静地点了点头。
39,是这样吗，团长？
38,那个……\n辉先生会成为比自己更加伟大的\n英雄……
37,唔～……\n姬塔小姐想表达的是……
36,诶，哪里不一样？
35,不是的，辉先生。
34,为，为什么啊。\n我可是，一直在很努力地——
33,嗯，辉先生一定可以的。\n我也会支持你的！
32,啊，加油吧。\n我会为你加油的！
31,嘿嘿，谢谢你。\n我不会辜负你的期望的。
30-sel2_txt,不，你做不到的
30-sel1_txt,嗯，你一定可以的
30,呐，团长。\n你觉得我能做到吗？
29,我要像团长和格兰赛法那样，\n成为带领DRAMATIC STARS的同伴们\n登上大舞台的英雄！
28,不过嘛，我还差得远呢……\n现在还只是个不怎么可靠的队长，\n但我总有一天会成为那样的男人的。
27,（……这么说来，的确……\n难怪我会沉迷于\n碧蓝幻想这款游戏……）
26,是啊？就是这样！
25,嘿嘿嘿……\n姬塔也无法对需要帮助的人\n视而不见呢。
24,诶，真的吗。
23,（……这么说来，的确……\n难怪我会沉迷于\n碧蓝幻想这款游戏……）
22,嘿嘿嘿……\n明明长相完全不一样～
21,呵呵……\n一模一样哦～
20-sel2_txt,嗯，我也有这种感觉
20-sel1_txt,诶，有那么像吗？
20,碧先生，没错。\n他跟姬塔小姐很像！
19,原来如此！\n我也好像明白了。
18,我想成为那样正直而\n热情的男人啊！
17,强大，关心同伴，\n无法对需要帮助的人视而不见。
16,哦，你能理解真是太好了！\n我一直憧憬着成为英雄！
15,但是……\n让大家充满活力的人……\n总觉得我好像明白那是怎么回事。
14,唔～……\n又开始说些\n我听不懂的话了……
13,我们DRAMATIC STARS要\n多多推广，\n让大家更加充满活力才行啊！
12,原来如此！\n日本的流行文化\n在世界上还不够普及啊。
11,不～……\n虽然不知道什么是英雄……
10,啊，对了！\n你们不懂英雄的意思吧？\n特摄？战队？
9,喂喂，现在应该笑一笑吧？
8,…………？
7,我是天道辉，28岁。\n以成为心灵的hi~ro~英雄为目标的\n前律师偶像！请多关照！
6,啊，对了。\n我还没做自我介绍呢。
5,你……\n真是个怪人啊。
4,呃，那个……\n这里不叫休息室……\n总觉得他是个不可思议的人呢……
3,这也太用心了吧……\n连休息用的休息室都做得这么逼真，\n看来是对角色塑造很下功夫呢！
2,喔喔，这里就是休息室吗！？
1,天道辉还误以为自己在拍摄广告，\n与姬塔率领的骑空团成员们\n进行着怎么也无法顺利的对话。
0,DRAMATIC STARS的成员们\n来到这片无垠的天空世界\n不久后——
0-synopsis,辉向姬塔一行做了自我介绍。期间，他解释了自己多么憧憬英雄，但因为他误以为自己仍在拍摄中，所以他的话语只让姬塔等人感到困惑。尽管如此，露莉亚和碧看到辉如此真挚地说明，便说他和姬塔很像。辉听后很高兴，并发誓总有一天要带领DRAMATIC STARS的大家登上大舞台。
0-chapter_name,热血英雄赞歌
