id,name,text,trans
0-chapter_name,,氷雪の呼び声,冰雪的呼唤
0-synopsis,,テュロス島で雪像と化した人々を目撃する一行。さらに城下町へ足を踏み入れると、星晶獣ゼウスが姿を現す。ゼウスはエウロペが自身のコアの一部を元にして造られた星晶獣であると語り、大罪を犯したというエウロペに罰を与えようとする。ゼウスの語るような記憶が一切なく戸惑うエウロペだったが、そこに突如吹雪が吹き付け、一行の前からエウロペは忽然と姿を消してしまうのだった。,一行人在提洛斯岛目睹了变成雪像的人们。进一步踏入城下町时，星晶兽宙斯现身。宙斯说欧罗巴是以自己核心的一部分为基础制造出的星晶兽，并试图惩罚犯下大罪的欧罗巴。欧罗巴完全没有宙斯所说的记忆而感到困惑，但突然暴风雪吹来，欧罗巴从一行人面前突然消失了。
1,,テュロス島へやって来た一行を\n待っていたのは、視界を遮る吹雪と\n骨身まで凍えるほどの極寒だった。,来到提洛斯岛的一行人\n等待他们的是遮蔽视野的暴风雪\n和彻骨严寒。
2,ビィ/碧,うぅぅ～……\nさ、寒い……,呜呜呜～……\n好、好冷……
3,ルリア/露莉亚,結構歩いて来ましたけど、\n大きな町のようなものは\n見当たりませんね……,虽然走了不少路，\n但没看到像大城镇的地方……
4,ルリア/露莉亚,エウロペさん、\nなにか感じるものとか\nありますか？,欧罗巴小姐，\n有没有感觉到什么？
5,エウロペ/欧罗巴,いえ……\n夢の中で見たのは、\nいつも同じ建物の中でしたから……,没有……\n因为在梦里看到的，\n总是在同一个建筑物里……
6,ビィ/碧,そっか……建物の中ってことは、\nこの島にあったっていう\n国の中心地になにかあるのかもな。,这样啊……既然是建筑物里面，\n也许这个岛上所谓的\n国家中心有什么东西。
7,ビィ/碧,とりあえず、もうちょっと\n進んでみようぜ。,总之，再往前走一点看看吧。
8,,ビィの言葉に頷き、\n一行は吹雪の中雪原を\nひたすら進んでいく。,点头同意碧的话，\n一行人顶着暴风雪\n在雪原上一直前进。
9,ルリア/露莉亚,……あれ？\nあそこに人影が……,……咦？\n那里有人影……
10,ビィ/碧,もしかして、\nお宝目当てで来た奴か？\nちょっと声掛けてみようぜ！,难道是\n冲着宝藏来的家伙？\n去打个招呼吧！
11,,しばらく進んだ先で荷台を引く\n人影を見つけたビィとルリアは、\n話しかけるべく駆け寄ったが……,在前进一段后，碧和露莉亚发现了一个拉着货架的人影，\n于是跑过去想搭话，但……
12,ビィ/碧,……ん？\nなんだ、雪像か。,……嗯？\n什么嘛，是雪像啊。
13,,そこにあったのは、\n雪に埋もれた荷台の\n周囲に佇む数体の雪像だった。,那里是\n几座雪像伫立在\n被雪掩埋的货架周围。
14,ガブリエル/加百列,これは……！,这是……！
15,ビィ/碧,ガブリエル？\nどうしたんだ？,加百列？\n怎么了？
16,,ガブリエルが雪像に近づき、\n流水の力で雪を解かすと──,加百列靠近雪像，\n用流水之力融化雪后——
17,ルリア/露莉亚,ひっ……！？\nこれって、人間の肌……？,呀……！？\n这是，人的皮肤……？
18,ガブリエル/加百列,……この雪像は誰かに作られた\n作品じゃない。人間が凍りついて\n像になっているのよ。,……这些雪像不是谁制作的\n作品。是人类冻结后\n变成了雕像。
19,ビィ/碧,なっ……！？\nじゃあ、もしかして\nここにある雪像全部……？,什么……！？\n那么，难道\n这里的雪像全部……？
20,ガブリエル/加百列,……ええ。\nおそらく、荷運びの最中に、\n何かが起きて一瞬で……,……是的。\n恐怕是在搬运货物途中，\n发生了什么，一瞬间……
21,,ガブリエルから予想外の真実を聞き、\nビィとルリアは顔を青ざめさせながら\n身を寄せ合う。,听到加百列始料未及的真话，\n碧和露莉亚脸色苍白，\n互相依偎。
22,エウロペ/欧罗巴,…………,…………
22-sel1_txt,,大丈夫？,你没事吧？
24,エウロペ/欧罗巴,え？　ええ。\n私は大丈夫です。,诶？嗯。\n我没事。
25,エウロペ/欧罗巴,でも、少し肌寒くて……\n姬塔様の体温を分けては\nくださいませんか？,但是，有点冷……\n能分给我一些姬塔大人的体温吗？
26,,ぎゅうと腕にしがみついて来る\nエウロペに戸惑いを隠せない\n姬塔。,对于紧紧抱住自己胳膊的\n欧罗巴，姬塔难掩困惑。
27,エウロペ/欧罗巴,お願いいたします……\n私にとってここは……\nとても寒くて……,拜托了……\n对我来说这里……\n非常寒冷……
28,,微かに覗くエウロペの顔に恐怖と\n不安の色が浮かんでいることに気づき、\n姬塔は静かに身を寄せた。,注意到欧罗巴脸上隐约浮现的恐惧和\n不安之色，\n姬塔静静地靠近了她。
29,ガブリエル/加百列,荷車を運んでいたなら、\nここは街道だったのかもしれないわ。\nだとしたら、雪像を辿っていけば……,如果是在运货，\n这里可能是街道。\n那么，沿着雪像走的话……
30,ルリア/露莉亚,この先に、\n町があるかもしれません！\n行ってみましょう！,前面可能\n有城镇！\n我们去看看吧！
36,ビィ/碧,これ……城下町だよな？\n何百年も経ってるはずなのに、\nつい最近まで人がいたみたいだ。,这是……城下町吧？\n明明应该过了几百年，\n却好像最近还有人住。
37,,やがて辿り着いたのは、\n静寂に包まれた立派な城下町。,终于到达的，是\n被寂静包围的宏伟城下町。
38,,深い雪と氷に包まれながらも、\nかつての光景を想像させるに\n容易いほどの形を保っていた。,虽然被深雪和冰覆盖，\n但依然保持着足以轻松想象\n昔日景象的形状。
39,ガブリエル/加百列,エウロペ、どうかしら？\nこの景色に見覚えはある？,欧罗巴，怎么样？\n对这个景色有印象吗？
40,エウロペ/欧罗巴,夢で見た景色とは違いますが、\n懐かしい気持ちがあります……,虽然和梦里看到的景色不同，\n但有种怀念的感觉……
41,エウロペ/欧罗巴,この町のにぎわいや、人々を、\nまるでこの目で見たような……,这个城镇的热闹和人们，\n仿佛亲眼所见……
42,,そう呟きながら視線を巡らせた\nエウロペは、遠くに見える建物に\n目を止める。,一边低声说着一边环视四周的\n欧罗巴，视线停在了远处可见的建筑物上。
43,,高くそびえる城の麓に、\n周囲よりもいっそう雪と氷に覆われた\nひとつの建物があった。,在高耸的城堡脚下，\n有一座比周围更多冰雪覆盖的\n建筑物。
44,エウロペ/欧罗巴,あれは……\nあの場所を、私は知っている……？,那是……\n那个地方，我知道……？
47,,ふらりと足を踏み出した\nエウロペを、姬塔は\n咄嗟に腕を掴み引き留めた。,对于踉跄着迈出脚步的\n欧罗巴，姬塔\n迅速抓住她的手臂拦住了她。
48,,その瞬間──,那一瞬间——
55,ルリア/露莉亚,<span class='scene-font-4'>ひゃっ！？</span>\nか、雷……！？,<span class='scene-font-4'>呀！？</span>\n雷、雷……！？
60,ガブリエル/加百列,この気配……！\n皆、下がって！,这个气息……！\n大家，后退！
63,威厳のある男,…………,…………
64,威厳のある男,……エウロペよ。\n何故、お前がここにいる。,……欧罗巴啊。\n为什么你会在这里。
65,エウロペ/欧罗巴,私ですか……？,我……？
66,威厳のある男,お前は、あの島で永劫に罪を償う\n責を負っていたはず。\nなのに何故、ここにいる。,你本应在那座岛上承担永劫赎罪的责任。\n可为何会在这里。
67,,突如として現れた人物は、\n静かな怒りを湛えた声色で\nエウロペに語りかけた。,突然出现的人物，\n用带着平静怒意的声音\n对欧罗巴说道。
68,エウロペ/欧罗巴,罪を償う……？\n一体、なんのことでしょう？,赎罪……？\n到底是怎么回事？
69,威厳のある男,お前は誓いを破り、島の外へ出た。\nその代償は受けてもらうぞ……！,你违背了誓言，离开了岛屿。\n你要为此付出代价……！
70,エウロペ/欧罗巴,誓い……？,誓言……？
71,,空へと掲げた男の手に、\n先程と同じような白い雷が奔る。,男人伸向天空的手中，\n奔涌着与刚才相同的白色雷电。
72,,それを見て息を呑むエウロペの前に、\n不意にひとつの影が躍り出た。,在看着这一幕屏住呼吸的欧罗巴面前，\n突然一个身影跃出。
73,ガブリエル/加百列,待って！,等等！
74,威厳のある男,貴様は……,你是……
75,ガブリエル/加百列,ねぇ、貴方は一体誰？\nせめて、名前くらい教えてくれても\nいいんじゃないかしら。,喂，你究竟是谁？\n至少报上名来\n也不为过吧。
76,ゼウス/宙斯,……我が名はゼウス。\n人の秩序を守り、監視する者。\nそして、エウロペの父たる存在。,……吾名宙斯。\n守护并监视人类秩序者。\n以及，身为欧罗巴父亲的存在。
77,ルリア/露莉亚,エウロペさんの……,欧罗巴的……
78,ルリア/露莉亚,えっ！？　お、お父さん！？,诶！？父、父亲！？
79,ゼウス/宙斯,エウロペは、我がコアの一部を\n元にして造られし星晶獣なのだ。,欧罗巴是以吾核心的一部分\n为基础制造出的星晶兽。
80,ゼウス/宙斯,人の言う血縁関係は無いが、\n我がコアから生まれたものを\n子として想うのは当然であろう。,虽无人类所说的血缘关系，\n但将吾核心所生之物\n视为子嗣也是理所当然。
81,ゼウス/宙斯,そして、子が過ちを犯したならば\nそれを罰するのが親の役目。,并且，若子嗣犯下过错，\n惩罚其便是父母之责。
82,ゼウス/宙斯,エウロペは我との誓いを破り、\n勝手に島を出た。\n故に罰を与えねばならぬ。,欧罗巴违背了与吾的誓言，\n擅自离开了岛屿。\n故而必须给予惩罚。
83,ガブリエル/加百列,……エウロペを島から連れ出したのは\n私よ。この子が、どんな理由で\nあの島にいたのか、私は知らなかった。,……将欧罗巴带出岛的\n是我。这孩子为何\n在那座岛上，我并不知情。
84,ガブリエル/加百列,だから、エウロペに非は無いわ。\nこの子はただ、私の手を取っただけ。,所以，欧罗巴没有错。\n这孩子只是握住了我的手而已。
85,ゼウス/宙斯,……そうか。\n貴様がエウロペを……,……是吗。\n是你带欧罗巴……
86,ゼウス/宙斯,娘は大罪を犯した。\n故に、あの島から\n出てはならなかったのだ。,女儿犯下了大罪。\n因此，她本不该\n离开那座岛。
87,ゼウス/宙斯,よりによって、\nこの地に舞い戻るなど……\n言語道断である！,偏偏\n还重返此地……\n不可饶恕！
97,,睨み合う男と一行の間に、\n僅かな沈黙が流れた──\nその時だった。,在对峙的男人与一行人之间，\n流淌着短暂的沉默——\n就在那时。
100,ビィ/碧,な、なんだ！？,什、什么！？
101,,突然響き渡った唸り声のような\n音と共に、周囲に激しい吹雪が\n吹き荒れる。,伴随着突然响起的如同咆哮般的声音，\n周围刮起了猛烈的暴风雪。
102,ルリア/露莉亚,きゃあっ！！,呀啊！！
103,ゼウス/宙斯,おのれ……！\n嗅ぎつけられたか！,可恶……！\n被察觉了吗！
104,,一行を取り囲むように吹き荒れる吹雪は\nあっという間に視界を奪い、\n体温をも奪い去っていく。,将一行人包围般肆虐的暴风雪\n转眼间夺走了视野，\n也夺走了体温。
105,エウロペ/欧罗巴,うぅ……！,呜……！
106,ガブリエル/加百列,エウロペ！？\nどうしたの、しっかりして！,欧罗巴！？\n怎么了，振作一点！
107,エウロペ/欧罗巴,あ、頭の中に、声が……！,啊，脑子里，有声音……！
113,,エウロペの声をかき消すかのごとく、\nより強まった吹雪が一行の視界を\n真っ白に染め上げる。,仿佛要盖过欧罗巴的声音般，\n更强的暴风雪将一行人的视野\n染成纯白。
114,ガブリエル/加百列,エウロペ……？\nどこにいったの！？,欧罗巴……？\n你去哪里了！？
115,,ほんの一瞬。視界が吹雪に奪われていた\n僅かな隙に、忽然と消え去った\nエウロペの姿。,仅仅一瞬间。在视野被暴风雪夺走的\n短暂间隙中，欧罗巴的身影\n突然消失了。
116,,吹雪の中、必死でエウロペを探すも\n徐々に体温を奪われて行く一行の\n目の前に、白い雷が迸った。,在暴风雪中拼命寻找欧罗巴，\n但体温逐渐被夺去的一行人\n眼前，迸发出白色雷电。
info,,,scene_ult_chr501_ep1_q2_s10
译者,,,deepseek-v4-flash
