id,name,text,trans
0-chapter_name,,正義の在り方,何为正义
0-synopsis,,世界飛沫を巡る旅を再開しようとした矢先、一行を呼び止めたマリア・テレサはベレシアに対し「義父と命懸けで戦う覚悟はあるのか」と問う。答えを出せないベレシアによく考えておくよう伝え、マリア・テレサは頭を冷やすべく一行から距離を取る。きつい言い方をしてしまったと反省するマリア・テレサに、ジャスティスは「貴方は正直すぎる」と諫め、今は協力すべきだと諭すのだった。,众人正要重新踏上寻找世界飞沫的旅程，玛利亚·特蕾莎却叫住了他们，并问贝蕾西亚：「你做好与义父拼死一战的觉悟了吗？」面对无法作答的贝蕾西亚，玛利亚·特蕾莎让她好好思考，随后暂时离开众人去冷静头脑。玛利亚·特蕾莎反省自己刚才话说得太重，Justice则劝诫她「您太过耿直了」，并开导她眼下应当携手合作。
1,マリア・テレサ/玛利亚・特蕾莎,……ちょっといいかしら。,……能打扰一下吗？
2,,世界飛沫を巡る旅を\n再開しようとした矢先、\nマリア・テレサが一行を呼び止める。,正当一行人准备重新踏上\n寻找世界飞沫的旅程时，\n玛利亚·特蕾莎叫住了她们。
3,ルリア/露莉亚,テレサさん？\nどうしたんですか？,特蕾莎小姐？\n怎么了？
4,マリア・テレサ/玛利亚・特蕾莎,これ以上進む前に、ひとつだけ\n確認しておきたいことがあるの。,在继续前进之前，有件事\n我想先确认一下。
5,,そう言って、マリア・テレサは\n一度深呼吸すると真っすぐに\nベレシアを見つめる。,说完，玛利亚·特蕾莎\n深吸了一口气，\n直直地注视着贝蕾西亚。
6,マリア・テレサ/玛利亚・特蕾莎,ベレシアさん。\nごめんなさい、今から私、\n貴方に酷いことを言うわ。,贝蕾西亚小姐。\n抱歉，接下来，\n我要对你说些很过分的话。
7,マリア・テレサ/玛利亚・特蕾莎,貴方はさっき、ラスケィドに\n自分のしたことを償ってほしい、\nと言ったわね。,你刚才说，希望拉斯凯德\n能为自己的所作所为赎罪，\n对吧。
8,マリア・テレサ/玛利亚・特蕾莎,もし、ラスケィドの犯した\n罪を償う方法が死だけだとしても、\n貴方は納得できる？,即便拉斯凯德偿还罪行的\n唯一方式就是死，\n你也能接受吗？
9,ベレシア,え……？,诶……？
10,マリア・テレサ/玛利亚・特蕾莎,事態を解決し、ラスケィドが\n罪を償えば昔と同じ生活に戻れる……\nそう思っていない？,你是不是以为，只要事情得到解决，\n拉斯凯德赎清罪责……\n就能回到从前的生活？
11,ベレシア,そ、それは……,这、这个……
