id,trans
filename,scene_ult2_chr485_ep6_q1_s20
translator,gpt-5.6-sol
info,scene_ult2_chr485_ep6_q1_s20
113,────……！！
105,维系住这半身，\n<span class='scene-font-4'>为我注入更强大的力量吧！</span>
104,为了凭借那仅次于World的强大力量……\n凭借那强大的命运齿轮，\n获得法则完备的世界……
103,箍之芙蕾……不！\n诞生自强大World崩坏之中的\n<span class='scene-font-spword'>命运之轮</span>啊！
83,也为了毁灭这个缺失了World的\n不完整世界，\n创造全新的世界──
82,为了实现我的夙愿──
81,是的，足够了……\n那具素体拥有足以\n生成世界飞沫的力量。
80,已经不再是软弱的猎物了。\n足以成为我的猎物……
79,我一定要让你为那份罪孽赎罪。\n我正是为此获得力量，\n来到这里！
78,……这还是我们第一次直接见面呢。\n将罗马置于危机之中，伤害了\n我珍视之物的罪魁祸首。
77,……终于来了吗。
73,啊……！\n消、消失了……
67,到底……养父和养母\n到底发生了什么！？
66,竟敢偷听夫妻之间的谈话？\n<span class='scene-font-4'>给我滚出来，你这卑鄙小人！</span>
65,果然……果然在这座遗迹里\n发生过什么，对吧！？
64,赐予你能让心底愿望成真的术式。
63,什……什么？谁在那里？
62,…………！
61,要我赐予你术式吗？
60,偏偏在这个时候出来碍事。\n看来这段对话的内容，\n对你相当不利吧？
59,呜哇！？
58,呀！？
53,养母他们……？
52,是啊。\n如果只看眼前这一刻，\n我们──
51,……别再说这个了吧。
50,──我也真是个讨厌的家伙。\n和你简直是天生一对。
49,也不知为什么，总会梦见。\n一个长着蓬松毛皮，\n有着和你一样眼睛的──
48,我本以为自己早已接受\n我们无法拥有孩子这件事。\n可是……
47,命运这东西，真是不可思议。\n我爱上了身为异族的你，\n你也理所当然地回应了我……
46,我知道。\n你想说什么，不想说什么，我都知道。
45,──啊，不，我不是那个意思，诺尔芙。\n我不是在说那场事故。
44,能有这么好的孩子，\n我真幸──
43,…………
42,贝蕾希娅真是个好孩子。
41,睡了。她累坏了。\n为了婚礼，\n她一直都很努力。
40,──贝蕾希娅呢？
39,一行人与下定决心的贝蕾希娅一起，\n继续向深处前进。
38,……没关系。\n说不定能弄清养父和养母身上\n究竟发生了什么……
37,前面似乎还有幻影。\n继续走下去，你的隐私恐怕会\n全被揭露出来……没关系吗？
36,这是婚礼前一晚，我和养父、养母……
35,啊……\n是有这么回事。\n结果被你狠狠骂了一顿。
34,他年轻时可冒失了。\n就是这家伙只顾东张西望，\n一头撞到了我身上。
33,这段……对话……
32,他们在遗迹中遇见的，\n竟是比现在年幼一些的\n贝蕾希娅的幻影。
31,哇！？\n怎怎、怎么回事！？
30,哦～\n养父和养母就是在这里\n认识的吧？
22,就这样，一行人进入遗迹，\n向着最深处进发。
21,总之先继续前进吧。\n在前往深处的途中，\n说不定能发现些什么。
20,……那一天，这里\n究竟发生了什么……
19,婚礼……你养父发生异变的原因，\n会不会与这座遗迹\n有着很深的关系……
18,也是养父母举行婚礼的地方。
17,这、这座遗迹，\n是“大域溃流”的中心……
16,你知道这个地方吗？
15,这里是……！？
7,于是，一行人踏入了\n玛利亚・特蕾莎所指向的\n那座诡异遗迹。
6,…………！
5,那股力量超越自然法则，\n将世界飞沫核心的气息及所在\n告知了贤者。
4,历经对「理之沙」的收集，\n它最终在贤者的指间\n凝结成了一枚戒指。
3,嗯。\n世界飞沫里面的情况，\n我全都了如指掌──
2,怎么样？靠戒指的力量，\n能找到吗？
1,…………
0-synopsis,一行人踏入一座诡异的遗迹，得知这里既是“大域溃流”的中心，也是贝蕾希娅的养父母举行婚礼的地方。他们在那里看到了贝蕾希娅、拉斯凯德，以及贝蕾希娅的养母莉嘉＝诺尔芙过去的幻影。眼见养父母听到一个可怕声音低语的情景，贝蕾希娅确信这座遗迹中果然发生过什么。一行人在幻影前方找到了拉斯凯德，随即投身于守护空之世界的战斗。
0-chapter_name,轮转吧，命运啊
