id,trans
filename,scene_chr081_q1_s10
translator,Gemini
info,scene_chr081_q1_s10
22,是！　遵命！　是！
21,听好了！\n虽然曾经是同伴，但也不必手下留情！\n全力以赴！
17,是！
16,全体成员，拔剑！
15,哈！\n看到逃兵\n我们可不能坐视不管啊！
14,但是……\n队长，为什么要摆出战斗阵型！
13,是！\n我一直没有懈怠锻炼！
12,你变强了啊。\n剑术方面怎么样了？
11,队长！你们也！
10,哼，你居然察觉到了奇袭的气息。\n年轻的尤利啊。
9,各位！做好战斗准备！\n我们被帝国军包围了！
8,这种阵型……难道是！
7,(……又是这样！这是！)
6,不……其实我也有点在意。\n好像有什么人一直在我们周围……
5,真是的，\n哥哥你也太担心了吧！
4,不……\n我感觉好像听到了什么声音。
3,怎么了，尤利？\n有什么在意的事吗？
2,(是什么人的气息……是动物吗？)
1,接受了某个委托，一行人在森林中行走。\n尤利察觉到周围弥漫着一股不安的氛围。
0,帝国士兵尤利\n加入姬塔的骑空团\n已经过去一段时间了。
0-synopsis,尤利加入姬塔的骑空团已有一段时间了。在森林中行走的尤利察觉到周围弥漫着一股不安的气息。那股气息的真面目，是帝国军的队长们。就这样，尤利与昔日的同伴们刀剑相向。
0-chapter_name,父亲的遗物
