id,trans
filename,scene_chr008_q2_s20
translator,Gemini
info,scene_chr008_q2_s20
21,……赫利亚在下个城镇坠入爱河，\n那就是另外的故事了。
20,赫利亚的少女心得到了消化，\n不久，往常的日常又到来了。
19,姬塔一行在佣兵们的目送下\n来到了赫利亚身边。……在那里，\n赫利亚正挥舞着剑，\n摒弃杂念。
18,哦、哦！这样啊……那、那个？\n我可没有觉得\n做了什么可惜的事啊！真的！
17,没事，没事的！\n只要说是修行，挥舞着剑\n很快就会冷静下来的！
16,哦……大姐头的毛病\n又犯了！大姐头有点\n容易坠入爱河……
15,诶？什么？\n好感……诶～～～！！
13,拉卡姆大人……抱歉，请你\n放弃我吧！对我来说，也很痛苦！\n我先回船上了！
12,不行……像这样胡思乱想\n会让剑术变迟钝的！
11,嗯？赫利亚的样子好奇怪！\n发生什么事了？
10,但、但是被你那样一说\n我也不是讨厌拉卡姆大人\n不，那个……
9,女、女、女人……？拉、拉卡姆大人！\n不要在这种大庭广众之下说这些！\n被你那样表达好感，我很困扰……
8,像你这样的好女人\n能成为伙伴，真是太好了！\n对吧！姬塔！！
7,嘿！\n不仅臂力惊人，还深受部下爱戴，\n而且从不懈怠努力。
6,呼……\n说的也是，我也是一样。
5,那当然……我们也是把大姐头\n当成远方的家人一样\n担心的啊。
4,怎么了，我让你们\n担心了吗？
3,其实，大姐头虽然看起来很可靠，\n但也有让人担心的地方……\n和你们在一起的话就放心了！
2,真是帮大忙了……给你们添了\n不少麻烦。\n这份恩情我绝对不会忘记的！
1,非常感谢您，姬塔小姐。\n这些家伙这次也会吸取教训，\n每天努力锻炼吧。
0,好了，事件解决！\n这样一来，魔物就不会\n再出现在城镇里了吧？
0-synopsis,讨伐完魔物巢穴的一行人回到了城镇。拉卡姆称赞了深受佣兵们爱戴的赫利亚。容易坠入爱河的赫利亚过度在意拉卡姆的言行举止。与她那强壮的臂力不相符的是，赫利亚拥有一颗纤细的少女之心。
0-chapter_name,容易坠入爱河的女剑士
