id,trans
filename,scene_ult2_chr489_ep3_q1_s30
translator,gpt-5.6-sol
info,scene_ult2_chr489_ep3_q1_s30
53,一行人点了点头，朝世界飞沫之外\n飞奔而去。
52,各位，我们马上离开这里！
51,失去核心后……要开始了！\n这个世界飞沫就要崩塌了！
50,这是……？
47,凯姆正惊叹于从「理之沙」中\n获得的力量，然而下一刻──
43,嗯……照这样继续收集下去，\n应该就能逼近\n拉斯凯德的本体……！
42,唔……哈哈哈，真厉害。\n力量又进一步涌上来了！
41,呃……啊啊！
33,随后，他将指尖\n触向那缕微小的光芒──
32,那么，这就是……\n世界飞沫的核心，「理之沙」吗。
31,随着拉斯凯德等人的影子消失，\n一缕微小的光芒出现在了\n一行人面前。
30,影子终究不过是本体的\n劣化复制品。只要了解它的招数，\n就根本不足为惧。
29,…………！
28,紧接着，他左右两边的半身剥落，\n消失了。
25,就在击败芙蕾后，\n拉斯凯德突然痛苦起来──
24,呃……咕……！
18,────……
2,箍之芙蕾！\n箍得太松了！\n这……这样下去……可不行……！
1,啊……嘎啊啊啊！
0-synopsis,一行人击败了拉斯凯德的冒牌货，顺利取得世界飞沫的核心──「理之沙」。然而，失去核心的世界飞沫开始崩塌，一行人听从贝蕾希娅的话，朝外面飞奔而去。
0-chapter_name,等待在飞沫核心之人
