id,trans
filename,scene_evt220628_cp1_q2_s10
translator,gemini-3.1-pro-preview
info,scene_evt220628_cp1_q2_s10
49,怎么了！？
48,等一下～！
46,嗯！
45,那么，我们开始会议吧！
44,十二神将把从管理处借来的一整套露营工具放在营地后……
38,寅神代代都是风水的使用者，辛达拉姐妹平日里甚至会接受民众的咨询。
37,风水，是通过城镇的建筑或室内家具的配置来控制气场的流动，既是占卜，也是一种学问。
31,那就选这里吧。有辛达拉姐妹看的风水就放心了。
30,我看过风水了。这里完美无缺。
29,喂——大家！营地选在这里比较好哦！
28,呵呵呵～也没那么夸张啦～
27,原来如此。谢洛卡特君果然多才多艺呢。真让人尊敬。
26,我是四处奔走的商人嘛～参加长途跋涉的商队时，在野外露营过夜可是基本哦～
25,那谢洛卡特小姐呢？
24,我们不管是修行还是玩耍，总之经常进森林里去～自然而然就学会了。
23,呐呐，姬塔为什么对露营这么了解呀？
22,看来让你们费心了呢。谢谢你，姬塔！
21,太好了……♪那样的话我可能会一直叫你们的……
20,啊哈哈……开玩笑的啦。就在大家附近。有什么困难随时叫我们哦。
19,诶～……？那样好伤心哦……
17,嘻嘻嘻……♪太好了……我可能会一直叫你们的……
16,我们就在你们附近搭吧。虽然我们不参加会议，但如果有什么困难可以叫我们哦。
14-sel2_txt,远一点的地方
14-sel1_txt,附近
14,姬塔大人……要在哪里搭帐篷呢……？
13,幸好有能装下所有十二神将的帐篷～这个尺寸的帐篷可不多见啊。
12,毕竟骑空团的人数可不是一个帐篷能装得下的呢～
11,咦？大家都要分开吗？
10,骑空团的成员们各自散开，决定在休假期间自由活动。
9,这样啊？虽然不太懂，不过倒是帮了我们大忙呢。
8,这也是为了这股流行趋势做准备～其实也是兼顾了一些露营用品的试作啦～
7,听说远离自然、在城市生活的人们，一到休息日就会去山里或河边搭帐篷～
6,那倒也没有啦～不过在法塔·格兰迪也能感觉到露营流行的征兆呢～
5,嘿嘿！你是打算在露营这块大赚一笔吗？
4,哪里哪里～为了做生意，我也借此机会和管理员攀上了关系，这也是帮了我的大忙呢～
3,非常感谢！帮大忙了！
2,听说骑空团的各位可以随意选择喜欢的营地哦～
1,带着十二神将的姬塔等人来到了格罗斯岛的施皮格尔露营地。
0-synopsis,一行人来到了施皮格尔露营地。骑空团的成员们似乎各自散开去搭帐篷露营了，十二神将也决定在姬塔等人附近露营。当十二神将把借来的一整套露营工具放在营地，阿妮拉等人正准备开始会议时，突然谢洛卡特出声制止了她们。
0-chapter_name,第1话 首次露营
