id,name,text,trans
0-chapter_name,,第4話 撤退と危機,
0-synopsis,,その頃、ベアトリクスは頼みのエムブラスクの剣を失い途方に暮れていた。しかもオダヅモッキー達がユーステスと密談していたところを目撃しており、頭目グルザレッザの前に裏切り者として連行されてしまう。グルザレッザは全てお見通しで、その上で利用したのだと吐き捨てると、彼女に最後の役目を負わせる。,
0,,一行がオダヅモッキーと乱戦を始めた頃、\nベアトリクスは剣を失い、\n途方に暮れていた。,在一行人与奥达兹摩基激战开始的时候，贝阿朵丽丝失去了剑，一筹莫展。
1,ベアトリクス/贝阿朵丽丝,……クソ……クソ……！！\nこうなったら……\n剣無しで私一人の力で……！！,……该死……该死！！既然如此…没有剑…就只能靠我一个人的力量……！！
2,荒くれ者達,いひひいひひいひひっ！,嘻嘻嘻嘻嘻嘻！
3,ベアトリクス/贝阿朵丽丝,ッ！？,嗯！？
4,荒くれ者８/小混混８,なぁ、姉っ子よぉ。\n剣、どうしたんだぁ？,喂，小姐。剑，怎么了？
5,ベアトリクス/贝阿朵丽丝,気色悪い……！\nその呼び方を止めろ……！,好恶心……！停止那个称呼吧……！
6,荒くれ者９/小混混９,じゃあ、なんだぁ？\nけひひ、裏切り者って\n呼んだほうがいいのかぁ？,那么，是怎么回事？啊哈哈，难道应该称呼你为叛徒吗？
7,ベアトリクス/贝阿朵丽丝,な、なに……？\nどういうことだ……？,什、什么……？这是什么意思……？
8,荒くれ者１０/小混混１０,オイ達よぉ、アンタを呼びに来たんだよ。\nオヤジにいわれてなぁ。,喂，我们来找你了。老头让我们来的。
9,荒くれ者８/小混混８,それで来てみたら、\n銃ば持った兄ちゃんと\n話してやがったじゃねぇかぁ？,结果来了之后，看到一个拿着枪的家伙和你说话了。
10,ベアトリクス/贝阿朵丽丝,あ、あれは……, 那个……
11,荒くれ者１０/小混混１０,っせぇぞ！　言い訳する気かぁ！？\nおら、こっちさ来い！！, 闭嘴！你打算狡辩吗！？过来这边！！
12,ベアトリクス/贝阿朵丽丝,は、放せ……！！, 放开……！！
17,荒くれ者９/小混混９,オヤジィ！！　オヤジィ！！\nちょっとまってくれぇ～！, 老头！！老头！！等等！！
19,荒くれ者８/小混混８,おら、こっち来やがれ！！, 过来这边！！
20,ベアトリクス/贝阿朵丽丝,ぐっ……！？　あ、あれは！？\n星晶獣……！？, 咕……！？那、那是！？星晶兽……！？
21,荒くれ者１０/小混混１０,オヤジィ！！\nベアトリクスの奴が……, 老头！！贝阿朵丽丝那家伙……
22,グルザレッザ/古扎雷萨,裏切ったか？, 背叛了吗？
23,荒くれ者８/小混混８,そ、そうなんだよ！\nオヤジ、分かってたのか！？, 是的！老头，你知道吗！？
24,グルザレッザ/古扎雷萨,大方、この星晶獣の隠し場所でも\n探るために一旦、\n仲間になるフリをしていたのだろう。, 大概是为了探索这个星晶兽的隐藏地点，暂时假装成我们的朋友吧。
25,ベアトリクス/贝阿朵丽丝,クソが……\n全部お見通しだったってか……！, 该死……他全都知道吗……！
26,グルザレッザ/古扎雷萨,はっ、当然だ。\n元よりお前を手玉に取るため、\n話を持ちかけたんだ。, 当然了。他从一开始就是为了控制你，才找你谈话的。
27,グルザレッザ/古扎雷萨,ククク……少しばかり冷静になれば、\nすぐに罠だと気付けたんじゃないのか？\n手柄に目がくらんだか、愚か者め……, 啊哈哈……稍微冷静一点，就能马上发现是个陷阱了吧？被功劳冲昏头脑了吧，愚蠢的家伙……
28,ベアトリクス/贝阿朵丽丝,く、うう……, 咕、呜……
29,荒くれ者１０/小混混１０,なぁなぁオヤジィ！\nどうすんだぁ！？\nコイツ殺しちまうかぁ～？, 喂喂老头！怎么办！？要杀了这家伙吗～？
30,グルザレッザ/古扎雷萨,ククク……いいやまだ殺さんさ。\nまだ、利用価値があるからなぁ……？, 啊哈哈……还不用杀。毕竟，他还有利用价值呢……？
31,荒くれ者９/小混混９,ん～～？\nああ、そうかぁ……ヘヘッ\n分かったぜぇオヤジィ……, 嗯～～？啊啊，是吗……嘿嘿，明白了~老爹……
32,ベアトリクス/贝阿朵丽丝,な、なにをする気だ……？, 你、你打算干什么……？
33,グルザレッザ/古扎雷萨,ククク……, 啊哈哈……
34,荒くれ者達,いへへっ……へへへ……, 嘻嘻……嘻嘻嘻……
35,ベアトリクス/贝阿朵丽丝,く、来るなよ……！！！\nや、やめっ……！！, 别过来！！！别、别……！！
info,,,scene_evt151231_cp4_q4_s10
译者,,,祁琳w
