id,trans
filename,scene_evt230829_cp3_q4_s10
translator,Gemini
info,scene_evt230829_cp3_q4_s10
135,…………！！？
134,哟，塞丝特酱。\n过得好吗？
133,在菲欧丽特警戒之时，\n拉伽佐撩起头发──
130,拉伽佐狡黠一笑，\n轻飘飘地挥了挥义手。
129,…………
128,你，到底……？
126,注意到拉伽佐的异常，\n菲欧丽特立刻站了起来。
125,欸……？
124,连我的气息都没察觉到，\n看来你相当不妙啊？
123,……ッ！\n拉，拉伽佐，什么时候来的？
122,……菲欧丽特小姐。
119,（……姬塔没事吧？\n费尔迪南德的意图是──）
116,菲欧丽特想起以前仅有一次，\n和莫利兰有过无关紧要的\n交流。
113,（监察者不知不觉间也增加了……\n而且莫利兰是那时那个……）
112,（这次的「星座」，\n我完全搞不明白……）
111,（「静观其变」──\n竟然特意发来\n什么都不要做的指示……）
108,……怎么回事？\n这个指示究竟是──
105,……想着如果独处的话，\n会不会收到追加的指示\n之类的。
104,独自坐在广场的长椅上，\n菲欧丽特叹了口气。
103,哈啊……\n是不是有点太强硬了。
97,…………
96,黄油土豆……！\n非常期待！
95,哈哈，说得对！\n那边的黄油土豆怎么样？
94,不过烤苹果还是算了吧？\n拜某个家伙所赐，\n「烤」的东西已经吃太多了。
93,是啊……\n我也太激动了。
92,……托尔说得对。\n说来惭愧，最近这段时间，\n总觉得有点焦躁不安。
91,托尔……
90,要争斗的话就用棋盘游戏吧！\n那样比较开心！
89,就算明天就会忘记，\n互相猜疑，互相争斗什么的……\n我讨厌这样。
88,……这个骑空团就是家人。\n虽然每天「我」都会消失，\n但给了我很多回忆……
87,对吧？ 软软脆脆的，\n不愉快的心情也会烟消云散！
86,托尔先生……
85,好不容易出来了……\n看，那边的摊位\n要不要来点烤苹果？
84,那个……！\n别再吵了！
83,<span class='scene-font-4'>我也不想怀疑啊！</span>\n但即使如此也必须面对──
82,但是……！\n我无法怀疑……！
81,如果不能好好看清，\n可能会导致无法挽回的\n后果啊？
80,…………ッ！
79,觉得她只像个好人的，\n大家不都一样吗！
78,<span class='scene-font-4'>我看错你了，兰德尔！</span>\n我们和菲欧丽特交手过那么多次，\n应该知道她是个好人！
77,……在这种状况下，\n提议单独行动，\n怎么想都很奇怪吧。
76,您在怀疑吗？\n兰德尔先生，那个……\n您在怀疑菲欧丽特小姐吗……
75,…………！
74,你明白的吧。\n是菲欧丽特的事啊。
73,你问我怎么看……\n你在说什么？
72,……你怎么看，菲扎？
69,菲扎、兰德尔、可露露、\n托尔一边收集情报，\n一边在竞技场附近的街道散步。
63,…………！
62,我有话想和缇可说。\n我们两个人去谈谈？
61,…………？
60,……缇可，方便吗？
59,在极限状态下疲惫不堪的众人，\n各自起身时──
58,……啊啊。说得对。
56,先冷静下来，\n整理一下思绪也很重要是也。
54,嘛，确实……\n既然我们没有被杀掉，\n看来应该没有生命危险……
53,…………
52,大家的心之色……\n是像浑浊河底一样的鼠灰色……\n再这样下去会崩溃的哦。
51,不也挺好吗？\n不只是小菲欧，\n大家稍微放松一下也好。
50,虽然我理解你的心情……\n但现在单独行动的话──
49,……抱歉，我能出去\n稍微透透气吗？
47,……菲欧丽特？\n你的脸色好像不太好？
46,…………
45,姬塔、碧、露莉亚的\n缺席沉重地压在心头，\n讨论无法顺利进行。
44,为了救出姬塔等人，\n大家虽然提出了各种方案──
43,正是如此。\n没时间消沉了。
42,必须尽快去\n帮助姬塔小姐她们……！
41,…………
40,次日早晨──\n在大房间醒来的一行之间，\n弥漫着沉闷的空气。
34,是啊……\n就我个人而言，他平安无事比什么都好。
32,话说回来，还活着啊，\n那个愚蠢的拉伽佐！
31,……是问真货还是假货吗？\n嘛，是给姬塔阁下一行的诱饵……\n纳比斯搞的鬼吧。
30,……南部的遗迹，\n究竟是蛾子小姐呢，\n还是蝴蝶小姐呢……
29,虽然不知道议长的意图\n是什么，但跟踪和诱拐，\n这些案件都顺利完成了呢。
28,聚集在某处地下的监察者们，\n正在梳理至今为止的经过。
27,……你这家伙，感觉\n和刚才人设不一样了啊～？
26,……安静点。
25,呜呜……！？
24,……我觉得错在于开会时\n堂而皇之打瞌睡的您。
23,拉比利塔～……！\n你这家伙说了多余的话吧～！？
22,因为听说托莉丝缇托小姐，\n对上下很讲究。
20,你，你这家伙搞什么啊！\n别倒立着把脸凑过来啊～！
19,呜哇！？
18,是我吗？
12,谁要背负啊。\n和你这种家伙──
11,只要和小莉丝在一起，\n就能背负这份罪孽一生哦。
10,……没关系。\n因为我们两人是一体的。
9,那闪耀夺目的，\n拯救了我的光芒。
8,被血，泥和什么……\n肮脏的东西侵犯了。
7,……杀掉了呢。
6,──纯白的羽翼，逐渐被玷污。
0-synopsis,翌朝，菲扎等人商议解救姬塔一行的方法，但姬塔等人的缺席让他们心头沉重，讨论毫无进展。为了整理思绪，菲扎等人分成几组各自行动。就在这时，拉伽佐出现在独自担心姬塔安危的菲欧丽特面前。本应失去记忆的拉伽佐，却像往常一样露出了无畏的笑容。
0-chapter_name,第3话 轨道
