id,trans
filename,scene_evt161130_cp6_q1_s20
translator,gpt-4o-2024-08-06
info,scene_evt161130_cp6_q1_s20
22,来吧……从哪里都可以来。
21,别太得意忘形……是不是杂兵……试试看吧！
20,在帕西瓦尔的气势压迫下，姬塔一行在后面观望。
19,帕西瓦尔先生……请不要勉强自己。
18,哦，哦……
17,家臣们……这是兄弟之间的问题。你们退下。
16,你那卑劣的行为……先从礼仪开始重新学习吧。
15,哼……要不是阿古罗瓦尔大人的弟弟，我早就杀了你……
14,我宣布，你最终会败给这些家伙。
13,哼……太天真了……帕西瓦尔啊……
12,这种程度的杂兵，现在的我是无法被阻止的。
11,是！
10,你们……
9,我会用武力阻止你。
8,哦……要是我说不呢？
7,兄长……请立刻释放村民。
6,从那时起……我什么都没变。这就是本性，真实的我。
5,不要把你自私的理想强加于我……
4,过去我尊敬的兄长……到底去了哪里！
3,兄长……为什么要这样做！
2,哦……是帕西瓦尔啊。居然特地从你那边来见我。
1,喂，你们！把村民释放！
0,姬塔一行到达村庄，遭遇了正在占领的威尔士军。
0-synopsis,帕西瓦尔和姬塔一行到达村庄，与阿古罗瓦尔对峙。阿古罗瓦尔宣称帕西瓦尔会失败，随后指使威尔士军的亲卫队发动攻击。
0-chapter_name,第6话 冰炎墙之争
