id,name,text,trans
0-chapter_name,,追い風を祈りて,祈愿顺风
0-synopsis,,ウングッド城の真下にあった洞窟に足を踏み入れる姬塔一行。地上よりも瘴気が濃いと知りながらも、慎重に洞窟の奥へと進む。その最中、洞窟の奥から怪しい唸り声が響く。原因を突き止める為、更に洞窟の奥に進んだ一行は、人工的に造られたであろう階段を発見するのだった。,姬塔一行踏入位于温古德城正下方的洞窟。尽管知道这里的瘴气比地面更浓，他们仍小心翼翼地向洞窟深处前进。途中，诡异的低吼从洞窟深处传来。为了查明原因，一行人继续深入，并发现了一段显然是由人工修建的阶梯。
1,,ウングッド城の南側。,温古德城南侧。
2,,姬塔一行は、\n地面が崩落したことで見つかった\n洞窟の入り口に足を踏み入れていた。,姬塔一行踏入了\n因地面坍塌而被发现的\n洞窟入口。
3,ティアマト/提亚玛特,────,————
4,ラカム/拉卡姆,驚いたぜ。\nまさかここまで\nデカい洞窟があるとはな……,真没想到。\n这里竟然有这么大的洞窟……
5,ビィ/碧,この洞窟は、\n城から繋がってるわけじゃ\nねーんだよな……,这个洞窟\n并不与城堡相连吧……
6,ビィ/碧,だったら、なんでわざわざ\n洞窟の上に城を建てたんだ……？,那为什么还特意\n把城堡建在洞窟上面……？
7,ラカム/拉卡姆,城を建てる時に、\n洞窟に気づかなかった、\nって可能性もあるが……,也有可能是在建造城堡时\n没发现这个洞窟……
8,ラカム/拉卡姆,どうにも、\nそれだけじゃねぇ気がするな。,但我总觉得\n事情没那么简单。
10,ルリア/露莉亚,この辺りは地上よりも\n瘴気が濃いみたいです。,这一带的瘴气\n似乎比地面上更浓。
11,ルリア/露莉亚,もし、まだ職人さん達が\n洞窟の中にいるなら、\n早く助けに行かないと……,如果工匠们还在洞窟里，\n我们就得尽快去救他们……
12,ティアマト/提亚玛特,────,————
13,,ティアマトは\n溢れ出てくる瘴気の流れを読み、\n進むべき道を指し示す。,提亚玛特感知着\n不断涌出的瘴气流向，\n指出了应该前进的道路。
14,ラカム/拉卡姆,そっちの道が、\n洞窟の奥深くに続いてるってわけか。,那条路就是\n通往洞窟深处的吧。
15,ビィ/碧,よっしゃ！\n何か出てくるかもしれねーし、\n気を付けて進もうぜ！,好！\n不知道会冒出什么，\n我们小心前进吧！
22,,姬塔一行は、\n慎重に洞窟の奥深くへと進む。,姬塔一行\n小心翼翼地朝洞窟深处前进。
23,,しかし、終わりの見えない\n延々と続く洞窟に、\n一行は徐々に体力を削られていく。,然而，在这条看不到尽头、\n仿佛永远延续的洞窟里，\n一行人的体力逐渐被消耗。
24,ビィ/碧,どこまで続くんだぁ？\nこの洞窟はよぉ……,这洞窟到底\n要延伸到哪里啊……
25,ルリア/露莉亚,瘴気もだんだん濃くなってきて、\nちょっと苦しくなってきましたね……,瘴气也越来越浓，\n开始有些难受了……
26,ラカム/拉卡姆,姬塔、\nちょっと休憩しようぜ。,姬塔，\n稍微休息一下吧。
