id,trans
filename,scene_evt260722_cp3_q3_s10
translator,GPT-5.6 Sol
info,scene_evt260722_cp3_q3_s10
40,呵呵呵呵，你们已经被我\n研究得一清二楚了！\n<span class='scene-font-4'>涅茧利！！</span>
39,…………！！
38,还不明白吗，眠七号。
37,你为什么会知道……
36,不打算让我看看吗？\n看看你进一步改造后的卍解。
35,……什么？
34,金色疋杀地藏·魔胎伏印症体。
33,卍解——
30,真是的。\n别再玩这种扮演游戏了。
29,完美对于科学家而言\n就是绝望……你是这么说的吧，涅茧利。
28,哈，冒牌货……冒牌货吗。\n说法还真是不准确。\n这就是你的作风吗？
27,冒牌货……？
26,不要特意把一眼就能看出的事说出口。\n那是个冒牌货。
25,灵压也与方才观测到的完全相同。\n然而，它似乎和之前的魔物一样，\n混杂着其他事物。
24,果然，“金属片”吞噬的……\n不只是<ruby>虚圈<rt>Hueco Mundo</rt></ruby>，还有我们的信息吗……
23,…………！！
22,啊，对了，卡西乌斯。\n你已经是“前”月之战士了。
21,月之战士，卡西乌斯。\n工程师，艾扎克。
20,只凭这一点无法解释。\n为什么我连你们的事情\n也如此了解呢？
19,为什么呢。\n难道是<ruby>邪淫妃<rt>Fornicarás</rt></ruby>进化了吗？\n不，当然不可能。
18,本应早已被我们打倒的敌人。\n为什么会出现在这里……
17,那个人是？
16,…………
15,不过，姑且算是“初次见面”。\n我还是该说一句幸会吧。
14,哦，看来你确实在瓶子上\n刻下了我的名字。
13,萨尔阿波罗·格兰兹……
12,要重新自我介绍一次吗？\n涅茧利。
5,已经完成使命了吗。
4,我也一样。\n但是，为什么它会突然爆炸？
3,是。\n刚才的爆炸没有对我造成损伤。
2,咳、咳……\n你们没有受伤吧！\n兄弟、小灰鹦！！
1,涅茧利一行手边的\n“金属片”也发生爆炸，\n升腾起奇异的烟雾。
0-synopsis,涅茧利一行面前的金属片同样发生爆炸，本应早已被打倒的萨尔阿波罗随之现身。他不仅了解涅茧利和音梦，甚至掌握了卡西乌斯与艾扎克的经历。涅茧利意识到，金属片同时吸收了虚圈和空之世界的信息。随后，萨尔阿波罗又准确说出涅茧利后来改造的卍解，以及音梦的真实身份，令两人不寒而栗。
0-chapter_name,#03 他们并不在那里
